Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2drEUEg0TYQR6dDEHkpuPE,"5INjqkS1o8h1imAzPqGZBb","Patience","Patience","Tame Impala",2019-03-22,292267,63,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:45:10Z,"australian psych,neo-psychedelic",0.546,0.859,1,-5.966,1,0.0306,0.00223,0.000947,0.0529,0.645,99.965,4
09oZ9eXQ2fo6YDrPzJqAoP,"6LuN9FCkKOj5PcnpouEgny,0hEurMDQu99nJRq8pTxO14","Outta My Head (with John Mayer)","Free Spirit","Khalid,John Mayer",2019-04-05,177066,68,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:45:15Z,"pop,neo mellow,pop rock,singer-songwriter",0.729,0.545,0,-7.818,1,0.0316,0.0174,0.000274,0.369,0.514,103.012,4
5LyuIwwjlluDlk7Idjny7t,"6iWuBN32BqCJAeXW6o3nil","SOMETHING FOR NOTHING","Table of Context","Cautious Clay",2019-03-27,166706,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:45:46Z,"alternative r&b,chill r&b,indie r&b,nyc pop,pop",0.425,0.402,2,-8.581,1,0.0418,0.233,0.00000855,0.113,0.15,166.813,4
4SBVWkRIMJ6WBCYPvr5Bwr,"3jK9MiCrA42lLAdMGUZpwa,0h9smro0z3HqUbD94jotU8","Make It Better (feat. Smokey Robinson)","Ventura","Anderson .Paak,Smokey Robinson",2019-04-12,219332,69,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:54:41Z,"escape room,classic soul,disco,funk,motown,quiet storm,soul",0.676,0.56,4,-6.024,0,0.0643,0.0112,0.00403,0.137,0.551,178.555,4
7xAE36UUNgyDJDIM4yiucY,"6vfR5QRc3xca0KvpG8KZBE,6qgnBH6iDM91ipVXv28OMu","Be Your Girl (Kaytranada Edition)","Be Your Girl (Kaytranada Edition)","Teedra Moses,KAYTRANADA",2018-05-04,268087,1,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:55:04Z,"alternative r&b,hip pop,neo soul,r&b,urban contemporary,escape room,indie soul,lgbtq+ hip hop",0.866,0.679,6,-6.74,0,0.388,0.214,0.0000048,0.101,0.272,115.015,4
70kjLeuW46xJ5pqzYRLHAf,"4lPl9gqgox3JDiaJ1yklKh","Unemployed","Unemployed","Tierra Whack",2019-03-19,168661,49,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:50:35Z,"alternative r&b,escape room,indie soul",0.875,0.375,2,-6.669,1,0.724,0.0366,0.00000217,0.111,0.139,153.84,4
2drEUEg0TYQR6dDEHkpuPE,"5INjqkS1o8h1imAzPqGZBb","Patience","Patience","Tame Impala",2019-03-22,292267,63,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:49:11Z,"australian psych,neo-psychedelic",0.546,0.859,1,-5.966,1,0.0306,0.00223,0.000947,0.0529,0.645,99.965,4
6eSTuG07FIPpLkekbpYIsZ,"5MbNzCW3qokGyoo9giHA3V,6U3ybJ9UHNKEdsH7ktGBZ7","Momma Told Me","Strays with Rabies","EARTHGANG,JID",2015-11-05,234893,44,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:46:47Z,"atl hip hop,hip hop,psychedelic hip hop,rap,underground hip hop",0.572,0.79,0,-6.573,1,0.461,0.438,0,0.989,0.416,79.87,4
4YWxVzFG5NwMhEzZoleu4Q,"1ucnou2dDilxT5cxuv4um6","Bad","Bad","Oya Noire",2019-03-12,196121,14,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:50:19Z,"alternative r&b",0.619,0.595,9,-6.477,0,0.255,0.592,0.00000604,0.141,0.578,175.844,4
2AF5Kzxb4pz7j79Ity84pP,"07D1Bjaof0NFlU32KXiqUP","Night Shift","Historian","Lucy Dacus",2018-03-02,391829,5,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:47:41Z,"art pop,bubblegrunge,chamber pop,indie folk,indie pop,indie rock",0.48,0.31,9,-7.887,1,0.0258,0.312,0.0000147,0.113,0.16,86.149,4
4QIo4oxwzzafcBWkKjDpXY,"6qqNVTkY8uBg9cP3Jd7DAH","xanny","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","Billie Eilish",2019-03-29,243725,76,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:46:34Z,"electropop,pop",0.521,0.125,9,-17.832,1,0.239,0.751,0.00207,0.265,0.0528,111.554,4
4EFrL3k1dyCM9bQNN7Y5Pn,"0zanHkxN0P38oWegA8iSQA","Ngaf","He's Not Mine","Etta Bond",2019-03-15,231914,23,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:47:59Z,"alternative r&b,chill r&b,indie r&b,uk contemporary r&b",0.723,0.454,5,-7.336,0,0.0803,0.533,0.137,0.119,0.325,141.052,4
7HA5TXzVynXAklGawTjtHN,"2fFSi6tKHpCOPSDZZ5JMRi,5GymSV8DcM9gZFTgx8AY5g","Weightless","Hodgepodge","Samurai Del,Kristin Henry",2017-02-26,214666,2,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:46:13Z,"",0.44,0.498,7,-8.803,0,0.292,0.533,0.486,0.107,0.477,79.744,4
2yE3omg2KMRfFw4ukBlDIJ,"5lDtfHPqWN6MG9tFywnW8J","Socially Awkward","Happysad","Kiefer",2018-06-08,142044,43,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:47:02Z,"indie jazz,indie soul,neo r&b",0.735,0.508,1,-6.437,1,0.0884,0.554,0.646,0.0995,0.767,90.494,4
3lTRL3t2OQD9Z4TKNvMNZj,"4UfJMiu878W1bQhjsuRj4t","Faking Bright","Faking Bright","Saski",2016-07-20,200339,42,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:47:12Z,"electropop,indie electropop",0.852,0.156,6,-9.703,1,0.221,0.757,0.0893,0.11,0.26,118.035,4
3TTWpDAiJfyoJDd5v2F8C3,"0GG2cWaonE4JPrjcCCQ1EG,3l0CmX0FuQjFxr8SK7Vqag","Throwaway (with Clairo)","Throwaway (with Clairo)","SG Lewis,Clairo",2019-03-20,180000,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:48:34Z,"alternative r&b,indie soul,uk dance,vapor soul,bedroom pop,pop",0.789,0.49,2,-6.588,1,0.0392,0.784,0.000598,0.112,0.869,140.034,4
0joWz6mlWQtcREQzYurLVo,"1HjpNX0zNXYbHe38hMgDgZ,1weRXyXXSBxar799mDmQ2v","Elasto","Schwey","Schwey,Artemis",2019-03-15,222626,46,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:47:51Z,"",0.789,0.522,6,-6.646,0,0.115,0.46,0.00147,0.111,0.427,89.968,4
3msiWvN1nfUIHOKoWgaf8l,"0fDF0jjmdouCIeWhNnblwV","Angel Monster","Electric Tears","Buckethead",2002,307426,29,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:46:23Z,"funk metal,instrumental rock,neo classical metal,shred",0.384,0.238,8,-11.311,0,0.0432,0.963,0.857,0.101,0.288,177.691,4
7FIPqtk1X9HFsYiCO3aQAK,"3koiLjNrgRTNbOwViDipeA,75jNCko3SnEMI5gwGqrbb8","Your Precious Love","Every Great Motown Hit Of Marvin Gaye","Marvin Gaye,Tammi Terrell",1983-08-22,185466,25,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:46:01Z,"classic soul,funk,indie r&b,motown,northern soul,quiet storm,soul",0.431,0.402,10,-9.72,1,0.0332,0.309,0,0.0909,0.649,203.721,3
0QV5wLA5H9KvzjHfasNUlA,"6i3sYlO1zUHf5IWHpXt4Sl,0pjsDjQe3YLIUUmdTOVrpZ","PINK + YELLOW","CHROMATIC","KALLITECHNIS,Andrew Void",2019-01-18,196506,15,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:48:11Z,"alternative r&b,canadian contemporary r&b,chill r&b,indie r&b,montreal indie",0.666,0.382,10,-10.603,0,0.0428,0.526,0.00000381,0.124,0.238,120.017,4
5KAzF1lJWJgtUkkO0z4AMC,"4p75GTNEXwsAAkpweMVtKo","interstellar house mix","interstellar","Monte Booker",2019-01-31,310723,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:48:21Z,"underground hip hop,viral rap",0.685,0.462,1,-14.054,1,0.102,0.0574,0.0545,0.0878,0.265,112,4
35Rbqn962gEydsN1VKOC3T,"5usbqiU7sjvszjWecANDL6,6U3ybJ9UHNKEdsH7ktGBZ7","Soho (feat. JID)","Everythings For Sale","WESTSIDE BOOGIE,JID",2019-01-25,133306,52,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:48:43Z,"hip hop,rap,underground hip hop",0.792,0.603,5,-7.216,0,0.362,0.252,0,0.08,0.515,137.088,4
3AN70xkC9i9fFBpKlukRhY,"3jK9MiCrA42lLAdMGUZpwa","Winners Circle","Ventura","Anderson .Paak",2019-04-12,209237,55,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:54:30Z,"escape room",0.764,0.591,2,-8.81,1,0.307,0.182,0.00000832,0.396,0.694,94.089,4
6bxtai04eVsvV7IZGqOXMy,"4tRZRfhgfLEIUI9mw9Njy2","Mornin Dew","Satin Psicodelic","Sunni Colón",2018-08-29,324130,51,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:48:53Z,"alternative r&b,indie r&b,indie soul",0.471,0.466,7,-11.466,0,0.0469,0.183,0.725,0.121,0.104,102.988,4
4SSnFejRGlZikf02HLewEF,"6qqNVTkY8uBg9cP3Jd7DAH","bury a friend","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","Billie Eilish",2019-03-29,193143,79,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:49:03Z,"electropop,pop",0.905,0.389,8,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046,4
