Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0bwQ0GKAguYDoBSxOezzMx,"6nhbYvnZfjS4KpuO0ZoZYD,0qcYzMPOCqc66SyT0hyfQb","The Latest","The Latest","DC,emil",2022-09-01,96078,62,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2023-08-30T14:51:45Z,"chill drill,uk alternative hip hop",0.713,0.617,1,-6.708,0,0.145,0.114,0.00547,0.348,0.578,140.198,4
44KWbTVZev3SWdv1t5UoYE,"6USv9qhCn6zfxlBQIYJ9qs","How Much Is Weed?","Sunburn","Dominic Fike",2023-07-07,125055,70,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2023-08-30T14:51:45Z,"alternative pop rock,pov: indie",0.691,0.813,1,-4.49,1,0.0393,0.201,0.132,0.128,0.537,154.122,4
27YME9ZCAEKJc7tUQubCqW,"2CYTLJOt91YLe1JLStFu6m","Foul","Endure","Special Interest",2022-11-04,167018,21,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2023-08-30T14:51:45Z,"synth punk",0.437,0.996,11,-3.307,0,0.372,0.0007,0.0115,0.512,0.211,154.914,3
4rXLjWdF2ZZpXCVTfWcshS,"2hlmm7s2ICUX0LVIhVFlZQ","fukumean","a Gift & a Curse","Gunna",2023-06-16,125040,93,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2023-08-30T14:51:45Z,"atl hip hop,melodic rap,rap,trap",0.847,0.622,1,-6.747,0,0.0903,0.119,0,0.285,0.22,130.001,4
3ejCkJFZyDaQ72If1uwral,"1HvH97rzvCH6lfnLlgyfke","Don't Need You","Smiling with No Teeth","Genesis Owusu",2021-03-05,185786,41,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2023-08-30T14:51:45Z,"australian hip hop",0.927,0.464,6,-7.396,1,0.169,0.162,0.0000645,0.0848,0.58,119.999,4
0eXtOOP1KX09M5BpeUpdaq,"72udTJKu1pGovvS9aCYGMI","Hold On","Loop Daddy III","Marc Rebillet",2020-10-01,70770,41,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2023-08-30T14:51:45Z,"",0.438,0.324,0,-12.138,1,0.0505,0.301,0.0202,0.32,0.429,160.099,4
6um8falqCT0st7YLJlgaWs,"3P1ULKxhVEpywj0hogWT44,2pAWfrd7WFF3XhVt9GooDL","Quite Buttery","Dwight Spitz","Count Bass D,MF DOOM",2002,66039,59,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2023-08-30T14:51:45Z,"alternative hip hop,jazz rap,east coast hip hop,hip hop,instrumental hip hop",0.54,0.736,5,-4.745,1,0.0951,0.306,0,0.273,0.58,94.253,4
0Aj8EagrPfDoOe5OlUdrLC,"545idYhdloaSlLGBY8E9u2","Candy","Word Up","Cameo",1986-01-01,339933,61,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2023-08-30T14:51:45Z,"disco,funk,motown,new jack swing,p funk,popping,post-disco,quiet storm,soul",0.705,0.709,11,-12.649,0,0.0489,0.119,0.0000169,0.286,0.853,110.522,4
2Qbx0BOqQbMLwwrAb50rl0,"30VidDqHTbEp8U7CBe1mX0","Regrets","Regrets","Kevin Holliday",2021-06-23,154200,28,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2023-08-30T14:51:45Z,"indie r&b",0.817,0.47,6,-10.272,0,0.0336,0.139,0.0000298,0.0428,0.967,100.004,4
7CIvyuVoWcY0LgUYa1aR5J,"6icQOAFXDZKsumw3YXyusw","SOLO STEPPIN CRETE BOY","Slide","Lil Yachty",2023-08-04,149333,73,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2023-08-30T14:51:45Z,"atl hip hop,melodic rap,rap,trap",0.758,0.66,8,-6.799,0,0.0756,0.038,0,0.175,0.551,90.02,4
