Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
,"","Genesis","Visions","Grimes",,255000,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-01-03T05:23:15Z,""
,"","Talk 2 U","Sonder Son","Brent Faiyaz",,159000,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-01-03T05:23:15Z,""
,"","Line of Sight (feat. WYNNE & Mansionair)","A Moment Apart","ODESZA",,237000,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-01-03T05:23:15Z,""
,"","Runnin' Round","Pink Lightning - EP","Xavier Omär",,202000,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-01-03T05:23:15Z,""
,"","New Freezer (feat. Kendrick Lamar)","New Freezer (feat. Kendrick Lamar) - Single","Rich The Kid",,193000,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-01-03T05:23:15Z,""
,"","Bad Boy","Emerging Adulthood","Dan Croll",,208000,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-01-03T05:23:15Z,""
,"","Joy","Joy - Single","Leven Kali",,176000,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-01-03T05:23:15Z,""
,"","Bring Them All / Holy Grime (feat. Devlin)","Godfather","Wiley",,197000,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-01-03T05:23:15Z,""
,"","Ti Amo","Ti Amo","Phoenix",,205000,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-01-03T05:23:15Z,""
,"","Don't Take the Money","Gone Now","Bleachers",,215000,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-01-03T05:23:15Z,""
,"","Luxury Vintage Rap","Return of the Cool","Nick Grant",,174000,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-01-03T05:23:15Z,""
,"","Pleasure","Pleasure","Feist",,285000,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-01-03T05:23:15Z,""
,"","On Hold","I See You","The xx",,224000,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-01-03T05:23:15Z,""
,"","Idfc","Deadroses","blackbear",,245000,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-01-03T05:23:15Z,""
