Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4CfYxSs4Dr8KWORCmN3hom,"31TPClRtHm23RisEBtV3X7","That Girl","The 20/20 Experience (Deluxe Version)","Justin Timberlake",2013-03-15,287946,53,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-03-02T14:05:17Z,"dance pop,pop",0.728,0.354,1,-9.626,1,0.221,0.76,0,0.132,0.636,132.762,4
3jHdKaLCkuNEkWcLVmQPCX,"4V8LLVI7PbaPR0K2TGSxFF","BEST INTEREST","BEST INTEREST","Tyler, The Creator",2020-01-25,127921,76,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-03-02T05:17:49Z,"hip hop,rap",0.596,0.575,11,-8.325,0,0.0514,0.0861,0.000153,0.334,0.34,98.265,3
2erjsKpMN5PnsyE7nZkUOr,"5Lhxlge1CR1DrgDAje8Qaw","Prototype","Prototype","NoMBe",2020-01-14,259733,37,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-03-02T05:17:57Z,"electropop,indie poptimism,indie soul,modern alternative rock,modern rock,vapor soul",0.759,0.629,9,-7.492,0,0.0615,0.055,0.00187,0.0908,0.882,106.053,4
2J6OF7CkpdQGSfm1wdclqn,"3tlXnStJ1fFhdScmQeLpuG","Clouded","Fuck The World","Brent Faiyaz",2020-02-07,110128,74,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-03-02T05:18:03Z,"dmv rap,pop,r&b,rap",0.583,0.344,2,-8.765,1,0.0559,0.774,0,0.143,0.581,65.203,3
3ndhPhaWdICplZVrC4NeCR,"5Q81rlcTFh3k6DQJXPdsot,3r1XkJ7vCs8kHBSzGvPLdP","Deal Wiv It","Deal Wiv It","Mura Masa,slowthai",2019-11-07,177000,53,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-03-02T05:18:09Z,"channel islands indie,vapor soul,hip hop,rap,uk alternative hip hop,uk hip hop,underground hip hop",0.795,0.674,1,-5.542,1,0.164,0.00625,0,0.219,0.869,142.069,4
1faIb3PPSzEifCHUOJ691R,"0huGjMyP507tBCARyzSkrv","Broke As Fuck","The Lost Boy","Cordae",2019-07-26,196111,64,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-03-02T05:18:15Z,"dmv rap,hip hop,pop rap,rap,trap,underground hip hop,vapor trap",0.616,0.669,1,-5.791,1,0.32,0.0298,0,0.127,0.275,154.056,4
3uyMfHonSt2qyW6pAMVVTv,"1iNqsUDUraNWrj00bqssQG,6l3HvQ5sa6mXTsMTB19rO5,6U3ybJ9UHNKEdsH7ktGBZ7,5oFkj1qSlyBUmV5d6Edgtq,5MbNzCW3qokGyoo9giHA3V,1ybINI1qPiFbwDXamRtwxD,6PDLwWvgYNMfBRLqC1h5cJ","1993 (feat. J. Cole, JID, Cozz, EARTHGANG, Smino & Buddy)","Revenge Of The Dreamers III: Director's Cut","Dreamville,J. Cole,JID,Cozz,EARTHGANG,Smino,Buddy",2020-01-16,210466,16,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-03-02T05:18:23Z,"hip hop,rap,conscious hip hop,north carolina hip hop,underground hip hop,atl hip hop,psychedelic hip hop,alternative r&b,cali rap",0.542,0.721,7,-5.34,1,0.514,0.508,0,0.552,0.701,83.804,4
2YwC2IM0ykBxtMBH9aMe5m,"1pPmIToKXyGdsCF6LmqLmI,7wlFDEWiM5OoIAt8RSli8b","Money Talk","Money Talk","Rich The Kid,YoungBoy Never Broke Again",2020-01-17,174640,24,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-03-02T05:18:28Z,"atl hip hop,hip hop,melodic rap,plugg,pop rap,rap,southern hip hop,trap,baton rouge rap",0.8,0.631,10,-6.324,0,0.256,0.0308,0,0.147,0.627,154.984,4
3o0nkjyy6eZL5lZcEpvJec,"31W5EY0aAly4Qieq6OFu6I","King Of My City","Artist 2.0","A Boogie Wit da Hoodie",2020-02-14,148676,60,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-03-02T05:18:35Z,"melodic rap,pop rap,rap,trap",0.48,0.679,4,-6.776,0,0.264,0.452,0,0.152,0.29,81.186,5
2u3EyuCqqV31woqGvO9LBz,"5f7VJjfbwm532GiveGC0ZK","Sum 2 Prove","Sum 2 Prove","Lil Baby",2020-01-10,205760,72,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-03-02T05:23:06Z,"atl hip hop,atl trap,rap,trap",0.823,0.552,4,-7.57,0,0.324,0.0174,0,0.122,0.418,124.038,4
