Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2t8yVaLvJ0RenpXUIAC52d,"1URnnhqYAYcrqrcwql10ft","a lot","i am > i was","21 Savage",2018-12-21,288624,78,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-02-05T22:17:14Z,"atl hip hop,rap,trap",0.837,0.636,1,-7.643,1,0.086,0.0395,0.00125,0.342,0.274,145.972,4
14ofI3glf6laWU23tQYjZl,"7za6M9P94wuMsOVCHopTsI","Back Again","Vibe, Volume 2.","IAMDDB",2017-05-07,176000,41,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-02-05T22:18:13Z,"alternative r&b,uk contemporary r&b",0.606,0.405,9,-12.932,0,0.0482,0.878,0.586,0.35,0.0594,90.207,4
391cjBOeOMyPTZZl0yUAiF,"6HCkJzbswOIc7Qc5TJ1n5l","Cruel Intentions","It is.","JMSN",2016-05-06,346657,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-02-05T22:18:26Z,"alternative r&b,indie soul",0.543,0.301,11,-9.839,0,0.0826,0.351,0.000145,0.467,0.284,122.263,3
61Ivix5DTnDPVjp1dgLyov,"1uiEZYehlNivdK3iQyAbye,6oPQiSj92N4mk5jXLtX1bl","Disco Yes","Geography","Tom Misch,Poppy Ajudha",2018-04-06,280878,64,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-02-05T22:18:38Z,"indie soul,jazz pop,indie jazz,uk contemporary r&b",0.927,0.551,9,-6.624,0,0.0921,0.42,0.0346,0.298,0.665,123.042,4
5MjAFPcmrR1DYCgZrXCN4d,"07d5etnpjriczFBB8pxmRe","Turnin' Me Up","In My Mind","BJ The Chicago Kid",2016-02-19,269173,63,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-02-05T22:18:56Z,"alternative r&b,chicago rap,hip hop,indie soul,neo soul,r&b,underground hip hop",0.734,0.776,2,-4.193,1,0.0826,0.0406,0.193,0.0547,0.843,78.542,4
11QvWp3CsEPd0YLE6xKGyx,"67nwj3Y5sZQLl72VNUHEYE,6l3HvQ5sa6mXTsMTB19rO5","My Boy (feat. J. Cole) - Freestyle","Free Lunch","Wale,J. Cole",2018-09-14,269657,53,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-02-05T22:19:07Z,"dance pop,gangster rap,hip hop,pop,pop rap,r&b,rap,southern hip hop,trap,urban contemporary,conscious hip hop,north carolina hip hop",0.814,0.737,7,-4.826,1,0.259,0.197,0,0.0954,0.461,171.687,4
3Ol2xnObFdKV9pmRD2t9x8,"31W5EY0aAly4Qieq6OFu6I","Look Back at It","Hoodie SZN","A Boogie Wit da Hoodie",2018-12-21,179449,75,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-02-05T22:17:05Z,"melodic rap,pop rap,rap,trap",0.791,0.587,3,-5.075,0,0.0413,0.407,0,0.148,0.536,96.057,4
2fU2TSb3bghWYkPFuqgSkr,"6U3ybJ9UHNKEdsH7ktGBZ7","Just Da Other Day","DiCaprio 2","JID",2018-11-26,229045,49,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-02-05T22:19:18Z,"hip hop,rap,underground hip hop",0.821,0.529,1,-6.924,1,0.18,0.0904,0.00000173,0.162,0.0622,98.555,4
79YUO28pB2fGxsmigK3Sjv,"7Hjbimq43OgxaBRpFXic4x,1H78Q8wCK3PAvs1G3ocexx","Papaya","Papaya","Saba,daedaePIVOT",2018-12-07,236040,38,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-02-05T22:19:35Z,"alternative r&b,chicago rap,hip hop,rap,underground hip hop",0.746,0.584,6,-7.01,1,0.368,0.235,0,0.108,0.649,138.568,4
0hPLZrnDgtKxrym1BHjDhd,"1URnnhqYAYcrqrcwql10ft","can't leave without it","i am > i was","21 Savage",2018-12-21,205351,67,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-02-05T22:17:41Z,"atl hip hop,rap,trap",0.872,0.591,6,-6.952,0,0.359,0.111,0,0.144,0.696,131.982,4
4EVpdoFt3L6sAa4hivmWz9,"63vaeIIBKIe9zT91EORVbr","Pass The Hours","Pass The Hours","MorMor",2018-12-07,223440,49,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-02-05T22:19:45Z,"canadian contemporary r&b",0.778,0.639,6,-5.985,0,0.0292,0.179,0.000934,0.322,0.543,119.977,4
6WGnIpVtdJuw5GP9KRwdmL,"1xVcjJ5YsYOClO2Unt3Rm8","Come For Me","Come For Me","Sunflower Bean",2018-10-30,209021,36,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-02-05T22:20:00Z,"modern power pop",0.775,0.693,0,-3.34,1,0.0393,0.0252,0,0.382,0.813,123.01,4
70tIjdBrjUQkUG9jScQyoo,"3r1XkJ7vCs8kHBSzGvPLdP,5Q81rlcTFh3k6DQJXPdsot","Doorman","Doorman","slowthai,Mura Masa",2018-11-19,183541,41,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-02-05T22:20:16Z,"hip hop,rap,uk alternative hip hop,uk hip hop,underground hip hop,channel islands indie,vapor soul",0.668,0.943,10,-4.179,0,0.292,0.26,0,0.164,0.247,87.479,4
6Bqn71zg1dznO7Ck8ykEWc,"1FvjvACFvko2Z91IvDljrx","Jazz","The Water (S)","Mick Jenkins",2014-08-12,260160,1,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-02-05T22:20:30Z,"chicago rap,conscious hip hop,drill,escape room,hip hop,rap,underground hip hop",0.636,0.61,8,-9.665,1,0.119,0.25,0.000121,0.113,0.296,125.227,3
4Q5HmyNvQHlfylzGY7V3Wr,"5fbhwqYYh4YwUoEs582mq5","The Rubberband Man","The Very Best of the Spinners","The Spinners",1993,215109,56,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-02-05T22:20:39Z,"classic soul,disco,funk,motown,philly soul,quiet storm,soft rock,soul,southern soul",0.81,0.536,10,-11.573,1,0.0583,0.466,0.00074,0.0401,0.957,97.311,4
52Vrauy7m3EtC1aQqj7Rfp,"46SHBwWsqBkxI7EeeBEQG7","Transgression","Dying to Live","Kodak Black",2018-12-14,135441,49,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-02-05T22:20:48Z,"florida rap,hip hop,melodic rap,miami hip hop,rap,southern hip hop,trap",0.57,0.639,7,-4.892,0,0.293,0.625,0,0.121,0.85,81.465,4
1zbLpabwKzj404PWNEKtjL,"6O4EGCCb6DoIiR6B1QCQgp","Freelance","Outer Peace","Toro y Moi",2019-01-18,225893,52,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-02-05T22:20:58Z,"alternative dance,alternative r&b,chillwave,electronica,indie soul,indietronica,new rave,nu gaze",0.975,0.475,9,-7.067,0,0.123,0.014,0.0111,0.165,0.867,115.009,4
6DlrQcvUO7lg5vKgMZmG7F,"6U3ybJ9UHNKEdsH7ktGBZ7","Mounted Up","DiCaprio 2","JID",2018-11-26,182582,45,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-02-05T22:21:07Z,"hip hop,rap,underground hip hop",0.741,0.606,8,-7.833,1,0.253,0.0195,0.000333,0.337,0.455,108.126,5
2sIz1iTqyVX8NAUkkUN258,"3s2jqlVaDwlRKk3mF7WT2b","Un-Thinkable","Couch Baby (Revisited)","Jamie Isaac",2017-03-17,240001,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-02-05T22:21:36Z,"indie soul",0.563,0.528,11,-12.19,0,0.0551,0.56,0.0248,0.0928,0.134,153.953,4
1XJBDDpeuZaj5fvmwhdIMw,"46SHBwWsqBkxI7EeeBEQG7","Take One","Dying to Live","Kodak Black",2018-12-14,165517,53,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-02-05T22:21:43Z,"florida rap,hip hop,melodic rap,miami hip hop,rap,southern hip hop,trap",0.66,0.615,1,-7.2,1,0.47,0.114,0,0.315,0.501,174.034,4
0ZnMSJ4NsCGscSz8DG93Pi,"167WV6cgZZKO6Mog8MomA0","Head In The Clouds","Head In The Clouds","Lean",2018-11-02,222075,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-02-05T22:21:57Z,"la indie",0.489,0.676,0,-5.694,1,0.0278,0.00396,0.0276,0.482,0.533,180.056,4
7tGEAA1f8MydT7eVbbO9Zy,"6qqNVTkY8uBg9cP3Jd7DAH","WHEN I WAS OLDER - Music Inspired By The Film ROMA","WHEN I WAS OLDER (Music Inspired By The Film ROMA)","Billie Eilish",2019-01-09,270519,67,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-02-05T22:22:10Z,"electropop,pop",0.696,0.332,6,-12.834,1,0.0425,0.853,0.433,0.0848,0.0628,150.13,4
46KyjsEobuGoWbH2CoWjCN,"7kIbB1pdDyehFj8aNgfzfH","I'm Sorry","I'm Sorry","Ameer Vann",2016-12-02,177000,49,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-02-05T22:22:31Z,"hip hop,underground hip hop",0.84,0.525,2,-5.67,1,0.0454,0.426,0.296,0.102,0.189,130.037,4
1xcMifdl2glV5Kx76EtGCG,"4bMNzAopkqYTwkBLwMKsF1","Shine","Shine","Childish Major",2018-12-26,195866,46,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-02-05T22:22:43Z,"alternative r&b,trap soul,underground hip hop",0.735,0.665,5,-5.232,0,0.0453,0.0993,0.00000273,0.421,0.296,76.029,4
0psbBdxOb3A8WMuG3ludUw,"28ExwzUQsvgJooOI0X1mr3","Gumbo","Gumbo","Jay Rock",2015-07-01,221309,29,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-02-05T22:22:53Z,"conscious hip hop,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,underground hip hop",0.647,0.75,1,-7.758,1,0.0863,0.238,0.0000329,0.189,0.235,100.975,4
24Jk4wYlLRXI9TUMdkHoMN,"69cjjIQEN8M6heOBT2SqZE","Again","Penthouse","Wun Two",2014-12-19,143132,63,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-02-05T22:23:00Z,"chillhop,focus beats,lo-fi beats,lo-fi jazzhop",0.762,0.525,6,-11.863,1,0.199,0.949,0.87,0.114,0.652,82.777,4
31F0KxmTD4rz3o0tJht5RL,"6O4EGCCb6DoIiR6B1QCQgp","Ordinary Pleasure","Outer Peace","Toro y Moi",2019-01-18,183746,58,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-02-05T22:23:09Z,"alternative dance,alternative r&b,chillwave,electronica,indie soul,indietronica,new rave,nu gaze",0.878,0.779,7,-7.283,1,0.135,0.118,0.0192,0.104,0.778,115.009,4
