Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7hfRrdFJgFKK3cJ4rmkecE,"1wiBLzTI7z9RUwEpNPdFT6","Feel so Good","Harlem World","Mase",1997,203626,67,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2022-08-02T04:11:54Z,"gangster rap,hardcore hip hop,harlem hip hop,hip hop,hip pop,pop rap,rap,southern hip hop,urban contemporary",0.821,0.703,11,-8.464,0,0.24,0.192,0,0.0816,0.536,105.154,4
1YYcaX7Mft6dVeSSwfyAuh,"7lsnwlX6puQ7lcpSEpJbZE","AMERICAN GURL","AMERICAN GURL","Kilo Kish",2022-03-25,228440,52,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2022-08-02T04:11:54Z,"alternative r&b,art pop,electropop,escape room",0.643,0.716,8,-6.065,1,0.0264,0.0011,0.0000045,0.0493,0.152,108.975,4
4k6Uh1HXdhtusDW5y8Gbvy,"57vWImR43h4CaDao012Ofp","Bad Habit","Gemini Rights","Steve Lacy",2022-07-15,232066,88,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2022-08-02T04:11:54Z,"afrofuturism",0.686,0.494,1,-7.093,1,0.0355,0.613,0.000058,0.402,0.7,168.946,4
77RrP6xte2pigeCAsP6imp,"5zsaFqdIEz3d7CFEZcSLyz","Bag of Chips","Bag of Chips","Alexander Mack",2021-03-09,192000,33,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2022-08-02T04:11:54Z,"",0.948,0.547,1,-9.562,0,0.067,0.0418,0,0.116,0.528,120.973,4
1GumJnMqknYzRT9pyGOU7Z,"24zj84GShUIcBQYq6VpOYW,2qoQgPAilErOKCwE2Y8wOG","JUST SAY THAT (feat. GLORILLA)","CRUNKSTAR","Duke Deuce,GloRilla",2022-06-17,215722,54,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2022-08-02T04:11:54Z,"memphis hip hop,rap,southern hip hop,trap,viral rap",0.731,0.81,9,-7.193,1,0.292,0.00627,0,0.326,0.34,151.68,4
5pyoxDZ1PX0KxBxiRVxA4U,"6vWDO969PvNqNYHIOW5v0m","BREAK MY SOUL","RENAISSANCE","Beyoncé",2022-07-29,278281,79,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2022-08-02T04:11:54Z,"dance pop,pop,r&b",0.693,0.887,1,-5.039,0,0.0795,0.0581,0.00000271,0.27,0.864,114.942,4
5YbPxJwPfrj7uswNwoF1pJ,"3wcj11K77LjEY1PkEazffa","Last Last","Love, Damini","Burna Boy",2022-07-07,172342,81,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2022-08-02T04:11:54Z,"afro dancehall,dancehall,nigerian hip hop,nigerian pop",0.795,0.565,3,-4.457,0,0.0948,0.131,0,0.0802,0.55,87.925,4
1a9x6fk6pUMxr28vZR3nU3,"4xZTKft62AsF0SC3rAuYwJ","Never Freestyle","Never Freestyle","Coast Contra",2022-06-20,266996,60,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2022-08-02T04:11:54Z,"",0.592,0.674,10,-6.51,0,0.286,0.0255,0,0.0854,0.377,103.428,4
2vmKGiA6cC2ohPmOIUCKBG,"2JzhQYGos3RqV7MT5fWeek","Lately","All Day Gentle Hold !","Porches",2021-10-08,148197,40,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2022-08-02T04:11:54Z,"art pop,chillwave",0.591,0.716,0,-5.314,0,0.0301,0.00029,0.000177,0.152,0.26,108.955,4
6ePcfMCQ7uUKwAamUiVtXL,"6gIqKYKRmltKfkTnxhMv8V,3KYrINL7nZTQEVAu83bHw5,0nES9rTgJJV7uJF2cIkJNS","Peechay Hutt","Peechay Hutt","Hasan Raheem,Justin Bibis,Talal Qureshi",2022-02-19,225892,58,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2022-08-02T04:11:54Z,"pakistani indie,pakistani pop",0.894,0.509,4,-9.59,0,0.0722,0.108,0.000193,0.124,0.589,114.012,4
