Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6HW6jRfLKeigT1o7CApLqT,"4HiLipaDjOwRkhJlk5s1uT","got it like that","got it like that","Jae Stephens",2019-05-01,197646,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-06-30T17:50:11Z,"alternative r&b,indie r&b",0.712,0.555,6,-4.925,0,0.143,0.443,0.0000178,0.0966,0.632,87.944,4
4IroNECciKcq3M2QtSTus7,"57vWImR43h4CaDao012Ofp","Playground","Apollo XXI","Steve Lacy",2019-05-24,213797,58,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-06-30T17:50:21Z,"afrofuturism,alternative r&b,rap",0.482,0.788,7,-6.309,1,0.0425,0.113,0.00437,0.344,0.854,191.776,4
6bOkaEXc5CopinGazSLokx,"4V8LLVI7PbaPR0K2TGSxFF","WHAT'S GOOD","IGOR","Tyler, The Creator",2019-05-17,205626,63,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-06-30T17:50:29Z,"hip hop,rap",0.458,0.909,1,-6.553,1,0.487,0.0567,0.00000426,0.11,0.449,118.227,4
5JRMqkR82k2fdDEAim9SCN,"07EcmJpfAday8xGkslfanE","Peach","ARIZONA BABY","Kevin Abstract",2019-04-25,176732,72,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-06-30T17:50:35Z,"afrofuturism,hip hop,lgbtq+ hip hop,rap",0.646,0.682,7,-5.847,1,0.0759,0.683,0.00000484,0.107,0.421,131.895,4
6O78eJeC7Awk0pITuQHjUf,"6I3MElirhT5t6Kf7p0hGk9,2OaHYHb2XcFPvqL3VsyPzU,62vbsDRAq0qHdezaCOzB0T","LOVE IS LIKE A MOSHPIT","THE FALLING MAN","Duckwrth,Rico Nasty,Medasin",2019-05-17,177133,34,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-06-30T17:50:44Z,"alternative r&b,escape room,indie r&b,underground hip hop,dance pop,dmv rap,pop rap,trap queen,edm,electronic trap,future bass,indie soul,vapor soul,vapor twitch",0.698,0.709,8,-6.99,0,0.228,0.373,0,0.0996,0.354,176.084,4
0So2sgVa8aJiARPl2P29u2,"6vVztIuqdDHvYWxOEXCzjN","Pope Is a Rockstar","SALES LP","SALES",2016-04-20,187333,68,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-06-30T17:50:53Z,"indie pop,orlando indie",0.725,0.446,4,-8.958,0,0.0287,0.85,0.243,0.107,0.311,90.024,4
72fHBeD6Wd7OLXingK4nMk,"3r1XkJ7vCs8kHBSzGvPLdP","Polaroid","Nothing Great About Britain","slowthai",2019-05-17,216081,16,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-06-30T17:51:20Z,"hip hop,rap,uk alternative hip hop,uk hip hop,underground hip hop",0.862,0.673,7,-4.572,1,0.371,0.272,0,0.0975,0.562,138.054,4
4Y6GIje3GErVRIq1Ff5BJq,"26T3LtbuGT1Fu9m0eRq5X3","Black Madonna","Social Cues","Cage The Elephant",2019-04-19,226533,66,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-06-30T17:51:27Z,"modern rock,punk blues,rock",0.705,0.728,4,-3.184,0,0.035,0.00122,0.0693,0.0753,0.966,109.991,4
3wLtYwtqvKK2ewelSVPeDK,"757aE44tKEUQEqRuT6GnEB","Die Young","Feed Tha Streets II","Roddy Ricch",2018-11-02,157656,70,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-06-30T17:51:33Z,"melodic rap,rap,trap",0.688,0.656,4,-5.541,0,0.276,0.218,0,0.115,0.365,160.414,4
3qVNNJ7f9RQeNR4iPIeS0c,"181bsRPaVXVlUKXrxwZfHK","Realer","Fever","Megan Thee Stallion",2019-05-17,149703,57,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-06-30T17:51:41Z,"houston rap,pop,pop rap,trap queen",0.934,0.631,1,-3.834,1,0.317,0.127,0,0.0955,0.437,117.064,4
