Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3XetDJxSDARsex7zU9KEpM,"6Sa4YbwEdGlfVSJMF1Lp67","FANTAZIA","GRAFFITI","Roy Blair",2019-09-06,336659,52,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-03-30T16:34:21Z,"bedroom pop,indie pop",0.866,0.526,11,-7.128,0,0.24,0.314,0.000387,0.173,0.651,126.001,4
4nlvKIIetOWGIMyhjQXgOZ,"6nxWCVXbOlEVRexSbLsTer,6O4EGCCb6DoIiR6B1QCQgp","The Difference","The Difference","Flume,Toro y Moi",2020-03-11,139662,72,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-03-30T16:35:18Z,"australian dance,australian electropop,australian indie,downtempo,edm,alternative dance,alternative r&b,chillwave,electronica,indie soul,indietronica,new rave,nu gaze",0.56,0.865,1,-1.148,1,0.0909,0.255,0.000153,0.083,0.424,159.96,4
7hv4Ounp7zIuwyeWo79hkM,"5XQRfs0gXs30aWUn1Umves","Lily","Mono No Moto","Choker",2019-01-25,206666,29,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-03-30T16:35:31Z,"alternative r&b,indie r&b,indie soul",0.682,0.682,5,-5.754,0,0.0474,0.342,0.00646,0.155,0.473,144.04,4
6WrI0LAC5M1Rw2MnX2ZvEg,"6M2wZ9GZgrQXHCFfjv46we","Don't Start Now","Don't Start Now","Dua Lipa",2019-10-31,183290,85,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-03-30T16:35:43Z,"dance pop,pop,uk pop",0.794,0.793,11,-4.521,0,0.0842,0.0125,0,0.0952,0.677,123.941,4
0xjpgDNFyekbjessCBaaBq,"5FxD8fkQZ6KcsSYupDVoSO","So Good","Friends","Omar Apollo",2019-04-10,266560,53,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-03-30T16:35:54Z,"alternative r&b,bedroom pop,bedroom soul,chill r&b,indie r&b,pop,r&b",0.698,0.784,10,-5.794,0,0.0326,0.0846,0.00139,0.0387,0.852,117.979,4
3IPBftcOHWxzLFyH5svvnY,"4vZ5UD5pIliRPSdHHj9EUp,3IKbh0wq6dhJduifP0yPi3","Sweet (feat. Landon Sears)","Twenties","Bren Joy,Landon Sears",2019-05-17,226153,54,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-03-30T16:36:02Z,"alternative r&b,chill r&b,indie r&b",0.623,0.73,0,-6.851,1,0.124,0.174,0,0.0684,0.549,78.056,4
00I0pcNkN3IOX3fsYbaB4N,"3EW0kQ1skZiK1NHg3Spt9J","Infatuation","The Last Rocket","Takeoff",2018-11-02,221892,58,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-03-30T16:36:09Z,"atl hip hop,rap,southern hip hop,trap",0.629,0.608,2,-7.247,0,0.0771,0.0724,0,0.0874,0.413,103.021,4
2tDrlnQWiCDis4H8RT0W2h,"4qBgvVog0wzW75IQ48mU7v,5bgfj5zUoWpyeVatGDjn6H,1pPmIToKXyGdsCF6LmqLmI","YES! (feat. Rich The Kid & K CAMP)","YES! (feat. Rich The Kid & K CAMP)","KYLE,K CAMP,Rich The Kid",2020-02-21,195396,1,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-03-30T16:36:14Z,"pop,pop rap,rap,social media pop,atl hip hop,hip hop,melodic rap,pop r&b,r&b,southern hip hop,trap,plugg",0.758,0.666,8,-8.086,1,0.14,0.0318,0.00418,0.33,0.701,162.083,4
1fE4SgPXL3CifVltWjdcLb,"2AfU5LYBVCiCtuCCfM7uVX","California","California","Kota the Friend",2020-02-21,191142,44,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-03-30T16:36:22Z,"hip hop,rap,underground hip hop",0.892,0.693,1,-6.059,0,0.338,0.23,0,0.489,0.777,140.012,4
598yNsG1JFrGd4n2kMoz7F,"5f7VJjfbwm532GiveGC0ZK","Woah","Woah","Lil Baby",2019-11-08,183011,70,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-03-30T16:36:28Z,"atl hip hop,atl trap,rap,trap",0.882,0.602,11,-5.554,1,0.245,0.0177,0,0.178,0.43,142.959,4
