Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6xtppjKQERHM5FBxZsRyI3,"7pnSUizGuS2tAW2yCAhafn","Footsteps","Origin","Vanilla",2015-09-20,217250,30,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2022-04-03T17:49:09Z,"chillhop",0.701,0.856,5,-6.89,0,0.396,0.0747,0.0000906,0.327,0.545,89.985,4
77ybhTvFC7kr5IeUqBP2qp,"3A5tHz1SfngyOZM2gItYKu","Fire in the Hole","SICK!","Earl Sweatshirt",2022-01-14,217934,50,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2022-04-03T17:49:09Z,"alternative hip hop,experimental hip hop,hip hop,rap,underground hip hop",0.445,0.769,9,-6.285,0,0.157,0.596,0,0.147,0.118,137.272,4
2BydLQAh7CUIFvSEqAMc4x,"5m8H6zSadhu1j9Yi04VLqD","If You Want Me to Stay","Fresh","Sly & The Family Stone",1973-06-30,180493,68,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2022-04-03T17:49:09Z,"classic rock,classic soul,disco,funk,funk rock,psychedelic soul,rock,soul",0.843,0.48,11,-11.574,0,0.0492,0.28,0.000782,0.108,0.762,101.993,4
2TVIp4BIqLnQn0izR7BZHf,"59hLmB5DrdihCYtNeFeW1U","Turn Around, Look At Me - Remastered 2003","The Legacy (1961-2017)","Glen Campbell",2019-06-21,175720,9,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2022-04-03T17:49:09Z,"adult standards,arkansas country,classic country pop,classic rock,folk rock,lounge,mellow gold,nashville sound,singer-songwriter,soft rock",0.221,0.264,1,-11.887,1,0.029,0.669,0,0.0706,0.237,171.121,3
5XHpZKSPRyIIUjVn38czHD,"6mrOjLZyPub9LcecUarcMD","Hiding","Crush Crusher","IAN SWEET",2018-10-26,156366,24,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2022-04-03T17:49:09Z,"bubblegrunge,garage psych,indie pop,small room",0.55,0.552,2,-9.098,1,0.0362,0.0741,0.455,0.101,0.0758,139.994,4
4chSRXrdadYm2ujaCyP3Cf,"0qu422H5MOoQxGjd4IzHbS","Super Stars","Heaven To A Tortured Mind","Yves Tumor",2020-04-03,185560,54,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2022-04-03T17:49:09Z,"alternative r&b,art pop,escape room,experimental r&b",0.531,0.619,1,-7.285,1,0.074,0.00368,0.0000187,0.0912,0.566,149.007,4
13FN8Py6cr12FOOEikPZni,"5ppJZFMF0gAfrHfZTGuHe4","Doctor Eleven","Station Eleven (Music from the HBO Max Limited Series)","Dan Romer",2022-01-13,247400,35,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2022-04-03T17:49:09Z,"",0.418,0.131,7,-13.583,1,0.0331,0.638,0.879,0.102,0.0711,106.083,3
2EFU3UF6BkAjAUPCjZSY36,"7gqsi6aBSkRMJoL9psKqMr","One Fine Morning","Apocalypse","Bill Callahan",2011-04-19,525946,34,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2022-04-03T17:49:09Z,"alternative country,anti-folk,art pop,art rock,chamber pop,chamber psych,indie folk,indie rock,singer-songwriter,solo wave",0.508,0.0912,7,-16.995,1,0.0435,0.935,0.0138,0.108,0.111,120.172,4
00cAbgR4EsPVYryyQBkgzQ,"3s2jqlVaDwlRKk3mF7WT2b","Un-thinkable","Couch Baby (Revisited)","Jamie Isaac",2017-03-17,241116,31,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2022-04-03T17:49:09Z,"indie soul",0.563,0.528,11,-12.19,0,0.0551,0.56,0.0248,0.0749,0.134,153.953,4
3xqtvSfofDvSMVwwSbuvKi,"6nB0iY1cjSY1KyhYyuIIKH,20wkVLutqVOYrc0kxFs7rA","careless (feat. daniel caesar)","CAPRISONGS","FKA twigs,Daniel Caesar",2022-01-14,216760,57,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2022-04-03T17:49:09Z,"afrofuturism,alternative r&b,art pop,escape room,experimental r&b,pop,trip hop,canadian contemporary r&b,r&b",0.706,0.395,11,-6.952,0,0.0588,0.724,0.0000216,0.203,0.26,118.128,4
