Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
63wbLMdKSIrmnxctXgbXaF,"5I81SUgzZ0g7dWkWKDc4QY","Manifesto","2008","OverDoz.",2017-10-27,130106,37,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-06-08T01:51:40Z,"soul flow,underground hip hop",0.923,0.741,2,-9.106,1,0.304,0.431,0,0.215,0.897,102.104,4
1R7jnLqI2byQ6aKQYQ53g5,"4NcMrSi3B8eUVy6e1Ni3wu","All Mine","Eden","Ivy Sole",2016-04-25,225838,39,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-06-08T01:51:46Z,"alternative r&b,escape room,indie r&b,indie soul,north carolina hip hop",0.604,0.676,2,-6.699,1,0.359,0.395,0,0.189,0.374,146.633,4
52khsI5hbw4NV7QgwD8pMR,"6IERXYoMmyee181MMzQzrk","DONDE","DONDE","0800",2019-03-01,223750,40,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-06-08T01:52:08Z,"nz hip hop",0.776,0.709,1,-5.52,1,0.182,0.147,0.000027,0.34,0.764,96.026,4
2Fxly6AusNFtTf8ZBaVWnh,"6UtYvUtXnmg5EtllDFlWp8","SONGS ABOUT YOU","INDUSTRY GAMES","CHIKA",2020-03-13,241612,56,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-06-08T01:52:15Z,"alabama rap,alternative r&b,escape room,indie r&b",0.601,0.446,1,-6.327,1,0.415,0.599,0,0.345,0.788,77.707,4
1maTErw83KboEn8Xyd8jNQ,"5cAtakaadWHJLxmGKrKcX7","Nice Things","Green Balloon","Tank and The Bangas",2019-05-03,190306,43,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-06-08T01:52:24Z,"escape room,indie soul,new orleans funk",0.912,0.571,6,-6.553,1,0.232,0.0816,0.00226,0.0647,0.517,145.021,4
39NDBdU5Xkm5pCFGa5kZtI,"4LLpKhyESsyAXpc4laK94U","Ladders","Swimming","Mac Miller",2018-08-03,287040,72,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-06-08T01:52:31Z,"hip hop,pittsburgh rap,rap",0.802,0.463,8,-8.379,1,0.162,0.236,0.00531,0.105,0.291,103.961,4
2kL8mudsXPzApnCcPufNS2,"3IrrjuvOPa1KFxq0Kk8pvN","JOI","MSTRGLSS","Bari",2019-02-01,121773,37,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-06-08T01:52:50Z,"indie hip hop",0.85,0.63,7,-3.052,0,0.265,0.524,0.00000385,0.174,0.941,130.044,4
5228a1Wi1SQVVLLwK8vbEV,"6PDLwWvgYNMfBRLqC1h5cJ,4JgGhWEWcKIyT84mknHP2w","She Think","She Think","Buddy,Kent Jamz",2020-04-10,164774,39,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-06-08T01:52:55Z,"alternative r&b,cali rap,underground hip hop,indie hip hop",0.882,0.735,1,-5.372,1,0.115,0.153,0.0000147,0.103,0.723,149.949,4
1dgF53w3I5POOQrUisalOs,"51FdY610ARIDu41nd5MxZd,5cj0lLjcoR7YOSnhnX0Po5","Right Side (Feat. Doja Cat)","Right Side (Feat. Doja Cat)","L8LOOMER,Doja Cat",2017-06-13,212727,57,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-06-08T01:53:00Z,"dance pop,pop,pop rap",0.547,0.631,5,-5.646,1,0.533,0.19,0,0.0945,0.362,165.281,3
4GfO7RiB4LqK9DkunAijz3,"47qrgNNbZRRCAK0ZrKcuZV","Three Thirty","Reaper","Reaper",2017-04-10,236619,43,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-06-08T01:53:06Z,"aggrotech",0.68,0.663,8,-6.571,1,0.0327,0.0933,0.00507,0.612,0.594,141.948,4
5GV9IlaPzQOx7XxtJqopiO,"2JYlPhGdnbb5UeR8qVToPw","Perhaps","Aprilia Ave","Asiatica",2019-03-13,155308,29,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-06-08T01:53:12Z,"",0.566,0.466,11,-5.109,0,0.0273,0.758,0.0000204,0.0923,0.186,93.702,4
4i1IFCnXF40pbYZ7X19Fqb,"5MaQlvNGOaTj39apHsXVq1","Easy","Easy","Claud",2019-02-12,208129,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-06-08T01:53:25Z,"bedroom pop,indie pop",0.822,0.542,9,-7.598,1,0.0641,0.204,0.133,0.105,0.546,147.046,4
73tyOM7hObuzyqG1smXMnh,"7riIDkMpiCIuZUbLaScpQq","Day Off","Day Off","DAISY",2019-05-31,201674,36,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-06-08T01:53:31Z,"la pop",0.49,0.682,8,-8.383,0,0.265,0.208,0.000134,0.14,0.684,94.227,4
0bonUwkDjTgQ8URsgCcHhH,"2PU4qFehXQF7WnlFsJpBiJ","Cherry Blossom","Fervent","Raury",2019-10-13,198024,47,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-06-08T01:53:39Z,"psychedelic hip hop",0.805,0.176,7,-20.783,1,0.0617,0.102,0.00000543,0.2,0.699,124.013,4
1SlM5HXf9DjC6PVy2x4nWQ,"59KX7XUUgAOOo5IyDjca0T","Losing My Love","Losing My Love","Verzache",2018-01-05,173731,57,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-06-08T01:53:45Z,"lo-fi beats",0.832,0.657,11,-6.493,0,0.161,0.709,0.0252,0.258,0.418,133.872,4
0i7jazn1Rtp51KPM4iSs6z,"1uiEZYehlNivdK3iQyAbye,2rspptKP0lPBdlJJAJHqht,0Y4inQK6OespitzD6ijMwb","Nightrider","Nightrider","Tom Misch,Yussef Dayes,Freddie Gibbs",2020-04-16,300990,56,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-06-08T01:53:52Z,"indie soul,jazz pop,british jazz,indie jazz,uk contemporary jazz,alternative hip hop,hip hop,indiana hip hop,rap,southern hip hop,underground hip hop",0.729,0.571,11,-9.188,0,0.0869,0.0774,0.213,0.0994,0.582,81.486,4
0fzE5LlGfQwJLvEiJ7UqUZ,"0NB5HROxc8dDBXpkIi1v3d","Photo ID","Photo ID","Remi Wolf",2020-04-29,265263,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-06-08T01:53:57Z,"alternative r&b,indie pop,indie r&b,modern alternative pop",0.822,0.66,1,-3.637,1,0.0819,0.111,0,0.143,0.802,113.956,4
3qG7T8uZSlt4pnFulCvaqf,"5PbpKlxQE0Ktl5lcNABoFf","Famous","Making a Door Less Open","Car Seat Headrest",2020-05-01,164500,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-06-08T01:54:06Z,"alternative rock,indie pop,indie rock,modern rock",0.587,0.829,6,-7.091,1,0.0422,0.164,0.357,0.649,0.347,120.048,4
6jLF2AyiMm2mqHrILs1jr2,"1btWGBz4Uu1HozTwb2Lm8A","Tuesday","Landmark","Hippo Campus",2017-02-24,196344,43,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-06-08T01:54:14Z,"indie pop,indie poptimism,minneapolis indie,modern alternative rock,modern rock",0.582,0.804,8,-3.766,1,0.0365,0.39,0,0.208,0.528,126.965,4
28wERzXJWMb4Qx1bf9EXyW,"1uiEZYehlNivdK3iQyAbye,2rspptKP0lPBdlJJAJHqht","The Real","What Kinda Music","Tom Misch,Yussef Dayes",2020-04-24,161894,47,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-06-08T01:54:19Z,"indie soul,jazz pop,british jazz,indie jazz,uk contemporary jazz",0.51,0.456,2,-12.643,1,0.0485,0.282,0.0979,0.164,0.283,96.279,4
1olz3HctPa2yXmSniaCNLN,"59KX7XUUgAOOo5IyDjca0T,78xSB1R1x8T6o0QuRaodez","Waiting for You","D97","Verzache,Swell",2017-06-16,230000,61,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-06-08T01:54:31Z,"lo-fi beats,japanese chillhop",0.524,0.274,6,-13.931,1,0.295,0.502,0.257,0.0924,0.342,167.998,4
548HwuXDxj3wxRu45e0uf8,"3VwKSHAfgzV1DOHV0aANCI,17czHqI0Lwj2V3htvm8afG","Darkest (Dim)","Creature Dreams","TOKiMONSTA,Gavin Turek",2011-05-16,309145,50,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-06-08T01:54:39Z,"chillwave,electra,future bass,vapor twitch,wonky,pop soul",0.519,0.551,10,-8.436,0,0.0333,0.0592,0.437,0.368,0.141,86.83,4
2rEi2EVifTDEekI1YOMju3,"7A0awCXkE1FtSU8B0qwOJQ","Idontknow - 7 Version","Idontknow","Jamie xx",2020-04-17,224045,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-06-08T01:55:02Z,"electronica,future garage,new rave",0.495,0.731,10,-7.354,0,0.27,0.538,0.768,0.0732,0.726,159.973,4
1IhWgIG1eScniLWZivkPPF,"28j8lBWDdDSHSSt5oPlsX2,3VwKSHAfgzV1DOHV0aANCI","Light It Up","RINGOS DESERT","ZHU,TOKiMONSTA",2018-09-07,198567,57,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-06-08T01:55:10Z,"edm,electro house,chillwave,electra,future bass,vapor twitch,wonky",0.835,0.541,3,-7.366,0,0.117,0.112,0.561,0.634,0.365,105.012,4
7w0lCrXGoUj5b8DgW5wZlx,"5XQRfs0gXs30aWUn1Umves","Petrol Bliss","Mono No Moto","Choker",2019-01-25,189295,56,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-06-08T01:55:18Z,"alternative r&b,indie r&b,indie soul",0.778,0.291,0,-10.355,1,0.106,0.84,0.0000823,0.66,0.353,142.015,4
6yvTddeHmEiYG7FN8a5frz,"1uiEZYehlNivdK3iQyAbye,2rspptKP0lPBdlJJAJHqht,3gTKlamoFhZeUOFykWBouS","Lift Off","What Kinda Music","Tom Misch,Yussef Dayes,Rocco Palladino",2020-04-24,318939,48,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-06-08T01:55:24Z,"indie soul,jazz pop,british jazz,indie jazz,uk contemporary jazz",0.488,0.567,1,-9.875,1,0.1,0.0307,0.842,0.0896,0.308,138.522,4
4eULGB0zI7NIdV2KjWbbiZ,"3QTDHixorJelOLxoxcjqGx,3qBKjEOanahMxlRojwCzhI","Mood (feat. Zacari)","Chasing Summer","SiR,Zacari",2019-08-30,191360,61,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-06-08T01:55:30Z,"alternative r&b,hip hop,indie r&b,indie soul,la pop,r&b,rap,gqom",0.599,0.686,8,-5.951,1,0.0422,0.0177,0.00105,0.0929,0.663,148.009,4
40ZUYrNTx4WAWN39VkrCOW,"294lNTPZfdqyzt8qnxmFiL","Stay Tru","The Jungle Is The Only Way Out","Mereba",2019-02-27,237853,50,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-06-08T01:55:37Z,"alternative r&b,chill r&b,escape room,indie r&b,indie soul,r&b",0.524,0.364,4,-11.715,1,0.082,0.862,0.0000825,0.117,0.339,150.077,4
1EvFahLuLZ0vSVZo8YR3G9,"0fEfMW5bypHZ0A8eLnhwj5","Due West","Blood","Kelsey Lu",2019-04-19,251240,48,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-06-08T01:55:44Z,"alternative r&b,art pop,escape room,experimental r&b",0.429,0.545,6,-9.192,0,0.065,0.425,0.00000205,0.167,0.14,82.56,4
1KN2z32nlbkmh0I8XXlNWD,"16rCzZOMQX7P8Kmn5YKexI","BRB","Isolation Tapes","Mahalia",2020-05-01,210226,48,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-06-08T01:55:49Z,"alternative r&b,chill r&b,dance pop,indie anthem-folk,indie r&b,indie soul,pop,r&b,uk contemporary r&b",0.757,0.545,6,-7.312,1,0.0512,0.292,0.0000476,0.102,0.568,79.949,4
5PMKzsUsTpZZGsCcJBuhP2,"5KNqYrivNgVCHBssEUSu5B,64ccradw8gAQn9gMQZmEha","U Know What's Up (feat. Lisa Left Eye Lopes)","Where I Wanna Be","Donell Jones,Lisa "Left Eye" Lopes",1999-05-29,243733,64,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-06-08T01:55:55Z,"hip hop,hip pop,neo soul,new jack swing,pop rap,quiet storm,r&b,urban contemporary",0.854,0.543,8,-6.166,0,0.0844,0.0402,0.0000573,0.0419,0.868,103.032,4
6Gh6lzW6QeiXkFSfsvNS0b,"2mVVjNmdjXZZDvhgQWiakk,3qnGvpP8Yth1AqSBMqON5x","Midnight","Texas Sun","Khruangbin,Leon Bridges",2020-02-07,314683,65,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-06-08T01:56:04Z,"neo-psychedelic,modern blues,soul",0.663,0.552,5,-8.925,0,0.0308,0.0574,0.0131,0.0973,0.687,132.867,4
4Ami4MTReWxztxGW1ZmOk8,"3QTDHixorJelOLxoxcjqGx,5usbqiU7sjvszjWecANDL6","Rapper Weed","Rapper Weed","SiR,WESTSIDE BOOGIE",2020-04-23,160000,60,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-06-08T01:56:12Z,"alternative r&b,hip hop,indie r&b,indie soul,la pop,r&b,rap,underground hip hop",0.551,0.674,7,-5.15,1,0.425,0.0446,0,0.0922,0.55,147.368,4
40pjk9HXKCxFrsAhKwQKBJ,"3qnGvpP8Yth1AqSBMqON5x","You Don't Know","Good Thing","Leon Bridges",2018-05-04,172133,51,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-06-08T01:56:24Z,"modern blues,soul",0.856,0.59,9,-3.841,0,0.0537,0.0218,0.0000268,0.126,0.861,120.035,4
5u03lOJPE3Xxen9jqRChLP,"7mDU6nMUJnOSY2Hkjz5oqM","Snow White","Snow White","Roy Woods",2018-06-08,261834,53,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-06-08T01:56:31Z,"canadian contemporary r&b,canadian hip hop,pop rap,r&b,trap,trap soul",0.782,0.559,0,-7.955,0,0.046,0.195,0.00000211,0.112,0.199,88.038,4
0pGn1xGiK2KypQaTAbVYCC,"6lay1nwbE6hTx1jivysUAL","Dragons","Metallic Butterfly","Princess Nokia",2014,226066,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-06-08T01:56:48Z,"escape room,lgbtq+ hip hop,trap queen",0.519,0.888,0,-5.684,1,0.0992,0.00624,0.25,0.764,0.657,110.103,3
4PvbbMYL4fkToni5BLaYRb,"3l0CmX0FuQjFxr8SK7Vqag","Softly","Immunity","Clairo",2019-08-02,185306,69,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-06-08T01:56:54Z,"bedroom pop,pop",0.759,0.436,0,-11.233,0,0.0419,0.33,0.0113,0.102,0.782,94.03,4
5x28j84C6lbutAAeq2jxHX,"59KX7XUUgAOOo5IyDjca0T","Mind Games","Thought Pool","Verzache",2018-10-19,196709,48,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-06-08T01:57:04Z,"lo-fi beats",0.742,0.135,9,-16.873,1,0.0362,0.796,0.00805,0.0793,0.165,139.995,4
47w6S27JF4Zvrz1Wd6R66Z,"1uiEZYehlNivdK3iQyAbye,2rspptKP0lPBdlJJAJHqht","What Kinda Music","What Kinda Music","Tom Misch,Yussef Dayes",2020-04-24,230470,56,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-06-08T01:57:48Z,"indie soul,jazz pop,british jazz,indie jazz,uk contemporary jazz",0.523,0.56,5,-9.423,0,0.145,0.0532,0.83,0.0981,0.151,96.167,4
04XfGtqsLsEKuhfHWKwWSF,"55EarwWraRQY9diMo9Oeul","In the Night","In The Night","Deb Never",2019-01-25,197090,37,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-06-08T01:57:54Z,"modern indie pop",0.709,0.411,11,-9.271,1,0.0271,0.452,0.0324,0.1,0.177,95.003,4
66u9X0U99scCbZqdA2slTg,"5PbpKlxQE0Ktl5lcNABoFf","Deadlines (Hostile)","Making a Door Less Open","Car Seat Headrest",2020-05-01,261130,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-06-08T01:58:04Z,"alternative rock,indie pop,indie rock,modern rock",0.665,0.545,9,-7.208,0,0.0332,0.0136,0.000161,0.226,0.584,114.995,4
