Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0WVxOfYGdWB9EYrePHPzib,"2i8526w9fGlJcGVmepDyM4","Make Way For The King","Make Way For The King","Ohana Bam",2019-08-09,192000,53,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2021-06-01T14:48:48Z,"deep underground hip hop",0.639,0.89,7,-4.567,1,0.341,0.00452,0,0.249,0.607,160.067,4
1LFqcpp3k7r9nHBH7Lsos4,"5tth2a3v0sWwV1C7bApBdX","Queen Bitch","Hard Core","Lil' Kim",1996,197266,46,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2021-06-01T14:49:01Z,"dance pop,east coast hip hop,escape room,gangster rap,hip hop,hip pop,pop rap,r&b,rap,southern hip hop,trap queen,urban contemporary",0.787,0.773,2,-8.533,1,0.328,0.0732,0.102,0.105,0.844,85.658,4
5MnXRG5LzgSzdpIkg5nagT,"3nFkdlSjzX9mRTtwJOzDYB,2fkXIdjPk2Il6vxMsTct7k","Nigga What, Nigga Who (Originator 99)","Vol.2 ... Hard Knock Life","JAY-Z,Big Jaz",1998-11-29,233173,50,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2021-06-01T14:49:35Z,"east coast hip hop,hip hop,rap",0.879,0.626,9,-8.788,1,0.323,0.312,0,0.058,0.75,132.784,4
0O87uYqVEojqL2vYXAQx38,"17lzZA2AlOHwCwFALHttmp,3TVXtAsR1Inumwj472S9r4","Big Amount","Pretty Girls Like Trap Music","2 Chainz,Drake",2017-06-15,188066,27,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2021-06-01T14:49:46Z,"atl hip hop,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,canadian hip hop,canadian pop,toronto rap",0.544,0.857,3,-4.057,0,0.264,0.00882,0,0.108,0.13,133.894,4
3Tqi3BMq3bhuX6hT36M0Ni,"0DtXHIvJ8NWBg5pGvsgWnR","Money","Money","Leikeli47",2016-08-26,176805,35,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2021-06-01T14:50:15Z,"escape room,trap queen",0.934,0.595,7,-7.167,1,0.277,0.0696,0,0.0793,0.411,100.053,4
2Zza7LeJBNz3R2xprlfrFS,"1xr2G8Hlx4QWmT9HaUbmoO,50co4Is1HCEo8bhOyUWKpn,4r63FhuTkUYltbVAg5TQnk","Litty (feat. DaBaby)","Slime Language 2 (Deluxe)","Young Stoner Life,Young Thug,DaBaby",2021-04-16,216053,54,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2021-06-01T14:50:24Z,"rap,trap,atl hip hop,atl trap,gangster rap,hip hop,melodic rap,pop rap,north carolina hip hop",0.894,0.472,4,-9.837,1,0.307,0.0597,0,0.139,0.464,139.977,4
5W8jRrZ6tWrTrqnKRtIQBf,"6l3HvQ5sa6mXTsMTB19rO5,5f7VJjfbwm532GiveGC0ZK","p r i d e . i s . t h e . d e v i l (with Lil Baby)","The Off-Season","J. Cole,Lil Baby",2021-05-14,218210,80,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2021-06-01T14:50:37Z,"conscious hip hop,hip hop,north carolina hip hop,rap,atl hip hop,atl trap,trap",0.861,0.656,4,-7.867,0,0.425,0.104,0,0.0986,0.331,88.967,4
5sYDaPfI4xwmLLGykc7J8t,"6aaMZ3fcfLv4tEbmY7bjRM,24zj84GShUIcBQYq6VpOYW","Lay Wit Ya (feat. Duke Deuce)","Lay Wit Ya (feat. Duke Deuce)","Isaiah Rashad,Duke Deuce",2021-05-07,202331,26,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2021-06-01T14:50:47Z,"hip hop,rap,tennessee hip hop,underground hip hop,memphis hip hop,southern hip hop,trap",0.93,0.851,1,-7.583,1,0.192,0.0337,0.0000368,0.763,0.97,140.014,4
2NeYX4elcfXB91h7Mi8bYD,"3IuEuLez19teZSN32Pf70j,0XUmZ24mo2K3u7BXltUAFJ","I'm a Raggedy Bitch, But My Heart Is Amazing","Living the Best and Worst Life at the Same Damn Time!","MonoNeon,Polychaos",2019-09-04,169500,35,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2021-06-01T14:51:03Z,"microtonal",0.775,0.683,5,-6.248,1,0.0612,0.265,0.000141,0.302,0.979,93.164,4
1CPNDS1o6EbnVycgGQUPBI,"1RpIWJHxLsDE8YfFcRaBKw","Crush on You - Remix","Notorious B.I.G.","Biggie Smalls",1994,283080,16,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2021-06-01T14:52:09Z,"",0.725,0.672,11,-8.783,0,0.282,0.288,0,0.0966,0.75,88.828,4
6gbv4ESVucR3K9jSlRVNn3,"6hnWRPzGGKiapVX1UCdEAC","You Send Me","The Best of Sam Cooke","Sam Cooke",1962,164675,54,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2021-06-01T14:52:34Z,"adult standards,brill building pop,classic soul,rock-and-roll,soul",0.566,0.264,4,-12.126,0,0.0294,0.876,0,0.122,0.456,95.941,4
6pPWRBubXOBAHnjl5ZIujB,"1zuJe6b1roixEKMOtyrEak","The Best","Foreign Affair","Tina Turner",1989-09-13,329800,68,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2021-06-01T14:52:42Z,"disco,mellow gold,new wave pop,soft rock",0.662,0.737,0,-9.54,1,0.0296,0.108,0.0191,0.119,0.744,103.867,4
