Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
67kM8ng5MbvmsilnkcjLGD,"0IKVDL3N8vpYgeNOV6np14","Mood","Mood","Lex Amor",2018-09-02,247098,43,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-12-02T03:31:56Z,"indie r&b,uk alternative hip hop",0.84,0.423,10,-14.179,1,0.0929,0.195,0.0176,0.319,0.356,111.982,4
7l0Ai4PW0s57O7kJ9OO9iU,"35mEzAsFbM7OOTzFyjTgeU","Soul II Stro","Stro Elliot","Stro Elliot",2016-12-16,181823,42,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-12-02T03:32:05Z,"jazz rap",0.529,0.576,11,-6.05,1,0.0316,0.34,0.756,0.345,0.136,93.004,4
0TmzYdnEqSzUSkr0MxGEmH,"0H39MdGGX6dbnnQPt6NQkZ","Gorgeous","While The World Was Burning","SAINt JHN",2020-11-20,185700,48,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-12-02T03:32:18Z,"melodic rap,pop rap,rap,slap house,trap",0.839,0.687,0,-6.648,1,0.0493,0.0319,0.00000962,0.2,0.281,100.027,4
5GkQIP5mWPi4KZLLXeuFTT,"66CXWjxzNUsdJxJ2JdwvnR,5cj0lLjcoR7YOSnhnX0Po5","motive (with Doja Cat)","Positions","Ariana Grande,Doja Cat",2020-10-30,167989,82,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-12-02T03:32:25Z,"dance pop,pop,post-teen pop,pop rap",0.789,0.742,10,-5.664,0,0.0652,0.0681,0,0.166,0.661,116.965,4
5k9BcVWNFpsU35Ojv7LjGQ,"6iWuBN32BqCJAeXW6o3nil","Dying in the Subtlety","Dying in the Subtlety","Cautious Clay",2020-11-18,139300,57,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-12-02T03:32:32Z,"alternative r&b,chill r&b,indie r&b,nyc pop,pop",0.721,0.559,9,-8.152,1,0.0309,0.00256,0.0000508,0.223,0.397,91.015,4
6w9Vnl20jjAlsTHZETUdAW,"39vA9YljbnOApXKniLWBZv","Ring","Free Love","Sylvan Esso",2020-09-25,157013,43,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-12-02T03:32:38Z,"electropop,etherpop,indie folk,indie pop,indie poptimism,indie rock",0.647,0.667,9,-6.841,1,0.123,0.649,0.0000199,0.173,0.591,79.955,4
4M19oMqFUEknd39tOk68Ne,"6O4EGCCb6DoIiR6B1QCQgp,41DoEThFgTTCXT8moE5MBQ","zeiss_hifi_v2 (feat. Caleon Fox)","Soul Trash","Toro y Moi,Caleon Fox",2019-10-29,152866,29,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-12-02T03:32:44Z,"alternative dance,alternative r&b,chillwave,electronica,indie soul,indietronica,new rave,nu gaze",0.697,0.731,0,-5.821,1,0.14,0.347,0,0.133,0.257,78.499,4
0z5ETXpbYwKcGo0CUoZeGs,"1FHDMgGdmIP4IsoFkAwbS0","Nevada","Nevada","River Tiber",2019-08-13,215536,39,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-12-02T03:32:50Z,"alternative r&b,indie soul",0.409,0.664,7,-8.739,1,0.0477,0.343,0.00493,0.184,0.233,79.329,4
4IfdUgyqsiIgAzx00utJs0,"3IuEuLez19teZSN32Pf70j","Hot Cheetos","My Feelings Be Peeling","MonoNeon",2019-01-18,254333,41,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-12-02T03:32:56Z,"",0.693,0.822,9,-5.841,0,0.108,0.0281,0.0037,0.157,0.637,93.177,4
11ZY9wPKm72osWrXBPYoSc,"2DGBzoOLcKLK3eWxFyugdB","Warm Pants","Warm Pants","Dua Saleh",2018-12-06,314000,45,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-12-02T03:33:02Z,"alternative r&b,escape room,minnesota hip hop,sudanese pop",0.498,0.419,7,-9.285,0,0.111,0.785,0.0000368,0.568,0.262,137.439,4
0XPKMhjt73BjplX6aTFGmr,"2qRWGTiSOFvdO1YqvyvIMP","On Deck","On Deck","Everybody Eats",2020-08-21,194742,2,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-12-02T03:33:11Z,"",0.653,0.67,1,-6.815,1,0.249,0.65,0,0.32,0.748,79.936,4
5aDZOMeCa6VuKJSENFsuGx,"5j93hwFBNo29RJMsWvtzj8,3A5tHz1SfngyOZM2gItYKu","Easter Sunday","Dyn-O-Mite","Zelooperz,Earl Sweatshirt",2019-09-16,122737,52,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-12-02T03:33:19Z,"alternative hip hop,detroit hip hop,underground hip hop,escape room,experimental hip hop,hip hop,rap",0.38,0.723,1,-9.608,0,0.34,0.0774,0.00000252,0.92,0.804,143.285,4
5kDkWHFx0AEvJ1Pfm2i0ac,"2Jwr7hGoSNK3S3QBxh3T0z,3nFkdlSjzX9mRTtwJOzDYB,0tCtGc5vt29zFZp6KXzN50","What We Do","Philadelphia Freeway","Freeway,JAY-Z,Beanie Sigel",2003-01-01,229106,56,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-12-02T03:33:25Z,"battle rap,gangster rap,hardcore hip hop,hip hop,philly rap,rap,southern hip hop,east coast hip hop,pop rap,hip pop,trap",0.569,0.894,9,-4.931,0,0.318,0.00715,0,0.158,0.293,188.892,4
0rjvlFcg4QVi9dDzctDDGD,"7MNEVabc4cs19CbzAFZmXz,5cM1PvItlR21WUyBnsdMcn,4s8ZGMVf3OiPktSP4ulpqU,6HQYnRM4OzToCYPpVBInuU,6p70iKebfMSl8zbkiEwOtS,0huGjMyP507tBCARyzSkrv,2TKC2gVUNBUAlFqfLUoaj0","Freeze Tag (feat. Cordae & Phoelix)","Dinner Party: Dessert","Terrace Martin,Robert Glasper,9th Wonder,Kamasi Washington,Dinner Party,Cordae,Phoelix",2020-10-09,191375,51,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-12-02T03:33:31Z,"alternative r&b,indie jazz,indie r&b,indie soul,neo soul,contemporary jazz,jazz,modern jazz piano,alternative hip hop,boom bap,hip hop,north carolina hip hop,underground hip hop,afrofuturism,jazz saxophone,dmv rap,pop rap,rap,trap,vapor trap,indie hip hop",0.68,0.592,1,-7.669,1,0.443,0.282,0,0.192,0.111,83.129,4
2nZvzyQUHPPGMsc0E73ahY,"4JfFdF9Row7UXtdsKtT6tc,7cJnfhnkbgXt8Od8P4BUKw","Didn't I - Dave Allison Rework","Didn't I","Darondo,Dave Allison",2014-05-13,328000,54,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-12-02T03:33:39Z,"afrobeat,funk,soul",0.539,0.704,0,-6.73,1,0.053,0.00827,0.132,0.133,0.68,186.033,4
6Re2AwZUVlgBng04BZTauW,"1dfeR4HaWDbWqFHLkxsg1d","Cool Cat - Remastered 2011","Hot Space (Deluxe Remastered Version)","Queen",1982-05-03,209106,52,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-12-02T03:33:51Z,"classic rock,glam rock,rock",0.818,0.399,1,-9.927,0,0.111,0.308,0.00253,0.18,0.838,73.765,4
