Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2qpX5WY7A7uLLLQfFpvRDK,"3Gm5F95VdRxW3mqCn8RPBJ","DR. WHOEVER","ONEPOINTFIVE","Aminé",2018-08-15,259226,56,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-11-02T15:30:19Z,"hip hop,pop rap,portland hip hop,rap,underground hip hop",0.639,0.332,5,-11.482,1,0.378,0.64,0,0.0518,0.866,83.306,4
4qTIOGPVKfrXuXeH2XXef9,"6zVFRTB0Y1whWyH7ZNmywf","Murder To The Mind (Album Mix)","Flow State","Tash Sultana",2018-08-31,256840,37,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-11-02T15:30:40Z,"australian reggae fusion",0.574,0.583,10,-7.491,0,0.0741,0.0962,0.00000528,0.392,0.64,86.998,4
32T61xmNSIXhGkEszzs0t8,"0GG2cWaonE4JPrjcCCQ1EG,3l0CmX0FuQjFxr8SK7Vqag","Better","Better (SG Lewis x Clairo)","SG Lewis,Clairo",2018-07-06,193761,60,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-11-02T15:30:53Z,"alternative r&b,indie soul,uk dance,vapor soul,bedroom pop,pop",0.699,0.583,6,-9.731,0,0.0357,0.05,0.00029,0.091,0.484,109.001,4
6yReUDu8b6PDNdLc0Z0djO,"2uYWxilOVlUdk4oV9DvwqK","Why Didn't You Stop Me?","Be the Cowboy","Mitski",2018-08-17,141978,64,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-11-02T15:31:04Z,"brooklyn indie,indie pop",0.607,0.86,0,-5.21,1,0.0437,0.000298,0.123,0.0745,0.556,120.038,4
4UADR6fNQfx4fxkiRQvSy2,"4QkSD9TRUnMtI8Fq1jXJJe","Pristine","Lush","Snail Mail",2018-06-08,295333,3,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-11-02T15:31:16Z,"baltimore indie,bubblegrunge,indie pop,indie rock",0.483,0.695,0,-5.493,1,0.0313,0.00461,0.000661,0.102,0.294,126.212,4
7mrEpwmQJ7qK1ik7ZjjcdD,"2sSGPbdZJkaSE2AbcGOACx","Clueless","Clueless","The Marías",2018-09-06,227234,55,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-11-02T15:31:45Z,"bedroom pop,indie pop,la indie",0.829,0.232,2,-16.553,1,0.0415,0.644,0.151,0.257,0.52,94.007,4
1Jl21sidRpEdlVBvYbssLx,"50co4Is1HCEo8bhOyUWKpn,0xOeVMOz2fVg5BJY3N6akT","Sin (feat. Jaden Smith)","On the Run","Young Thug,Jaden",2018-09-24,202533,62,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-11-02T15:33:52Z,"atl hip hop,atl trap,gangster rap,melodic rap,pop rap,rap,trap,hip hop,pop",0.889,0.385,11,-11.767,0,0.165,0.00544,0,0.274,0.235,125.995,4
6tGwDY47NZVeQ5X83HDK6u,"1Bl6wpkWCQ4KVgnASpvzzA","WEIGHT","iridescence","BROCKHAMPTON",2018-09-21,260093,47,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-11-02T15:31:55Z,"boy band,hip hop,rap,underground hip hop",0.451,0.746,9,-6.78,1,0.187,0.114,0.0000066,0.297,0.273,160.259,4
1XiKRU9Dg7QPlGRSWbfXgo,"1EpyA68dKpjf7jXmQL88Hy","Blaxploitation","Room 25","Noname",2018-09-14,133056,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-11-02T15:32:28Z,"alternative r&b,chicago rap,escape room,hip hop,indie soul,neo soul,underground hip hop",0.891,0.827,11,-6.139,1,0.351,0.091,0.00000153,0.221,0.861,100.987,4
2QaG8LwDIs9WYI8e0B6VPi,"4QkSD9TRUnMtI8Fq1jXJJe","Stick","Lush","Snail Mail",2018-06-08,313186,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-11-02T15:32:56Z,"baltimore indie,bubblegrunge,indie pop,indie rock",0.537,0.535,3,-5.842,1,0.0284,0.0399,0.0000333,0.067,0.324,117.895,3
3nAeCnfPmQtUaLkcJ4Y48q,"0GG2cWaonE4JPrjcCCQ1EG","Warm","Shivers - EP","SG Lewis",2015-09-11,286205,48,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-11-02T15:31:33Z,"alternative r&b,indie soul,uk dance,vapor soul",0.429,0.457,11,-14,0,0.0834,0.522,0.348,0.105,0.207,97.044,4
7jJsme36M90Cn6aYYC2l3t,"6UcJxoeHWWWyT5HZP064om","Talk Is Cheap","Built On Glass","Chet Faker",2014-04-01,218553,55,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-11-02T15:33:10Z,"art pop,indietronica",0.652,0.583,0,-8.52,0,0.173,0.465,0.000208,0.146,0.46,140.024,4
1OWGLpptXlHLw1yibeHiHa,"3Gm5F95VdRxW3mqCn8RPBJ","SHINE","ONEPOINTFIVE","Aminé",2018-08-15,150000,62,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-11-02T15:33:23Z,"hip hop,pop rap,portland hip hop,rap,underground hip hop",0.704,0.517,5,-7.999,0,0.312,0.314,0.00000636,0.174,0.443,139.857,4
2c09gumRCmu3qmbcqdQbUN,"1Bl6wpkWCQ4KVgnASpvzzA","THUG LIFE","iridescence","BROCKHAMPTON",2018-09-21,122986,48,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-11-02T15:33:38Z,"boy band,hip hop,rap,underground hip hop",0.576,0.74,0,-6.195,1,0.0854,0.274,0.000003,0.0948,0.37,159.959,4
3F57PtOdqRpD6euFYqtKXX,"5f7VJjfbwm532GiveGC0ZK,2hlmm7s2ICUX0LVIhVFlZQ","I Am (Lil Baby & Gunna)","Drip Harder","Lil Baby,Gunna",2018-10-05,145059,61,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-11-02T15:38:44Z,"atl hip hop,atl trap,rap,trap,hip hop,melodic rap",0.822,0.461,1,-6.506,1,0.449,0.328,0,0.122,0.268,130.003,4
0LWfUHni3AITNe28V3wo3j,"5Lhxlge1CR1DrgDAje8Qaw","California Girls","California Girls","NoMBe",2015-03-15,216923,50,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-11-02T15:34:17Z,"electropop,indie poptimism,indie soul,modern alternative rock,modern rock,vapor soul",0.708,0.533,6,-7.148,0,0.104,0.172,0.0404,0.112,0.536,78.039,4
5XxJf2APmhvjonMgviwj1O,"5dIssYf7lu8wufkQywN9WJ","What Have You Done","What Have You Done","KWAYE",2018-08-28,212320,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-11-02T15:34:31Z,"uk contemporary r&b",0.716,0.617,9,-8.126,0,0.0938,0.224,0,0.109,0.702,112.006,4
77PRYnUJjmzVz1bzEsHR20,"4vZBqD3QXrKiE3mZ6zHr22","Magdalena","Magdalena","duendita",2018-09-06,192053,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-11-02T15:34:53Z,"alternative r&b,bedroom soul",0.501,0.298,1,-14.964,1,0.0415,0.767,0.019,0.145,0.0424,110.099,4
