Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0y60itmpH0aPKsFiGxmtnh,"3rWZHrfrsPBxVy692yAIxF","Wait a Minute!","ARDIPITHECUS","WILLOW",2015-01-11,196520,84,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-09-30T04:35:05Z,"afrofuturism,dance pop,electropop,pop,post-teen pop",0.764,0.705,3,-5.279,0,0.0278,0.0371,0.0000194,0.0943,0.672,101.003,4
4RcouNtkBTiuZ9Ahvd2AKK,"0P54cVemq1DCHUfUMlWAoN","Hidden Fences - demo","Hidden Fences (demo)","TOBi",2017-09-08,231250,31,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-09-30T04:35:12Z,"canadian contemporary r&b,canadian hip hop",0.81,0.521,1,-10.638,0,0.0856,0.0875,0.0000963,0.111,0.534,133.961,4
63SekSACTGCa5NDK7TcLSH,"13y7CgLHjMVRMDqxdx0Xdo,2RdwBSPQiwcmiDo9kixcl8","Have It All (feat. Pharrell)","Goochsomnia","Gucci Mane,Pharrell Williams",2015-12-11,223712,38,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-09-30T04:35:21Z,"atl hip hop,dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap",0.82,0.745,2,-4.459,1,0.0776,0.372,0.000248,0.347,0.546,159.992,4
4LykuDcXuWs2nz0CZLigJv,"5qfkUSH3ip5dD2eEPhjkT3","Glass House","SUGA","Kyle Dion",2019-03-08,214142,38,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-09-30T04:35:26Z,"alternative r&b,chill r&b,indie r&b,indie soul,pop,r&b,trap soul",0.608,0.655,6,-5.841,0,0.0955,0.447,0.000035,0.558,0.564,72.882,4
4dyqjATpeX4aSqf1uW3Vkr,"20dRvQDfCTLJU0pgq13ZYp","Train Love","Transportation","Your Old Droog",2019-06-14,242320,56,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-09-30T04:35:32Z,"alternative hip hop,boom bap,underground hip hop",0.662,0.882,11,-5.717,0,0.176,0.102,0,0.688,0.675,95.029,4
5c8qaLe8tnbrgKmBqtz7d0,"6NwdT3GPUajFQ9IvBYe0cu","Bloom","Bloom","K. Roosevelt",2019-11-14,167832,6,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-09-30T04:35:48Z,"alternative r&b",0.733,0.625,9,-6.713,1,0.0463,0.246,0.102,0.112,0.507,143.038,4
6xxG3HbexOhJKyiLmtUPhT,"3K2Srho6NCF3o9MswGR76H","Hell N Back","Will You Be My Yellow?","Bakar",2019-09-20,213573,53,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-09-30T04:35:56Z,"uk alternative hip hop",0.633,0.684,10,-4.314,0,0.591,0.314,0.0000895,0.112,0.725,209.688,4
5ZHdSdhLl9d79wasqTn3Ax,"1uLYUm2A6kpFYAECfAFoH1,6DIUUnQRMBTkigLlsAxblR","Designer Boi","Designer Boi","A$AP NAST,D33J",2020-04-17,130957,54,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-09-30T04:36:02Z,"harlem hip hop,abstract beats",0.667,0.534,3,-6.842,0,0.0914,0.343,0.00000293,0.114,0.598,179.474,4
7Bar1kLTmsRmH6FCKKMEyU,"7tYKF4w9nC0nq9CsPZTHyP,0KuF7reCTOZwV7YJnHQqgr,2RdwBSPQiwcmiDo9kixcl8,7c0XG5cIJTrrAgEC3ULPiq","Hit Different","Hit Different","SZA,The Neptunes,Pharrell Williams,Ty Dolla $ign",2020-09-04,202007,77,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-09-30T04:36:08Z,"pop,r&b,rap,pop rap,hip hop,southern hip hop,trap,trap soul",0.679,0.516,0,-6.371,0,0.0452,0.199,0,0.0965,0.716,120.074,4
1dHJETCn2X1R1YwVlMvSza,"6evKD5JWJON3qPBJtUEmtY,3zTOe1BtyTkwNvYZOxXktX","Wanna Get To Know You","Beg For Mercy","G-Unit,Joe",2003-01-01,265026,65,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-09-30T04:36:15Z,"gangster rap,hardcore hip hop,hip hop,pop rap,queens hip hop,rap,southern hip hop,trap,contemporary r&b,dance pop,hip pop,neo soul,r&b,urban contemporary",0.513,0.826,10,-3.651,0,0.132,0.106,0,0.0675,0.889,76.91,1
76Gw6K3kG2zjuNGoFuwxIP,"0Wwji82sLA0Hcvtuak3omb","damn Right","damn Right","AUDREY NUNA",2020-09-10,164605,57,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-09-30T04:36:23Z,"chill r&b,indie r&b,modern indie pop",0.854,0.571,10,-7.382,0,0.356,0.116,0,0.117,0.662,162.016,4
0bZjzk8JuPyWVRCkkmow3Q,"4T8NIfZmVY6TJFqVzN6X49","Knock Knock","tobi lou and the Juice","tobi lou",2018-08-10,184320,36,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-09-30T04:36:38Z,"alternative r&b,chicago rap,chill r&b,pop,pop rap",0.9,0.572,11,-8.862,1,0.177,0.428,0.00000444,0.223,0.477,124.971,4
6baeAT0jVAxvnLn8rIN50X,"7qbvNcfTfckhCNM8NiR8nN","Constant Headache","S/T","Joyce Manor",2013-05-14,184306,61,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-09-30T04:36:44Z,"alternative emo,dreamo,emo,indie garage rock,indie punk,indie rock,lo-fi emo,pop punk",0.41,0.892,11,-4.289,1,0.124,0.0467,0,0.246,0.451,99.016,4
2QXvhG5wkzZthF2OTMIaNz,"3rWZHrfrsPBxVy692yAIxF","Overthinking IT","WILLOW","WILLOW",2019-07-19,327266,60,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-09-30T04:36:50Z,"afrofuturism,dance pop,electropop,pop,post-teen pop",0.369,0.665,0,-6.19,0,0.0695,0.0148,0.0131,0.37,0.323,95.885,5
