Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3DUBhiM44zetJNERX0n8Nk,"7LAucJAvbQa7ZIA0qP8YI2","Gimme Twice","Royal","The Royal Concept",2013-01-01,204226,42,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-12-04T20:23:59Z,"indie poptimism,shimmer pop,swedish alternative rock,swedish indie pop",0.409,0.951,11,-3.487,1,0.157,0.000306,0.00000811,0.314,0.523,155.967,4
4prEPl61C8qZpeo3IkYSMl,"7gjAu1qr5C2grXeQFFOGeh","Sleepyhead","Manners","Passion Pit",2009,174760,66,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-12-04T20:24:04Z,"alternative dance,indie pop,indie rock,indietronica,modern alternative rock,modern rock,shimmer pop",0.568,0.719,8,-5.406,1,0.0354,0.0892,0.00000184,0.233,0.539,106.036,4
4zsmZNQZOxIUmOMKG6oNqY,"4wo1267SJuUfHgasdlfNfc","Attention","Consolers of the Lonely","The Raconteurs",2008-03-05,220600,30,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-12-04T20:24:11Z,"alternative rock,dance-punk,garage rock,garage rock revival,indie rock,modern alternative rock,modern blues rock,modern rock,rock,supergroup",0.449,0.857,11,-4.447,1,0.0446,0.00045,0.00144,0.598,0.308,146.014,4
5t1Eqjxu93ub0LiTgxZQOB,"3M4ThdJR28z9eSMcQHAZ5G","Flathead","Costello Music","The Fratellis",2007-01-01,197440,43,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-12-04T20:24:19Z,"garage rock,modern alternative rock,modern rock,rock,scottish rock",0.598,0.95,0,-5.219,1,0.139,0.0123,0,0.329,0.29,105.185,4
4VbDJMkAX3dWNBdn3KH6Wx,"7gP3bB2nilZXLfPHJhMdvc","Helena Beat","Torches","Foster The People",2011-05-23,276173,65,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-12-04T20:24:25Z,"indietronica,modern rock,pop,rock",0.67,0.876,5,-4.905,0,0.0536,0.0127,0.00302,0.109,0.736,126.968,4
6M23RkYPbVR91c4iWVNkcl,"7xovAENFxmyEWhzbnHsB3Z","Changing","All At Once","The Airborne Toxic Event",2011-01-01,200053,51,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-12-04T20:24:38Z,"indie pop,indie rock,la indie,metropopolis,modern alternative rock,modern rock,pop rock,stomp and holler",0.613,0.913,8,-4.26,1,0.0545,0.0186,0,0.084,0.641,102.524,4
0JJP0IS4w0fJx01EcrfkDe,"46gyXjRIvN1NL1eCB8GBxo","Dear Maria, Count Me In","So Wrong, It's Right","All Time Low",2007-09-25,182826,80,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-12-04T20:24:45Z,"modern rock,pop punk,post-teen pop",0.459,0.895,2,-3.126,1,0.0805,0.00725,0,0.206,0.572,181.04,4
57i3M29DWoo7RDk0Tf0LZG,"4MSMDY0ClgWqXApU53I1L1","Daylight","Grand","Matt and Kim",2009-01-20,171333,67,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-12-04T20:24:55Z,"brooklyn indie,indie pop,indie poptimism,indie rock,indietronica,modern alternative rock,modern rock,shimmer pop",0.57,0.798,9,-4.92,1,0.0323,0.102,0.000128,0.178,0.671,103.303,4
1eyzqe2QqGZUmfcPZtrIyt,"63MQldklfxkjYDoUE4Tppz","Midnight City","Hurry Up, We're Dreaming","M83",2011,241440,72,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-12-04T20:25:01Z,"french shoegaze,french synthpop,indietronica,metropopolis,neo-synthpop",0.526,0.712,11,-6.525,0,0.0356,0.0161,0,0.179,0.32,105.009,4
3FM33HqRlV7J1QJoPOnd2u,"1xU878Z1QtBldR7ru9owdU","1901","Wolfgang Amadeus Phoenix","Phoenix",2009-05-25,193106,67,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-12-04T20:25:06Z,"alternative dance,dance-punk,indie pop,indie rock,modern rock,new rave,rock independant francais",0.591,0.831,0,-5.647,1,0.0415,0.0605,0.0000467,0.19,0.705,144.084,4
2bbhyUWJ5VjdfI3P4PRLu2,"3z6Gk257P9jNcZbBXJNX5i","Samson","Begin to Hope (Special Edition)","Regina Spektor",2006-06-13,189506,50,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-12-04T20:25:11Z,"indie pop,lilith,piano rock,pop rock",0.49,0.193,11,-9.544,1,0.0421,0.862,0.00000974,0.113,0.184,89.154,4
5mEyCUtI36Jmu2KNQQ4jaw,"0oeUpvxWsC8bWS6SnpU8b9","Girls Like You","Passive Me, Aggressive You","The Naked And Famous",2010,364493,52,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-12-04T20:25:20Z,"alternative dance,auckland indie,electropop,indie pop,indie poptimism,indie rock,indietronica,kiwi rock,metropopolis,modern rock,shimmer pop",0.491,0.481,4,-5.762,1,0.039,0.0657,0.000167,0.105,0.0546,124.858,4
3kusLGvgYkZldKfoDoJklR,"3kjuyTCjPG1WMFCiyc5IuB","Crown of Love","Funeral","Arcade Fire",2004-06-16,282333,48,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-12-04T20:31:51Z,"alternative dance,alternative rock,baroque pop,canadian indie,dance-punk,indie pop,indie rock,modern rock,new rave,permanent wave,quebec indie,rock",0.321,0.647,3,-6.514,1,0.0274,0.062,0.0000472,0.288,0.287,104.345,1
0jBE7Fn78EAvmIs3dCd6GO,"0epOFNiUfyON9EYx7Tpr6V","Is This It","Is This It","The Strokes",2001-07-30,151333,57,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-12-04T20:25:32Z,"alternative rock,garage rock,modern rock,permanent wave,rock",0.667,0.692,5,-8.361,1,0.0285,0.147,0.0000375,0.349,0.846,96.022,4
7zaZlzl0XhthNwH3GQcyZ0,"7jy3rLJdDQY21OgRLCZ9sD","Stranger Things Have Happened","Echoes, Silence, Patience & Grace","Foo Fighters",2007-09-25,321053,57,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-12-04T20:25:41Z,"alternative metal,alternative rock,modern rock,permanent wave,post-grunge,rock",0.71,0.304,6,-10.756,0,0.0332,0.702,0.00000792,0.0903,0.312,98.037,4
1D7UBHqaPWDbBHs2S5YXge,"3jOstUTkEu2JkjvRdBA5Gu","Perfect Situation","Make Believe","Weezer",2005-05-10,254333,55,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-12-04T20:25:54Z,"alternative rock,modern power pop,modern rock,permanent wave,pop rock,rock",0.47,0.806,6,-4.1,1,0.0328,0.0271,0.000142,0.2,0.403,93.853,4
01nkjRsgpYwtbH94l7y4cg,"3kVUvbeRdcrqQ3oHk5hPdx","Itchin' on a Photograph","Never Trust a Happy Song","Grouplove",2011-09-02,259506,53,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-12-04T20:26:56Z,"indie pop,indie rock,indietronica,la indie,modern alternative rock,modern rock,pop rock,rock,stomp and holler",0.501,0.877,6,-6.369,1,0.0484,0.137,0,0.309,0.268,96.993,4
7a86XRg84qjasly9f6bPSD,"5nCi3BB41mBaMH9gfr6Su0,6ueGR6SWhUJfvEhqkvMsVs","We Are Young (feat. Janelle Monáe)","Some Nights","fun.,Janelle Monáe",2012-02-21,250626,74,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-12-04T20:26:02Z,"baroque pop,metropopolis,modern rock,pop,pop rock,afrofuturism,alternative r&b,atl hip hop,dance pop,electropop,escape room,neo soul,r&b",0.378,0.638,10,-5.576,1,0.075,0.02,0.0000766,0.0849,0.735,184.086,4
1wAqhAF1dynDjMy7m5CSSE,"4LG4Bs1Gadht7TCrMytQUO","New Slang","Oh, Inverted World","The Shins",2001-06-19,231173,72,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-12-04T20:27:20Z,"albuquerque indie,alternative rock,chamber pop,indie folk,indie pop,indie rock,modern rock,portland indie,stomp and holler",0.669,0.388,0,-11.547,1,0.0306,0.605,0.144,0.0905,0.645,130.016,4
1rkbMXhEjIytsUGbhoR5pn,"4gzpq5DPGxSnKTe4SA8HAU","Life in Technicolor","Viva La Vida or Death and All His Friends","Coldplay",2008-05-26,149133,49,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-12-04T20:26:25Z,"permanent wave,pop",0.288,0.662,9,-10.482,1,0.0347,0.0102,0.944,0.498,0.254,131.056,4
2m1hi0nfMR9vdGC8UcrnwU,"6FBDaR13swtiWwGhX1WQsP","All The Small Things","Enema Of The State","blink-182",1999-06-01,167066,80,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-12-04T20:26:34Z,"pop punk,punk,socal pop punk",0.434,0.897,0,-4.918,1,0.0488,0.0103,0,0.612,0.684,148.726,4
24gicvFqrZCOY3CjMGlgFh,"57dN52uHvrHOxijzpIgu3E","Breaking Away","Ratatat","Ratatat",2004,259706,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-12-04T20:26:41Z,"alternative dance,electronica,indietronica,new rave",0.776,0.324,5,-8.357,1,0.0714,0.00388,0.899,0.108,0.642,87.991,4
6gSKswfcoWvaadqvuMF3Y7,"3kVUvbeRdcrqQ3oHk5hPdx","Colours","Never Trust a Happy Song","Grouplove",2011-09-02,257786,59,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-12-04T20:27:02Z,"indie pop,indie rock,indietronica,la indie,modern alternative rock,modern rock,pop rock,rock,stomp and holler",0.529,0.83,6,-5.428,1,0.0397,0.0211,0,0.0983,0.318,93.933,4
4UXSYJDEgOlMX3MXVkaiyH,"4LG4Bs1Gadht7TCrMytQUO","It's Only Life","Port Of Morrow","The Shins",2012-03-16,241613,47,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-12-04T20:27:15Z,"albuquerque indie,alternative rock,chamber pop,indie folk,indie pop,indie rock,modern rock,portland indie,stomp and holler",0.627,0.623,0,-6.613,1,0.0267,0.0476,0.00000109,0.149,0.454,147.983,4
