Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
26tMEDbutzryy8RyHX8HX4,"7A47sEe0ih6WpKmNCRMu86","From These Heights","From These Heights","Jelani Aryeh",2021-05-14,206585,59,spotify:user:pigsandplans,2021-05-16T16:44:39Z,"alternative r&b,bedroom soul,indie r&b",0.758,0.903,4,-3.909,1,0.0314,0.00949,0.00000743,0.628,0.749,125.002,4
0ImCrvyDR2Twf44Ugyv5Kj,"7lU8Gtn7moZmPqqu4oPkEh","NAPLES","NAPLES","Brevin Kim",2021-05-07,140217,53,spotify:user:pigsandplans,2021-05-07T04:06:03Z,"boston hip hop",0.665,0.63,6,-6.215,0,0.0332,0.128,0,0.295,0.178,92.039,4
5yi3oFTGTVGcM9LORYom7y,"6d6ts87Fxm1EdULf4CaLw4","Punching Bag","Punching Bag","Wallice",2020-10-21,153783,41,spotify:user:pigsandplans,2021-02-24T17:03:32Z,"",0.619,0.766,1,-1.73,0,0.0393,0.425,0.0000108,0.323,0.619,138.986,4
0El2SXMO1C6jSFg8pXeNzx,"4JLuMu6NZUAU8gYhrzvOdX","Did Me Wrong","Did Me Wrong","Terry Presume",2021-04-15,131453,34,spotify:user:pigsandplans,2021-04-27T16:49:22Z,"indie hip hop",0.782,0.571,0,-8.71,1,0.0861,0.737,0,0.138,0.417,94.969,4
6AtOwEpEs38Be9tuIX1eYh,"1SCrMreNPJYSRZIlRe9SUq","SITUATIONS","SITUATIONS","Paris Texas",2021-03-17,239770,44,spotify:user:pigsandplans,2021-03-19T14:13:20Z,"indie hip hop,indie r&b",0.924,0.299,0,-9.064,1,0.0735,0.0036,0.0239,0.138,0.23,130.025,4
5892YX6q8y3Rs9OysF08kv,"78rUTD7y6Cy67W1RVzYs7t","Break it off","Break it off","PinkPantheress",2021-03-23,93969,75,spotify:user:pigsandplans,2021-04-27T16:49:25Z,"",0.577,0.788,11,-6.737,0,0.0977,0.014,0.00000256,0.123,0.644,172.926,4
5c4SWwtj2Kt32afC7cQ4o0,"6mbzLeDgokrXD05pj6kf0N","Going Heavy","Porcupine","Molly Payton",2020-10-21,201586,25,spotify:user:pigsandplans,2020-12-15T20:46:27Z,"nz indie",0.633,0.665,9,-4.474,1,0.0363,0.0664,0,0.11,0.351,117.002,4
0xy1sGYDq3hDYjIjLkq9zD,"0kuUtCLEn8Z8X86bwUUumS","ysbcmn","ysbcmn","GODBY",2021-04-09,199106,30,spotify:user:pigsandplans,2021-04-27T16:49:28Z,"",0.55,0.316,5,-10.587,0,0.0738,0.558,0.0752,0.122,0.147,87.012,4
6Fc9IYSkbmVwv4dlzn8hJb,"4qXC0i02bSFstECuXP2ZpL","Overrated","No Love Lost","Blxst",2020-09-04,146938,68,spotify:user:pigsandplans,2020-09-24T18:22:37Z,"",0.842,0.545,1,-5.993,1,0.172,0.625,0.00164,0.103,0.466,97.897,4
6agc8lbcWKzfMmKVqQi46g,"7Mkl8rsG7ZMoh0SZPuVZUW","GOD LEVEL FREESTYLE","GOD LEVEL FREESTYLE","BBY KODIE",2021-03-19,171048,42,spotify:user:pigsandplans,2021-03-19T14:14:02Z,"vapor trap",0.572,0.392,3,-8.652,0,0.176,0.0096,0.000028,0.427,0.318,105.845,5
