Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3iVcZ5G6tvkXZkZKlMpIUs,"2YZyLoL8N0Wb9xBt1NhZWg","Alright","To Pimp A Butterfly","Kendrick Lamar",2015-03-16,219333,74,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-03-03T18:50:13Z,"conscious hip hop,hip hop,rap,west coast rap",0.796,0.766,7,-5.974,1,0.238,0.0742,0,0.0827,0.558,110.034,4
0N3W5peJUQtI4eyR6GJT5O,"2YZyLoL8N0Wb9xBt1NhZWg","King Kunta","To Pimp A Butterfly","Kendrick Lamar",2015-03-16,234693,74,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-03-03T18:50:16Z,"conscious hip hop,hip hop,rap,west coast rap",0.884,0.657,6,-4.569,0,0.0977,0.00589,0,0.154,0.489,107.059,4
7uWVT3UkCAZyANvv0bdyQn,"2YZyLoL8N0Wb9xBt1NhZWg,4jCbgl5Dmt3uOh8WRQfpPs,0N41KJ4H6bkPAm2tx7VS8C,4frXpPxQQZwbCu3eTGnZEw","These Walls","To Pimp A Butterfly","Kendrick Lamar,Bilal,Anna Wise,Thundercat",2015-03-16,300973,63,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-03-03T18:50:34Z,"conscious hip hop,hip hop,rap,west coast rap,indie soul,neo soul,alternative r&b,escape room,afrofuturism",0.752,0.489,1,-5.233,1,0.137,0.11,0.00000357,0.202,0.373,108.005,4
3ODXRUPL44f04cCacwiCLC,"2YZyLoL8N0Wb9xBt1NhZWg","i","To Pimp A Butterfly","Kendrick Lamar",2015-03-16,336013,60,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-03-03T18:50:42Z,"conscious hip hop,hip hop,rap,west coast rap",0.541,0.809,8,-4.286,1,0.324,0.708,0,0.72,0.753,120.094,4
3aGibUHhQyBsyumYHylw0K,"2YZyLoL8N0Wb9xBt1NhZWg","Backseat Freestyle","good kid, m.A.A.d city (Deluxe)","Kendrick Lamar",2012,212653,68,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-03-03T18:50:53Z,"conscious hip hop,hip hop,rap,west coast rap",0.546,0.651,1,-7.601,1,0.3,0.000739,0,0.235,0.646,77.878,4
2b3KgzISdjZVNPJJ1945nw,"2YZyLoL8N0Wb9xBt1NhZWg","Rigamortus","Section.80","Kendrick Lamar",2011-07-02,168591,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-03-03T18:51:23Z,"conscious hip hop,hip hop,rap,west coast rap",0.52,0.807,2,-6.281,1,0.409,0.24,0.00257,0.199,0.628,178.012,4
6jl01C724Mk68qlOQLco5I,"2YZyLoL8N0Wb9xBt1NhZWg","Blow My High (Members Only)","Section.80","Kendrick Lamar",2011-07-02,215791,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-03-03T18:51:30Z,"conscious hip hop,hip hop,rap,west coast rap",0.959,0.524,9,-8.145,0,0.274,0.316,0,0.274,0.84,119.933,4
3gl1RenSXn1biKijZ1qvky,"2YZyLoL8N0Wb9xBt1NhZWg","Ronald Reagan Era","Section.80","Kendrick Lamar",2011-07-02,216899,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-03-03T18:52:00Z,"conscious hip hop,hip hop,rap,west coast rap",0.424,0.828,1,-4.991,0,0.335,0.0152,0,0.389,0.3,167.469,4
0AOvNRgl0SMfOibWA5bP8o,"2YZyLoL8N0Wb9xBt1NhZWg,28ExwzUQsvgJooOI0X1mr3","Money Trees","good kid, m.A.A.d city (Deluxe)","Kendrick Lamar,Jay Rock",2012,386906,62,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-03-03T18:52:18Z,"conscious hip hop,hip hop,rap,west coast rap,gangster rap,pop rap,southern hip hop,trap,underground hip hop",0.716,0.531,7,-7.355,1,0.122,0.0703,0,0.224,0.344,71.994,4
4A57CXs3jAmyNTMAwWaV53,"3gd8FJtBJtkRxdfbTu19U2","Believe","Wilder Mind","Mumford & Sons",2015-05-04,220866,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-03-03T18:52:32Z,"modern folk rock,modern rock,stomp and holler,uk americana",0.362,0.668,2,-5.975,1,0.0431,0.035,0.0212,0.219,0.344,113.996,4
3pLTOP0G0etiWUknFoRpsr,"3gd8FJtBJtkRxdfbTu19U2","The Cave","Sigh No More","Mumford & Sons",2009,217986,7,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-03-03T18:52:34Z,"modern folk rock,modern rock,stomp and holler,uk americana",0.576,0.486,4,-9.364,1,0.0406,0.0606,0.000143,0.093,0.337,141.951,4
2BBkIgdXLv5vyp1DR0wpQl,"3gd8FJtBJtkRxdfbTu19U2","Little Lion Man","Sigh No More","Mumford & Sons",2009,246973,1,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-03-03T18:52:37Z,"modern folk rock,modern rock,stomp and holler,uk americana",0.519,0.512,5,-7.986,1,0.0282,0.0276,0.0000878,0.0976,0.441,138.596,4
2JHBMVs8E7bJJBLkXpKgHn,"3gd8FJtBJtkRxdfbTu19U2","I Will Wait","Babel","Mumford & Sons",2012-09-21,276720,5,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-03-03T18:52:40Z,"modern folk rock,modern rock,stomp and holler,uk americana",0.481,0.766,1,-5.208,1,0.0334,0.0103,0.0067,0.302,0.436,131.143,4
4PgJ0NUYaDDh659TW5mWBK,"3gd8FJtBJtkRxdfbTu19U2","The Wolf","Wilder Mind","Mumford & Sons",2015-05-04,221240,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-03-03T18:52:43Z,"modern folk rock,modern rock,stomp and holler,uk americana",0.422,0.827,2,-5.31,1,0.0445,0.000507,0.765,0.198,0.327,152.956,4
3e6s8Z4MRSNgvNhVvpuUiw,"3gd8FJtBJtkRxdfbTu19U2","Ditmas","Wilder Mind","Mumford & Sons",2015-05-04,218626,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-03-03T18:53:13Z,"modern folk rock,modern rock,stomp and holler,uk americana",0.526,0.786,0,-5.77,1,0.043,0.00457,0.00256,0.0862,0.598,144.12,4
22wSK4rhBRHeTe8PIYKqLP,"3gd8FJtBJtkRxdfbTu19U2","Whispers In The Dark","Babel","Mumford & Sons",2012-09-21,195693,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-03-03T18:53:26Z,"modern folk rock,modern rock,stomp and holler,uk americana",0.4,0.754,2,-6.9,1,0.0388,0.00466,0.00318,0.126,0.278,134.808,4
5VwKEmrYEN5eAPvWqrrKS2,"3gd8FJtBJtkRxdfbTu19U2","Awake My Soul","Sigh No More","Mumford & Sons",2009,255826,5,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-03-03T18:53:37Z,"modern folk rock,modern rock,stomp and holler,uk americana",0.262,0.466,2,-9.785,1,0.0341,0.0621,0.0273,0.0913,0.254,85.522,1
7257drAN3eTtaaUUPw95B3,"1OwarW4LEHnoep20ixRA0y","Big Log - 2006 Remaster","The Principle of Moments","Robert Plant",1983,304800,60,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-03-03T18:54:38Z,"album rock,art rock,blues rock,classic rock,hard rock,mellow gold,progressive rock,rock,roots rock,soft rock,symphonic rock,uk americana",0.554,0.639,9,-7.163,0,0.0278,0.359,0.00274,0.205,0.644,180.638,4
1fOrdq5lDitklPno27DeHV,"1OwarW4LEHnoep20ixRA0y","In the Mood - 2006 Remaster","The Principle of Moments","Robert Plant",1983,322960,52,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-03-03T18:54:42Z,"album rock,art rock,blues rock,classic rock,hard rock,mellow gold,progressive rock,rock,roots rock,soft rock,symphonic rock,uk americana",0.607,0.723,7,-7.452,1,0.0282,0.17,0.0492,0.0779,0.298,101.558,4
6X2rYNgBbEghiWyexcbldt,"1OwarW4LEHnoep20ixRA0y","Ship of Fools - 2006 Remaster","Now and Zen","Robert Plant",2007-05-22,300586,46,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-03-03T18:54:57Z,"album rock,art rock,blues rock,classic rock,hard rock,mellow gold,progressive rock,rock,roots rock,soft rock,symphonic rock,uk americana",0.61,0.473,7,-6.594,1,0.0247,0.163,0.00111,0.0905,0.231,93.138,4
,"","One Day They'll know ODESZA REmix","A Color Map of the Sun (Remixes)","Pretty Lights",,260000,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-03-03T18:55:36Z,""
,"","Say My Name","","ODESZA",,266000,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-03-03T18:55:39Z,""
,"","All We Need (feat. Shy Girls)","In Return","ODESZA",,210000,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-03-03T18:55:42Z,""
7jZHUhAmW5oq1cq6s8IxmK,"21mKp7DqtSNHhCAU2ugvUw,7kdIgG6b9e3DZVmroWzu9w","Sun Models (feat. Madelyn Grant)","In Return","ODESZA,Madelyn Grant",2014-09-08,160000,66,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-03-03T18:55:52Z,"chillwave,ninja,tropical house",0.683,0.481,8,-9.174,0,0.075,0.191,0.736,0.0907,0.47,120.001,4
5MioM7cyUToVQN7zcIMVxi,"21mKp7DqtSNHhCAU2ugvUw","How Did I Get Here","Summer's Gone","ODESZA",2012-09-05,131250,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-03-03T18:56:01Z,"chillwave,ninja,tropical house",0.706,0.577,0,-6.226,0,0.0299,0.39,0.692,0.407,0.366,96.056,4
,"","Sun Models (feat. Madelyn Grant)","In Return","ODESZA",,160000,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-03-03T18:56:09Z,""
,"","Rich Girl","","Hall and Oates",,148000,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-03-03T18:56:45Z,""
7HX9f8AMBl0vQxAoAzLqhS,"77tT1kLj6mCWtFNqiOmP9H","You Make My Dreams (Come True)","The Very Best of Daryl Hall / John Oates","Daryl Hall & John Oates",2001-01-23,187600,63,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-03-03T18:57:26Z,"album rock,classic rock,folk rock,mellow gold,rock,soft rock,yacht rock",0.749,0.484,5,-9.944,1,0.0484,0.13,0.137,0.0486,0.939,167.084,4
1qjrYozGqc7upUgfN776lZ,"77tT1kLj6mCWtFNqiOmP9H","Sara Smile","Daryl Hall & John Oates (The Silver Album)","Daryl Hall & John Oates",1975,185293,67,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-03-03T18:57:58Z,"album rock,classic rock,folk rock,mellow gold,rock,soft rock,yacht rock",0.592,0.398,2,-10.81,0,0.0678,0.357,0.000925,0.119,0.204,150.038,3
4aKIs5t9TqP59btlCGPrgw,"77tT1kLj6mCWtFNqiOmP9H","Maneater","H2O","Daryl Hall & John Oates",1982,271893,1,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-03-03T18:58:19Z,"album rock,classic rock,folk rock,mellow gold,rock,soft rock,yacht rock",0.727,0.685,11,-7.159,0,0.0398,0.0351,0.0000443,0.0973,0.812,88.75,4
