Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1fE3ddAlmjJ99IIfLgZjTy,"0id62QV2SZZfvBn9xpmuCl","I Need a Dollar","I Need A Dollar","Aloe Blacc",2010-03-16,244373,0,spotify:user:1258014128,2015-09-09T03:20:49Z,"pop soul,r&b",0.836,0.362,8,-11.829,0,0.0387,0.178,0,0.0863,0.962,95.509,4
3tSi6iFO9yLGIYIqMEgjC9,"2iE18Oxc8YSumAU232n4rW","I Want You Back","Anthology: Jackson 5","The Jackson 5",2000-01-01,179226,61,spotify:user:1258014128,2015-09-09T03:23:00Z,"adult standards,motown,soul",0.67,0.584,8,-8.325,1,0.034,0.439,0.00614,0.178,0.944,98.185,4
5SdB3onMcO9ZBoKrdvCqhR,"2iE18Oxc8YSumAU232n4rW","ABC","The Ultimate Collection: Jackson 5","The Jackson 5",1996-01-01,178266,46,spotify:user:1258014128,2015-09-09T03:23:24Z,"adult standards,motown,soul",0.725,0.811,8,-7.201,1,0.0409,0.421,0.000324,0.146,0.942,94.149,4
3iwujDVtiJQwqbvjVS6LZV,"4GITZM5LCR2KcdlgEOrNLD","Build Me Up Buttercup","The Very Best Of The Foundations","The Foundations",2002,180280,0,spotify:user:1258014128,2015-09-09T03:23:28Z,"brill building pop,bubblegum pop,motown",0.648,0.607,0,-4.589,1,0.0306,0.378,0,0.28,0.879,133.555,4
5TUa3AsgSh3kJIuXn42wig,"53QzNeFpzAaXYnrDBbDrIp","Shout, Pts. 1 & 2","It's Your Thing: The Story Of The Isley Brothers","The Isley Brothers",1999,267333,52,spotify:user:1258014128,2015-09-09T03:23:35Z,"classic soul,disco,funk,motown,quiet storm,soul",0.467,0.831,10,-7.661,1,0.0683,0.549,0,0.95,0.547,137.355,4
4oeRfmp9XpKWym6YD1WvBP,"2vm8GdHyrJh2O2MfbQFYG0","You and I","Be OK","Ingrid Michaelson",2008-01-01,148706,0,spotify:user:1246524165,2015-09-09T03:23:50Z,"acoustic pop,ectofolk,indiecoustica,lilith,neo mellow,pop,pop rock",0.697,0.298,0,-7.635,1,0.0551,0.92,0,0.0874,0.509,134.216,4
3cfOd4CMv2snFaKAnMdnvK,"2iEvnFsWxR0Syqu2JNopAd","All Star","Astro Lounge","Smash Mouth",1999-06-08,200373,79,spotify:user:1246524165,2015-09-09T03:24:24Z,"alternative rock,pop rock",0.731,0.867,11,-5.881,1,0.032,0.0395,0,0.0861,0.776,104.019,4
22L7bfCiAkJo5xGSQgmiIO,"5K4W6rqBFWDnAN6FQUkS6x","All Of The Lights","My Beautiful Dark Twisted Fantasy","Kanye West",2010-11-22,299613,76,spotify:user:1258014128,2015-09-09T03:24:35Z,"chicago rap,rap",0.531,0.803,1,-3.284,1,0.0717,0.0796,0.0000171,0.176,0.221,142.113,4
5d9SYJezRJqMYJBQu1X3Mp,"1xLMexpeeTKQ20SwGMaGSK","Crazy Bird","The Runaround","Wild Child",2013-10-08,238390,0,spotify:user:1246524165,2015-09-09T03:24:53Z,"austin americana,austindie,deep new americana,folk-pop,indie folk,indie pop,stomp and holler",0.782,0.534,3,-8.35,1,0.0353,0.261,0.000176,0.37,0.722,93.473,4
1PS1QMdUqOal0ai3Gt7sDQ,"5K4W6rqBFWDnAN6FQUkS6x,7LnaAXbDVIL75IVPnndf7w","Gold Digger","Late Registration","Kanye West,Jamie Foxx",2005-08-30,207626,78,spotify:user:1258014128,2015-09-09T03:25:11Z,"chicago rap,rap,hip hop,hip pop,neo soul,pop rap,r&b,southern hip hop,urban contemporary",0.629,0.696,1,-5.572,0,0.348,0.0195,0,0.0554,0.623,93.034,4
7yCPwWs66K8Ba5lFuU2bcx,"6FBDaR13swtiWwGhX1WQsP","All The Small Things","Enema Of The State","blink-182",1999-01-01,168000,3,spotify:user:1246524165,2015-09-09T03:25:33Z,"pop punk,punk,socal pop punk",0.439,0.891,0,-4.764,1,0.057,0.0122,0,0.547,0.695,148.599,4
3AszgPDZd9q0DpDFt4HFBy,"1G9G7WwrXka3Z1r7aIDjI7","Hey Ya!","The Way You Move / Hey Ya!","Outkast",2003,239240,65,spotify:user:1246524165,2015-09-09T03:25:42Z,"atl hip hop,dirty south rap,hip hop,rap,southern hip hop",0.715,0.97,0,-2.206,1,0.0648,0.0644,0.000156,0.205,0.963,79.504,4
2XqTTDg835sjCyyFEvhYyr,"3plJVWt88EqjvtuB4ZDRV3","Stand By Me","Ben E King","Ben E. King",2011-03-09,182533,0,spotify:user:1246524165,2015-09-09T03:26:40Z,"adult standards,brill building pop,motown,rock-and-roll,soul,southern soul",0.642,0.156,9,-16.998,1,0.0376,0.114,0.000103,0.105,0.658,119.743,4
3xYKs2E0fNqJPsuF1f0cfz,"4MSMDY0ClgWqXApU53I1L1","Daylight","Grand","Matt and Kim",2009-01-20,171333,0,spotify:user:1246524165,2015-09-09T03:26:58Z,"brooklyn indie,indie pop,indie poptimism,indie rock,indietronica,modern alternative rock,modern rock,shimmer pop",0.583,0.79,9,-4.885,1,0.0319,0.0851,0.000387,0.11,0.714,103.286,4
2jplimH0b7Abf5LQSPx27A,"2wUjUUtkb5lvLKcGKsKqsR","Here","Here","Alessia Cara",2015-05-01,200226,0,spotify:user:1246524165,2015-09-09T03:27:04Z,"canadian contemporary r&b,canadian pop,dance pop,electropop,pop,post-teen pop",0.375,0.818,0,-4.031,1,0.141,0.084,0,0.0569,0.333,112.887,4
22W8VZFcnj4BCIaixnpW0L,"3PhoLpVuITZKcymswpck5b","Tiny Dancer","Elton John's Greatest Hits Volume 2","Elton John",1992-01-01,376066,0,spotify:user:1246524165,2015-09-09T03:27:10Z,"glam rock,mellow gold,piano rock,soft rock",0.418,0.352,0,-14.614,1,0.0279,0.327,0.0000334,0.132,0.261,145.533,4
0nmxH6IsSQVT1YEsCB9UMi,"2mxe0TnaNL039ysAj51xPQ","Ignition (Remix)","The R. In R&B Collection: Volume 1","R. Kelly",2003-09-11,187733,0,spotify:user:1246524165,2015-09-09T03:27:15Z,"",0.787,0.527,1,-6.981,1,0.0512,0.0615,0,0.0656,0.807,133.107,4
6cbrhtNNtXBnakm6XUjWPt,"2mV8aJphiSHYJf43DxL7Gt","Fall Back 2U","White Women","Chromeo",2014-05-12,350413,35,spotify:user:1246524165,2015-09-09T03:27:34Z,"alternative dance,dance rock,dance-punk,electropop,filter house,new rave,nu disco",0.792,0.807,10,-5.56,0,0.0584,0.293,0.0595,0.0663,0.277,120.929,4
4rmPQGwcLQjCoFq5NrTA0D,"3hv9jJF3adDNsBSIQDqcjp,0du5cEVh5yTK9QJze8zA0C","Uptown Funk (feat. Bruno Mars)","Uptown Funk (feat. Bruno Mars)","Mark Ronson,Bruno Mars",2014-11-24,270626,23,spotify:user:1246524165,2015-09-09T03:27:36Z,"dance pop,pop",0.853,0.681,0,-5.003,1,0.0888,0.00966,0.0000571,0.0233,0.93,114.989,4
3R5FA1Ay1NxgtwbElR78by,"2mV8aJphiSHYJf43DxL7Gt","Jealous (I Ain't With It)","White Women","Chromeo",2014-05-12,228026,47,spotify:user:1246524165,2015-09-09T03:27:40Z,"alternative dance,dance rock,dance-punk,electropop,filter house,new rave,nu disco",0.739,0.82,5,-6.099,0,0.0889,0.00823,0,0.2,0.775,127.984,4
28wGX1hoLCRbBZbEqITvE3,"3koiLjNrgRTNbOwViDipeA,75jNCko3SnEMI5gwGqrbb8","Ain't No Mountain High Enough - Stereo Version","The Very Best Of Marvin Gaye","Marvin Gaye,Tammi Terrell",2001-07-17,146160,0,spotify:user:1246524165,2015-09-09T03:28:39Z,"classic soul,funk,indie r&b,motown,northern soul,quiet storm,soul",0.677,0.693,11,-7.561,0,0.0343,0.437,0,0.405,0.755,130.013,4
359krpyCKcFF8SFvqWES9L,"4DBi4EYXgiqbkxvWUXUzMi","Wagon Wheel","O.C.M.S.","Old Crow Medicine Show",2004-02-10,232133,66,spotify:user:1246524165,2015-09-09T03:29:03Z,"bluegrass,folk,indie folk,modern old-time,new americana,old-time,progressive bluegrass,roots rock,stomp and holler",0.621,0.403,9,-8.211,1,0.0359,0.581,0,0.114,0.634,145.523,4
6Qm9MaditCcx5V62rVHYqu,"5ILrArfIV0tMURcHJN8Q07","A Thousand Miles","Best Of","Vanessa Carlton",2011-01-01,237440,60,spotify:user:1246524165,2015-09-09T03:29:07Z,"dance pop,lilith,neo mellow,piano rock,pop rock,post-teen pop",0.488,0.833,11,-3.876,1,0.0387,0.273,0,0.192,0.257,94.841,4
3JWkjpMCesLuBbz2LMMDgz,"6f0hUHWLOCxCSDQMtdVAS7,23apFYuBTpFemqLDn8ViLW","Drunk Off Your Love (feat. Sky Blu of LMFAO)","Island in the Sun","Shwayze,Cisco Adler",2011-09-13,226011,46,spotify:user:1246524165,2015-09-09T03:29:16Z,"indie pop rap,pop rap",0.752,0.693,10,-5.144,1,0.0932,0.23,0,0.199,0.667,119.977,4
1iw4yy8dDH9TcSEcOEWVnO,"59pWgeY26Q6yJy37QvJflh","Rill Rill","Treats","Sleigh Bells",2010-05-21,229893,43,spotify:user:1246524165,2015-09-09T03:29:39Z,"alternative dance,art pop,brooklyn indie,dance-punk,electropop,escape room,experimental pop,indie pop,indie surf,indietronica,new rave,noise pop,shimmer pop",0.483,0.804,8,-3.452,1,0.0501,0.0356,0.0000016,0.0736,0.811,73.048,4
