Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6dFZU9jUCwHHnytKYeuXz3,"3hrIm2M8DzmO6XI56HG7QG","Sugar How You Get So Fly","Sugar How You Get So Fly","Sugar Fix",2016-01-30,217828,0,spotify:user:1252578649,2017-07-31T03:43:54Z,"",0.632,0.743,3,-5.992,0,0.0407,0.0214,0,0.417,0.479,123.018,4
4oeRfmp9XpKWym6YD1WvBP,"2vm8GdHyrJh2O2MfbQFYG0","You and I","Be OK","Ingrid Michaelson",2008-01-01,148706,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-08-06T17:55:15Z,"acoustic pop,ectofolk,indiecoustica,lilith,neo mellow,pop,pop rock",0.697,0.298,0,-7.635,1,0.0551,0.92,0,0.0874,0.509,134.216,4
0nmxH6IsSQVT1YEsCB9UMi,"2mxe0TnaNL039ysAj51xPQ","Ignition (Remix)","The R. In R&B Collection: Volume 1","R. Kelly",2003-09-11,187733,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-08-06T17:55:30Z,"",0.787,0.527,1,-6.981,1,0.0512,0.0615,0,0.0656,0.807,133.107,4
3JWkjpMCesLuBbz2LMMDgz,"6f0hUHWLOCxCSDQMtdVAS7,23apFYuBTpFemqLDn8ViLW","Drunk Off Your Love (feat. Sky Blu of LMFAO)","Island in the Sun","Shwayze,Cisco Adler",2011-09-13,226011,46,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-08-06T17:55:35Z,"indie pop rap,pop rap",0.752,0.693,10,-5.144,1,0.0932,0.23,0,0.199,0.667,119.977,4
6OUkQGd1Wt2SuTctHdZPfj,"6LqNN22kT3074XbTVUrhzX","Blow - Cirkut Remix","I Am The Dance Commander + I Command You To Dance: The Remix Album","Kesha",2011-03-18,245053,39,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-08-06T17:56:03Z,"dance pop,electropop,pop,post-teen pop",0.782,0.605,11,-5.808,0,0.0817,0.0134,0.00486,0.0876,0.317,126.016,4
7oK9VyNzrYvRFo7nQEYkWN,"0C0XlULifJtAgn6ZNCW2eu","Mr. Brightside","Hot Fuss","The Killers",2004-06-15,222586,76,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-08-06T17:56:22Z,"dance rock,modern rock,permanent wave,rock",0.356,0.924,1,-3.74,1,0.0808,0.00101,0,0.0953,0.232,148.017,4
6fTdcGsjxlAD9PSkoPaLMX,"0ojcq9LJQWMawQdFDw3M0L","Sunday Candy","Surf","Donnie Trumpet & The Social Experiment",2015-06-30,226013,66,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-08-06T17:56:27Z,"pop soul",0.511,0.596,0,-6.56,1,0.224,0.53,0,0.0798,0.554,158.063,4
3aIhJDHxr1kgTSnutJxPTH,"4sTQVOfp9vEMCemLw50sbu","Peanut Butter Jelly","Pharmacy","Galantis",2015-06-05,203133,65,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-08-06T17:56:48Z,"dance pop,edm,electro house,pop,pop dance,tropical house",0.708,0.945,5,-3.247,0,0.234,0.00104,0.0803,0.227,0.545,127.96,4
1Pyxh8ERS8aouSSOQVvVsz,"1ShZZUjkbXCjhwrb18BA8I","Sour Patch Kids","Lazy Fair","Bryce Vine",2014-04-15,252560,50,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-08-06T17:56:54Z,"pop,pop rap",0.483,0.777,4,-5.049,1,0.0618,0.017,0.0000194,0.209,0.572,153.054,4
4gMnvtp0lXJY9GkgPGcELg,"3K2zB87GZv1krx031en5VA","In For The Kill","La Roux","La Roux",2009-01-01,248626,22,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-08-06T17:57:13Z,"alternative dance,dance pop,electropop,neo-synthpop,new rave",0.629,0.969,8,-0.276,0,0.0455,0.00184,0,0.122,0.905,150.01,4
7s5a2gLa9Ip1LDKeAaHJRr,"5fMUXHkw8R8eOP2RNVYEZX,3wWXYbMxREh97Te2ZN92Wi","Express Yourself (feat. Nicky Da B)","Random White Dude Be Everywhere","Diplo,Nicky Da B",2014-07-29,277546,41,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-08-06T17:57:18Z,"bmore,dance pop,edm,moombahton,ninja,pop,pop dance,tropical house,bounce,lgbtq+ hip hop",0.84,0.939,4,-3.052,0,0.233,0.0507,0.0000142,0.598,0.355,107.976,4
27GmP9AWRs744SzKcpJsTZ,"3TVXtAsR1Inumwj472S9r4,1RyvyyTE3xzB2ZywiAwp0i","Jumpman","What A Time To Be Alive","Drake,Future",2015-09-20,205879,73,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-08-06T17:57:21Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap,atl hip hop,southern hip hop,trap",0.852,0.553,1,-7.286,1,0.187,0.0559,0,0.332,0.656,142.079,4
6ZSO7kPn8IMJFymyticbJO,"4u5smJBskI6Adzv08PuiUP","Gold","low kii savage","Kiiara",2016-03-22,225882,67,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-08-06T17:57:38Z,"alt z,dance pop,electropop,indie poptimism,pop,post-teen pop",0.6,0.412,8,-9.343,1,0.344,0.615,0.0025,0.134,0.408,113.049,5
1i1fxkWeaMmKEB4T7zqbzK,"69GGBxA162lTqCwzJG5jLp,6Dd3NScHWwnW6obMFbl1BH","Don't Let Me Down","Don't Let Me Down","The Chainsmokers,Daya",2016-02-05,208373,79,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-08-06T17:57:41Z,"dance pop,edm,electropop,pop,pop dance,tropical house,alt z,indie poptimism,post-teen pop,uk pop",0.532,0.869,11,-5.094,1,0.172,0.157,0.00508,0.136,0.422,159.803,4
0gb1J5UrTpzaU1s3nupgCd,"4sTQVOfp9vEMCemLw50sbu","No Money","No Money","Galantis",2016-04-01,189126,70,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-08-06T17:57:45Z,"dance pop,edm,electro house,pop,pop dance,tropical house",0.671,0.916,6,-4.014,0,0.0397,0.0282,0.00762,0.24,0.803,126.01,4
7HzCxalzzYQOFb9a7Xs3j6,"2KsP6tYLJlTBvSUxnwlVWa","I Took A Pill In Ibiza - Seeb Remix","The Truth (Remixes)","Mike Posner",2015-12-18,198760,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-08-06T17:57:49Z,"dance pop,pop,pop rap",0.678,0.783,7,-4.672,0,0.0828,0.0331,0.0000151,0.134,0.679,102,4
6uAm7pG66O1XesXS9bpHSF,"56oDRnqbIiwx4mymNEv7dS","Good As Hell","Good As Hell","Lizzo",2016-03-11,159011,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-08-06T17:57:53Z,"dance pop,escape room,minnesota hip hop,pop,pop rap,post-teen pop,trap queen",0.684,0.905,0,-3.187,0,0.0765,0.285,0,0.525,0.492,95.985,4
40MkEbKzuSW9ET6HBngqnK,"738wLrAtLtCtFOLvQBXOXp,4VZY0nxYMSNotbS7WjNVQy,374sWpAJsbZckf98df2jJJ","Light It Up (feat. Nyla & Fuse ODG) [Remix]","Peace Is The Mission (Extended)","Major Lazer,Nyla,Fuse ODG",2015-11-27,166138,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-08-06T17:58:03Z,"dance pop,edm,electro house,moombahton,pop,pop dance,pop rap,afro dancehall,azonto",0.747,0.877,9,-3.782,0,0.0664,0.0375,0.000833,0.233,0.752,107.991,4
3CRDbSIZ4r5MsZ0YwxuEkn,"3YQKmKGau1PzlVlkL1iodx","Stressed Out","Blurryface","Twenty One Pilots",2015-05-15,202333,85,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-08-06T17:58:06Z,"modern rock,rock",0.734,0.637,4,-5.677,0,0.141,0.0462,0.0000229,0.0602,0.648,169.977,4
4h7eeTElsQMwqzFhu5u2of,"4lDXfIznmGueBgTjI3qGUX,6PwHyGcUfjwdjT9cdsaVWT","Aloha","Aloha","Møme,Merryn Jeann",2016-02-26,218400,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-08-06T17:58:21Z,"french indie pop,french indietronica,new french touch,nice indie,tropical house",0.588,0.728,10,-5.893,0,0.171,0.198,0.0000567,0.12,0.434,100.112,4
18cCBvygH6yEFDY0cYN3wT,"3dz0NnIZhtKKeXZxLOxCam,3lj7jldByrrpUgW5Je8o1p","Divinity","Worlds","Porter Robinson,Amy Millan",2014-08-12,368373,57,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-08-06T17:58:25Z,"complextro,edm,electro house,pop dance,progressive electro house,toronto indie",0.496,0.55,2,-5.418,1,0.034,0.00755,0.0122,0.0814,0.144,90.036,4
47zREtxQZ3cHHIZwUQnuuN,"6nxWCVXbOlEVRexSbLsTer,6xHUXzrfhFgnIv86EBR3Ml","Never Be Like You (feat. Kai)","Skin","Flume,kai",2016-05-27,233337,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2016-08-06T17:58:28Z,"australian dance,australian electropop,australian indie,downtempo,edm",0.564,0.552,0,-5.438,1,0.055,0.439,0,0.163,0.26,119.907,4
