Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5ftdTvmQjjsL23t7jxADfI,"2D4FOOOtWycb3Aw9nY5n3c","Brazil","Brazil","Declan McKenna",2015-12-04,252306,61,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2017-07-16T02:17:09Z,"indie pop,modern alternative rock,modern rock,pop,rock",0.689,0.617,4,-5.196,1,0.029,0.0918,0.0000208,0.0816,0.682,121.062,4
6omtWgXFEAeIoyEkiMFe9o,"4FXBouJHB0s6E3d6Q9YeSO","Casual Encounters","Silk Noise Reflex","James Tillman",2016-08-23,214227,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2017-07-16T02:17:29Z,"alternative r&b,indie jazz,indie r&b,indie soul,neo r&b",0.408,0.344,4,-13.927,0,0.0808,0.852,0.541,0.0941,0.159,150.03,4
0CRmjWYL4YebSS6gMBFSEJ,"4zrFO6P7G6EZry0pfxMfKT","Ponytail","Boy King","Wild Beasts",2016-08-05,218320,30,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2017-07-16T02:17:39Z,"alternative dance,chamber pop,chamber psych,dance-punk,indie rock,leeds indie,modern rock,new rave",0.716,0.503,0,-8.789,1,0.0441,0.00748,0.0672,0.337,0.577,95.074,4
4bAjCyhsBBTKK2uitHCF2r,"5Q81rlcTFh3k6DQJXPdsot","Messy Love","Mura Masa","Mura Masa",2017-07-14,225573,30,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2017-07-16T02:17:50Z,"channel islands indie,vapor soul",0.82,0.594,2,-8.484,0,0.0866,0.124,0.0144,0.551,0.467,109.988,4
6mb65kK0JHAP1mOGPGNLB3,"0N41KJ4H6bkPAm2tx7VS8C","Precious Possession","The Feminine: Act I","Anna Wise",2016-04-27,226548,39,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2017-07-16T02:18:03Z,"alternative r&b,escape room",0.808,0.294,9,-9.533,0,0.151,0.663,0.00336,0.112,0.122,137.973,4
5ivOiIOSkypt3P1jqjlmcf,"7wFDo161xYdeaiLz3KIHoM","Talking to Myself","Ology","Gallant",2016-05-04,237560,42,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2017-07-16T02:18:14Z,"alternative r&b,chill r&b,indie r&b,pop,pop r&b,r&b",0.628,0.485,0,-6.02,1,0.0733,0.0101,0.00000379,0.113,0.54,119.879,4
5Gtn8HgCAo0TUiaKKgP6us,"0n94vC3S9c3mb2HyNAOcjg","Down in the Valley","The Head and the Heart","The Head And The Heart",2010,303653,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2017-07-16T02:18:24Z,"folk-pop,indie folk,indie pop,modern rock,new americana,seattle indie,stomp and holler",0.418,0.403,0,-10.53,1,0.0294,0.555,0.024,0.108,0.149,105.801,4
5tGQGp9wJj4vxWOYFvJGrp,"7ybnRZKtRbWQzJfKyYSyh6","Higher","Higher","Mondo Cozmo",2016-12-16,182746,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2017-07-16T02:18:35Z,"alternative americana",0.657,0.827,5,-5.288,0,0.0312,0.000771,0.00453,0.0386,0.774,122.023,4
6wGM5YvgSNI5MDgQjQ0CaO,"0uRdK8gy7fXJGRywrlmPM7","Get busy living (feat. Emily Bruce)","Get busy living","GoldFish",2010-09-20,340986,41,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2017-07-16T02:18:54Z,"cape town indie,downtempo,nu jazz,south african alternative,south african pop,south african pop dance,tropical house",0.723,0.688,1,-7.14,1,0.0303,0.0993,0.00347,0.102,0.684,127.008,4
6prvUr8l3t7x5GY7heQb5w,"4yvcSjfu4PC0CYQyLy4wSq","Agnes","How To Be A Human Being","Glass Animals",2016-08-26,271672,59,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2017-07-16T02:19:05Z,"gauze pop,indietronica,shiver pop",0.55,0.518,1,-8.949,0,0.0246,0.0162,0.0286,0.114,0.233,165.033,4
4SNtyKNyYJ8ERT7YLlnFBr,"4kI8Ie27vjvonwaB2ePh8T","So Young","Woodstock","Portugal. The Man",2017-06-16,246480,63,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2017-07-16T02:19:18Z,"indie rock,modern alternative rock,modern rock,rock",0.671,0.445,4,-7.842,0,0.0291,0.348,0.0000593,0.155,0.811,75.996,4
0JaN65P0DapRjboDEv2g08,"50co4Is1HCEo8bhOyUWKpn","Me or Us","Beautiful Thugger Girls","Young Thug",2017-06-16,157880,46,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2017-07-16T02:19:27Z,"atl hip hop,atl trap,gangster rap,melodic rap,pop rap,rap,trap",0.682,0.251,5,-12.824,1,0.244,0.664,0.0000106,0.144,0.419,80.041,4
0VaIsQoIQY10uxBrOyZ5cQ,"23EA28263XvtIrXuySX6oI,1anyVhU62p31KFi8MEzkbf","May I Have This Dance (Remix) [feat. Chance the Rapper]","May I Have This Dance (Remix) [feat. Chance the Rapper]","Francis and the Lights,Chance the Rapper",2017-05-18,195356,58,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2017-07-16T02:19:37Z,"alternative r&b,chicago rap,conscious hip hop,hip hop,pop rap,rap",0.784,0.435,8,-9.197,1,0.0647,0.464,0.00000527,0.0913,0.865,90.033,4
1EJOXz9Z9BRSiKW62SH0JO,"0Ou0138wEd8XWebhc4j7O0","The Distance","The Water","San Cisco",2017-05-05,231866,35,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2017-07-16T02:19:58Z,"australian indie,australian pop,fremantle indie,metropopolis,perth indie",0.752,0.524,5,-9.367,0,0.0328,0.0166,0.0000607,0.0898,0.948,117.02,4
0Hm0TZFnKnmw9qENRPBCB9,"1z7b1Pr1rSlvWRzsW3HOrS","Back To You","There's Really A Wolf","Russ",2017-05-05,207546,48,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2017-07-16T02:20:07Z,"hawaiian hip hop,pop rap,rap",0.47,0.603,6,-5.44,0,0.455,0.00571,0,0.221,0.27,65.05,4
58kwvMXeOlsvzPqUlyj75Y,"4xRYI6VqpkE3UwrDrAZL8L,2N4EYkIlG1kv25g6Wv8LGI","Confess","Everybody","Logic,Killer Mike",2017-05-05,343026,49,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2017-07-16T02:20:18Z,"conscious hip hop,dmv rap,hip hop,pop rap,rap,alternative hip hop,atl hip hop,dirty south rap,escape room,political hip hop,southern hip hop",0.74,0.971,0,-2.81,1,0.0884,0.301,0.0016,0.156,0.528,122.952,4
2DncVCuvsWRueBrgkjMuHI,"0K1q0nXQ8is36PzOKAMbNe","I Ain't the One","Hot Thoughts","Spoon",2017-03-17,228106,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2017-07-16T02:20:30Z,"alternative dance,alternative rock,austindie,dance-punk,indie pop,indie rock,modern alternative rock,modern rock,rock",0.615,0.839,10,-7.555,0,0.0631,0.775,0.544,0.138,0.329,129.545,4
6AIccJIWHGK26xi34FAkwl,"6LuN9FCkKOj5PcnpouEgny","Let's Go","American Teen","Khalid",2017-04-27,204546,61,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2017-07-16T02:20:39Z,"pop",0.78,0.371,9,-6.705,1,0.0559,0.572,0,0.247,0.43,108.003,4
76gUmNLXGQVOsGhfcshkFP,"3TVXtAsR1Inumwj472S9r4","Madiba Riddim","More Life","Drake",2017-03-18,205162,63,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2017-07-16T02:20:49Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap",0.839,0.521,7,-10.45,1,0.166,0.245,0.00545,0.607,0.33,105.992,4
5R1QoTjPJb0zVuNpUEPyhx,"4TsHKU8l8Wq7n7OPVikirn","Some Kind of Way","The Chief","Jidenna",2017-02-17,235213,30,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2017-07-16T02:20:58Z,"ghanaian hip hop",0.686,0.682,5,-6.534,1,0.0317,0.0332,0,0.262,0.593,127.999,4
7DqktFsRwJa0XDFPMjV1xJ,"6v8FB84lnmJs434UJf2Mrm","Out on the Weekend - 2009 Remaster","Harvest (2009 Remaster)","Neil Young",1972-02-14,271933,59,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2017-07-16T02:21:29Z,"album rock,canadian singer-songwriter,classic canadian rock,classic rock,mellow gold,permanent wave,rock,roots rock,singer-songwriter",0.673,0.265,9,-15.711,1,0.0387,0.0967,0.0336,0.0809,0.641,136.748,4
2jfiDZCg4UjLJEFktdcAV4,"3kUKwTJdH8FuWzF8p6Dg9E","Unsquare Dance","Dave Brubeck's Greatest Hits","Dave Brubeck",1966,119826,46,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2017-07-16T02:21:46Z,"american modern classical,bebop,cool jazz,jazz,jazz piano",0.647,0.512,7,-13.619,1,0.0745,0.0504,0.925,0.0989,0.582,116.981,4
,"","Change","4 Your Eyez Only","J. Cole",,331000,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2017-07-16T02:21:18Z,""
00GYNdeBpo0QtByS8MIi9q,"21mKp7DqtSNHhCAU2ugvUw","Meridian","Meridian","ODESZA",2017-06-14,235860,36,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2017-07-16T02:21:58Z,"chillwave,ninja,tropical house",0.517,0.66,5,-6.175,0,0.0315,0.000034,0.252,0.571,0.0701,90.007,4
2zHmESGHFkWNllG1QvzBxT,"68kEuyFKyqrdQQLLsmiatm","Rain Come Down","Big Fish Theory","Vince Staples",2017-06-23,281053,43,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2017-07-16T02:22:29Z,"conscious hip hop,escape room,hip hop,rap,underground hip hop",0.882,0.399,8,-8.073,1,0.0555,0.417,0.000134,0.109,0.25,120.006,4
