Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6pmoQSAU9y2EIz6ee2hBwc,"4lPl9gqgox3JDiaJ1yklKh","Pet Cemetery","Whack World","Tierra Whack",2018-05-30,60000,43,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-07-26T22:52:07Z,"alternative r&b,escape room,indie soul",0.82,0.318,9,-7.313,1,0.0423,0.0377,0.000121,0.0471,0.981,179.972,4
5t3Vk8bRKylx4fjj7qlbib,"6qqNVTkY8uBg9cP3Jd7DAH","bitches broken hearts","bitches broken hearts","Billie Eilish",2018-03-30,176471,75,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-07-26T22:52:18Z,"electropop,pop",0.778,0.422,0,-10.114,1,0.0482,0.921,0.00924,0.0958,0.187,120.033,4
1sKuHiB2kQ6JORnS38wU9y,"53KwLdlmrlCelAZMaLVZqU","Don't Miss It","Don’t Miss It","James Blake",2018-06-04,294583,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-07-26T22:52:21Z,"indie soul,uk alternative pop",0.56,0.317,9,-11.324,1,0.0547,0.868,0.0526,0.14,0.0473,140.857,4
5BkNCuxzzid0gz9sx3NNbX,"21egYD1eInY6bGFcniCRT1","My Silver Lining","Stay Gold","First Aid Kit",2014-06-06,215493,62,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-07-26T22:52:28Z,"stomp and holler,swedish americana,swedish country",0.479,0.725,2,-4.671,1,0.0335,0.026,0.000129,0.209,0.43,101.938,4
0PoMoPqIJxe6H0rDMnpGP8,"12Zk1DFhCbHY6v3xep2ZjI,2qGEnRrkASvF3bnz0Uvmhe,5A9p1yLVyuXQM4W4k9WnYh","Honey","Honey - Single","070 Shake,Ralphy River,Hack & Tree",2016-08-16,398106,62,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-07-26T22:52:31Z,"alternative r&b,new jersey rap",0.696,0.667,0,-7.665,0,0.0407,0.0114,0,0.181,0.287,121.932,4
2cSiyndkQZRPmYOfrk9WlC,"30DhU7BDmF4PH0JVhu8ZRg,6LuN9FCkKOj5PcnpouEgny","Don't Let Me Down (feat. Khalid)","Don't Let Me Down / All to You","Sabrina Claudio,Khalid",2018-04-04,176688,53,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-07-26T22:52:39Z,"alternative r&b,chill r&b,pop,r&b",0.58,0.636,1,-7.661,1,0.11,0.5,0.00449,0.279,0.253,104.853,4
2EznBGrlmx9wBeYgyDojsA,"6ueGR6SWhUJfvEhqkvMsVs","I Like That","Dirty Computer","Janelle Monáe",2018-04-27,200338,62,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-07-26T22:52:50Z,"afrofuturism,alternative r&b,atl hip hop,dance pop,electropop,escape room,neo soul,pop,r&b",0.482,0.453,0,-8.864,1,0.059,0.0323,0.00243,0.149,0.17,134.799,4
1ExAxTVymjFH7nMAFFoGG5,"7e3FtKBIPLrIVm8g1FJMVg,3UjPnt2nRmw10N58bBeNOg","How Do You Love Me","Hours Spent Loving You","Sango,Xavier Omär",2016-08-04,166153,45,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-07-26T22:52:56Z,"abstract beats,alternative r&b,escape room,indie r&b,indie soul,vapor twitch,chill r&b,pop r&b,r&b,trap soul",0.862,0.342,10,-10.095,0,0.0551,0.665,0.0000819,0.102,0.177,129.992,4
1x1BKrrpq7CfOZPBeUsx16,"0WjtdWS6su0f3jrW9aqEHl","Grey Luh","Berhana","Berhana",2016-07-21,261102,60,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-07-26T22:53:01Z,"alternative r&b,chill r&b,indie r&b,indie soul",0.543,0.298,0,-9.167,1,0.0683,0.597,0.00000149,0.0804,0.254,125.523,4
5VqCEVBScatH05aM7KbABm,"59KX7XUUgAOOo5IyDjca0T","Juvenescence","Juvenescence","Verzache",2017-03-09,150167,55,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-07-26T22:53:05Z,"lo-fi beats",0.837,0.36,2,-8.864,1,0.0516,0.773,0.174,0.132,0.457,89.529,4
42dsU9wWkdwmOwFIYWvu4z,"3K2Srho6NCF3o9MswGR76H","Million Miles","Million Miles","Bakar",2018-02-16,193450,30,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-07-26T22:53:39Z,"uk alternative hip hop",0.797,0.546,7,-7.813,1,0.0945,0.131,0,0.136,0.265,154.995,4
4u4BySwVoZus7bUaGgTSfs,"2D66HfRgndWUWmdFMU1Y7Q","Since You","Since You","Ethan DeRose",2017-05-16,248000,33,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-07-26T22:53:44Z,"indie cafe pop",0.654,0.199,11,-14.118,0,0.174,0.859,0.00000442,0.0894,0.275,72.21,4
5sWbwccBcyHsg5LEKWGZo9,"6l3HvQ5sa6mXTsMTB19rO5","BRACKETS","KOD","J. Cole",2018-04-20,315771,63,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-07-26T22:53:51Z,"conscious hip hop,north carolina hip hop,rap",0.678,0.567,10,-9.148,0,0.261,0.188,0.00000167,0.164,0.658,84.039,4
1cfs0qXoMWheM0s8Rq7jf0,"1CoZyIx7UvdxT5c8UkMzHd","Blue Lights","Blue Lights","Jorja Smith",2018-04-17,250454,46,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-07-26T22:53:55Z,"alternative r&b,dance pop,pop,r&b,uk contemporary r&b",0.655,0.56,7,-8.293,1,0.209,0.645,0,0.107,0.334,92.028,4
1kYFGeEN51u0SgAVOyUJNI,"5mZC7ndY6oGMxJentRwsuV","Toy","Cocoa Sugar","Young Fathers",2018-03-09,193669,47,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-07-26T22:54:07Z,"abstract hip hop,escape room,ninja,scottish hip hop",0.664,0.858,1,-7.496,1,0.266,0.7,0.0112,0.0968,0.656,173.987,4
0Z6jJtJnVUis72b0ZRY8iA,"4YJkA3YshwZ8FwljpMW0II","you're not like everyone else","you're not like everyone else","sagun",2018-01-25,153846,39,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-07-26T22:54:13Z,"lo-fi beats,lo-fi chill",0.69,0.422,0,-14.272,0,0.19,0.973,0.00763,0.137,0.4,78.012,4
0cnZK04zksvknHM81ZpVHq,"7uWrjdCzTCnVj4o4Zh2rBh","Low","Low","Stevie wolf",2018-02-02,199002,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-07-26T22:54:17Z,"",0.582,0.285,11,-8.415,1,0.0588,0.302,0,0.155,0.135,145.648,4
