Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2sIz1iTqyVX8NAUkkUN258,"3s2jqlVaDwlRKk3mF7WT2b","Un-Thinkable","Couch Baby (Revisited)","Jamie Isaac",2017-03-17,240001,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-02T22:51:04Z,"indie soul",0.563,0.528,11,-12.19,0,0.0551,0.56,0.0248,0.0928,0.134,153.953,4
46KyjsEobuGoWbH2CoWjCN,"7kIbB1pdDyehFj8aNgfzfH","I'm Sorry","I'm Sorry","Ameer Vann",2016-12-02,177000,49,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-02T22:58:25Z,"hip hop,underground hip hop",0.84,0.525,2,-5.67,1,0.0454,0.426,0.296,0.102,0.189,130.037,4
3JBB92odunFru2gOvI91x9,"2i9uaNzfUtuApAjEf1omV8","Don't Wanna Be Your Girl","Wet","Wet",2014-05-06,174093,56,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-02T23:12:59Z,"brooklyn indie,electropop,indie electropop,indie pop,indie poptimism,nyc pop,vapor soul",0.62,0.193,0,-13.404,1,0.0439,0.638,0.0136,0.107,0.155,129.979,4
1zsxlqBfktCpTXK9CjUpyW,"5ZS223C6JyBfXasXxrRqOk","Wasted Love Freestyle","Wasted Love Freestyle","Jhené Aiko",2018-12-20,227133,51,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-02T23:19:22Z,"alternative r&b,dance pop,pop,r&b,urban contemporary",0.484,0.244,10,-12.716,0,0.0543,0.879,0.00000195,0.104,0.349,126.098,5
79YUO28pB2fGxsmigK3Sjv,"7Hjbimq43OgxaBRpFXic4x,1H78Q8wCK3PAvs1G3ocexx","Papaya","Papaya","Saba,daedaePIVOT",2018-12-07,236040,38,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-02T23:22:58Z,"alternative r&b,chicago rap,hip hop,rap,underground hip hop",0.746,0.584,6,-7.01,1,0.368,0.235,0,0.108,0.649,138.568,4
3zY9V0dYqTe1VhwB6NifR0,"1ztTVMgVpMa4gESKeL60xU","Goodbye L.A","This Is for the Time","Blah Blah Blah",2015-12-31,256546,45,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-02T23:25:49Z,"chicago indie",0.235,0.408,8,-9.595,1,0.0286,0.566,0.000114,0.135,0.255,182.488,3
4AYTCusq44mkt5Vzbm1YBO,"6iWuBN32BqCJAeXW6o3nil","HONEST ENOUGH","HONEST ENOUGH","Cautious Clay",2019-01-30,176387,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-02T23:30:13Z,"alternative r&b,chill r&b,indie r&b,nyc pop,pop",0.591,0.418,9,-7.88,1,0.0306,0.746,0.00207,0.334,0.358,115.995,4
6uYhMShmQkRYbrnOjERpoR,"53KwLdlmrlCelAZMaLVZqU","Are You In Love?","Assume Form","James Blake",2019-01-18,197600,43,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-02T23:30:34Z,"indie soul,uk alternative pop",0.557,0.278,8,-12.353,1,0.0427,0.723,0.0000224,0.0755,0.335,147.681,4
0rKtyWc8bvkriBthvHKY8d,"3MZsBdqDrRTJihTHQrO6Dq","SLOW DANCING IN THE DARK","BALLADS 1","Joji",2018-10-26,209273,83,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-02T23:30:43Z,"alternative r&b,viral pop",0.515,0.479,3,-7.458,1,0.0261,0.544,0.00598,0.191,0.284,88.964,4
7vY4ATettZurJp378JY4Xr,"5WQxQAu4xmUwCzxPw3GiB4,7mDU6nMUJnOSY2Hkjz5oqM","You, World, or Myself","You, World, or Myself","Stwo,Roy Woods",2018-11-28,205600,40,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-02T23:43:03Z,"trap soul,canadian contemporary r&b,canadian hip hop,pop rap,r&b,trap",0.858,0.411,2,-7.767,1,0.37,0.136,0.000274,0.114,0.248,150.028,4
