Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7MQAWNOygtba6zfzJb8FGv,"7BSxJ94R4yVoBLeU8DHNtt","Mariah - Kaytranada Remix","Prismatic Remixes","American Royalty",2013-07-09,261600,0,spotify:user:12140741376,2020-08-18T20:37:50Z,"shimmer pop",0.614,0.404,7,-5.861,0,0.0346,0.0113,0.132,0.11,0.189,79.96,4
0JzPnwc3eDdyBeReXFLgXr,"6qgnBH6iDM91ipVXv28OMu,5Vuvs6Py2JRU7WiFDVsI7J","Look Easy","Look Easy","KAYTRANADA,Lucky Daye",2020-07-10,165219,55,spotify:user:12140741376,2020-08-18T18:56:47Z,"escape room,indie soul,lgbtq+ hip hop,alternative r&b,chill r&b,indie r&b,pop r&b,r&b",0.718,0.637,1,-9.962,0,0.168,0.00828,0.0071,0.227,0.487,108.023,4
2xGBD7Bn0zsCBJvpuo9W1w,"6c5n3tYI05A05V4u4dxMuv","Her Winter","Eleven","Melo-Zed",2018-05-25,220684,27,spotify:user:12140741376,2020-08-18T18:57:11Z,"experimental r&b",0.447,0.514,9,-11.698,0,0.0881,0.466,0.358,0.112,0.127,122.442,4
2aSM4sbNN7cSmpYOG0sf46,"57LYzLEk2LcFghVwuWbcuS,2HPaUgqeutzr3jx5a9WyDV","My Affection (with PARTYNEXTDOOR)","Life On Earth - EP","Summer Walker,PARTYNEXTDOOR",2020-07-10,213933,63,spotify:user:12140741376,2020-08-18T18:56:57Z,"pop,r&b,pop rap,rap,toronto rap,trap,urban contemporary",0.632,0.495,7,-8.335,1,0.143,0.333,0,0.0941,0.233,77.083,4
35sOsFocK5HbM7iZ0kYuIM,"6eXZu6O7nAUA5z6vLV8NKI","Picture Perfect","Stillness in Wonderland","Little Simz",2016-12-16,183197,46,spotify:user:12140741376,2020-08-18T19:02:45Z,"escape room,indie soul,trap queen,uk alternative hip hop",0.8,0.683,7,-8.328,1,0.101,0.179,0,0.138,0.656,105.997,4
7x4ASXYEKfQBCewcZhK776,"790FomKkXshlbRYZFtlgla","Ay, DiOs Mío!","Ay, DiOs Mío!","KAROL G",2020-07-10,189653,80,spotify:user:12140741376,2020-08-18T19:01:37Z,"latin,reggaeton,reggaeton colombiano,trap latino",0.718,0.712,11,-4.366,1,0.174,0.512,0.00121,0.104,0.531,180.034,4
3atDsUhlUgDlQQrI0XFh7I,"3egWSWp7Y4FyCKIyvXbw7L","Cara Italia","Cara Italia","Ghali",2018-05-02,244324,55,spotify:user:12140741376,2020-08-18T18:57:21Z,"italian hip hop,italian pop,milan indie,rap tunisien",0.78,0.709,6,-7.059,0,0.0836,0.538,0.000362,0.112,0.711,111.038,4
0y60itmpH0aPKsFiGxmtnh,"3rWZHrfrsPBxVy692yAIxF","Wait a Minute!","ARDIPITHECUS","WILLOW",2015-01-11,196520,81,spotify:user:12140741376,2020-08-18T20:37:41Z,"afrofuturism,dance pop,electropop,pop,post-teen pop,r&b",0.764,0.705,3,-5.279,0,0.0278,0.0371,0.0000194,0.0943,0.672,101.003,4
7kllQQPam6HumbUCIPSvHJ,"2mknvtcck8i82nKxDPDibv,2zpFG5cvw00QmrYTUsjApa","T.S.O.P. (The Sound of Philadelphia) (feat. The Three Degrees)","Love Is The Message","MFSB,The Three Degrees",1973-12-01,222346,49,spotify:user:12140741376,2020-08-18T18:58:51Z,"classic soul,disco,funk,instrumental soul,jazz funk,motown,philly soul,post-disco,quiet storm,classic girl group",0.707,0.854,7,-8.231,0,0.0286,0.149,0.117,0.0987,0.96,114.022,4
6sVSbqlpbATtUEOGC4XNLh,"59WT73GxJi40AmPXYvJEYx,4pcfFC9isxezJyTwbV1nIp","Trip 5","Acid R&B Vol. 1","Heavy Mellow,Melanie Faye",2018-10-05,142359,40,spotify:user:12140741376,2020-08-18T18:59:04Z,"bedroom soul",0.744,0.406,2,-4.533,0,0.0553,0.703,0.71,0.0779,0.494,80.001,1
7EZzBzo5ZoRPKzZbE9iGun,"7LlIWfvgWlDBXfxCvCFbuC","Subside","This Thing Called Living","Eloise",2019-05-30,188185,5,spotify:user:12140741376,2020-08-18T19:00:50Z,"bedroom soul",0.736,0.461,8,-6.412,1,0.358,0.477,0.00487,0.149,0.486,81.979,4
3XxUkSDs1q76SetgaioRKN,"3pvRbmrqOyFxB2Eext4Dki","My Queen Is Nanny Of The Maroons","Your Queen Is A Reptile","Sons Of Kemet",2018-03-30,401693,41,spotify:user:12140741376,2020-08-18T18:58:03Z,"afrofuturism,british jazz,contemporary jazz,indie jazz,progressive jazz fusion",0.551,0.392,1,-16.852,1,0.177,0.417,0.876,0.0875,0.701,155.886,4
2iRy66b9oGfv2hg48EeaTt,"3pvRbmrqOyFxB2Eext4Dki,3PubLnxnO5N2Avr3UvG1Vc","My Queen Is Ada Eastman","Your Queen Is A Reptile","Sons Of Kemet,Joshua Idehen",2018-03-30,399733,40,spotify:user:12140741376,2020-08-18T19:02:28Z,"afrofuturism,british jazz,contemporary jazz,indie jazz,progressive jazz fusion,slam poetry",0.625,0.832,6,-6.294,1,0.105,0.656,0.0318,0.0979,0.725,146.092,4
3WG4Hc2Qt5OptSvmedsOZe,"1RsmXc1ZqW3WBs9iwxiSwk","Premier Bal","Les Années Bechet","Sidney Bechet",1997-05-06,203773,28,spotify:user:12140741376,2020-08-18T18:59:42Z,"big band,cool jazz,dixieland,jazz,jazz clarinet,new orleans jazz,stride,swing,vocal jazz",0.446,0.421,5,-10.761,0,0.0337,0.559,0.394,0.166,0.524,55.645,4
