Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3lTqnrfC7nNn9JuzJn6SMe,"6DBPiY29Re2ne1npE68FMf","Take a Win","Tomorrow People","The Physics",2012-08-25,184200,10,spotify:user:12140741376,2020-09-11T17:30:38Z,"",0.802,0.73,1,-7.073,0,0.228,0.683,0.0000519,0.188,0.64,85.972,4
4C0w63kqpLDNfTGsbLp8VG,"2oofDquWt9tMCETKAHmhlG","Sweet Things - Japanese Edition Bonus Track","Key Change - Japan Version","Mocky",2015-07-24,186057,14,spotify:user:12140741376,2020-09-11T17:31:01Z,"indie jazz,indie soul",0.586,0.443,7,-7.434,0,0.0487,0.187,0.0114,0.0874,0.396,186.06,4
4gQRvISGFcf9zKowPzd7M6,"2kQnsbKnIiMahOetwlfcaS","Starflower","Moonstone EP","Raveena",2020-02-07,157948,44,spotify:user:12140741376,2020-09-11T17:31:17Z,"alternative r&b,chill r&b,indie r&b,indie soul,r&b",0.622,0.166,3,-13.555,0,0.0456,0.962,0.000255,0.0911,0.145,95.784,4
7bmlAMEfTkO6g9VBM1QHG2,"4khzV3qBWcUKdc50QOv8Tc","Contigo Jamás","Taurus","Ocote Soul Sounds",2016-02-27,272733,35,spotify:user:12140741376,2020-09-11T17:32:14Z,"afrobeat,latin afrobeat",0.899,0.807,8,-6.58,1,0.0381,0.0909,0.32,0.104,0.717,94,4
3nqFj5a1e1Js36owMfvuR5,"6f1NeTjsouqhZf6SaJOQKD","Relax","Couleur Compas Vol. 3","Ti Kabzy",2012,410306,31,spotify:user:12140741376,2020-09-11T17:32:55Z,"kompa",0.646,0.879,5,-5.332,1,0.0476,0.0625,0.0108,0.0819,0.961,93.84,4
36c2NifUp0GDnoOQT5unhR,"4n9AMW1w0pXszeQcKFo13r","Butterfly's Repose","Butterfly's Repose","Zabawa",2020-03-14,309079,64,spotify:user:12140741376,2020-09-11T17:33:48Z,"modern indie pop",0.3,0.0177,0,-27.293,1,0.0422,0.974,0.00764,0.106,0.0896,120.492,3
0W95eMaAxNVYTquOsXXkC5,"3rWZHrfrsPBxVy692yAIxF","Female Energy, Part 2","WILLOW","WILLOW",2019-07-19,173920,70,spotify:user:12140741376,2020-09-11T17:36:13Z,"afrofuturism,dance pop,electropop,pop,post-teen pop,r&b",0.539,0.39,4,-8.341,0,0.0293,0.0143,0.000125,0.174,0.361,119.791,3
7zmleW3XZx0uUsL2CkFuDe,"4fpTMHe34LC5t3h5ztK8qu","SUMMER","EVERYTHING IS LOVE (Clean)","The Carters",2018-06-15,285200,51,spotify:user:12140741376,2020-09-11T17:39:18Z,"dance pop,pop,pop rap,r&b,urban contemporary",0.592,0.569,10,-6.374,1,0.0634,0.12,0.0000175,0.251,0.562,135.414,4
0y60itmpH0aPKsFiGxmtnh,"3rWZHrfrsPBxVy692yAIxF","Wait a Minute!","ARDIPITHECUS","WILLOW",2015-01-11,196520,81,spotify:user:12140741376,2020-09-11T17:40:10Z,"afrofuturism,dance pop,electropop,pop,post-teen pop,r&b",0.764,0.705,3,-5.279,0,0.0278,0.0371,0.0000194,0.0943,0.672,101.003,4
2QXvhG5wkzZthF2OTMIaNz,"3rWZHrfrsPBxVy692yAIxF","Overthinking IT","WILLOW","WILLOW",2019-07-19,327266,60,spotify:user:12140741376,2020-09-11T17:40:16Z,"afrofuturism,dance pop,electropop,pop,post-teen pop,r&b",0.369,0.665,0,-6.19,0,0.0695,0.0148,0.0131,0.37,0.323,95.885,5
0xiuSFBOEHWaJ6rSuUbJWc,"2DzRMyWgjuMbYvt5BLbpCo","Charlene","Comin' From Where I'm From","Anthony Hamilton",2003-07-15,246773,58,spotify:user:12140741376,2020-09-11T17:40:49Z,"neo soul,new jack swing,quiet storm,r&b,soul,urban contemporary",0.556,0.346,0,-9.809,0,0.311,0.536,0,0.106,0.451,123.869,4
0yJBJQVJ6AflnhWc6qM8AN,"7KwnJS9ZX7lbtNlDksmyl7","Move And Groove Together","The Legendary Henry Stone Presents: Benny Latimore - The Early Years","Benny Latimore",2004-10-19,157440,28,spotify:user:12140741376,2020-09-11T17:41:17Z,"",0.533,0.778,10,-3.566,1,0.0326,0.712,0.0000156,0.195,0.69,93.954,4
5X5MEY8qK5Y9m9XFnG95GD,"5Sl6LqFecJcrb9E9lenGAj","11AM","How Things Fly","Saba Abraha",2016-08-11,196572,26,spotify:user:12140741376,2020-09-11T17:41:25Z,"",0.683,0.643,11,-8.837,0,0.155,0.0353,0.000206,0.159,0.338,163.941,4
1EvFahLuLZ0vSVZo8YR3G9,"0fEfMW5bypHZ0A8eLnhwj5","Due West","Blood","Kelsey Lu",2019-04-19,251240,48,spotify:user:12140741376,2020-09-11T17:41:43Z,"alternative r&b,art pop,escape room,experimental r&b",0.429,0.545,6,-9.192,0,0.065,0.425,0.00000205,0.167,0.14,82.56,4
2WlOO5UM3eoEQt7Z2z3PU1,"3jK9MiCrA42lLAdMGUZpwa","Might Be","Venice","Anderson .Paak",2014-10-28,237165,55,spotify:user:12140741376,2020-09-11T17:41:50Z,"escape room",0.684,0.585,2,-7.601,1,0.0712,0.357,0.00000123,0.728,0.335,148.507,4
6tDxrq4FxEL2q15y37tXT9,"1ZwdS5xdxEREPySFridCfh","Dear Mama","Me Against The World","2Pac",1995-03-14,280000,72,spotify:user:12140741376,2020-09-11T17:42:00Z,"g funk,gangster rap,hip hop,rap,west coast rap",0.773,0.54,6,-7.123,1,0.103,0.371,0,0.131,0.322,84.115,4
5NAsayJ95IyU7B9zpPSb4P,"1y0ssbInZWj0DPbdqpJTA6","There She Go","GARREN, LP","Garren Sean",2017-07-28,201250,36,spotify:user:12140741376,2020-09-11T17:42:05Z,"bay area indie",0.505,0.696,6,-7.375,0,0.413,0.263,0.0237,0.609,0.336,96.133,4
1zp5rSteJmtNfBmgoq9JlB,"1fg65Qx6tRt0aXBfz5I4w5","Can You Discover?","LP","Discovery",2009-07-06,142466,0,spotify:user:12140741376,2020-09-11T17:42:12Z,"indie pop",0.555,0.822,9,-6.602,1,0.271,0.0962,0,0.0485,0.536,145.276,4
5UFtKaL5KBumqv4tpgdm0p,"43JlwunhXm1oqdKyOa2Z9Y,0yLmsf6RBPYqm6hvFJCPg6","Laputa (Taylor McFerrin Remix feat. Anderson .Paak)","Recalibrations, Vol. 1","Hiatus Kaiyote,Taylor McFerrin",2016-05-16,244240,51,spotify:user:12140741376,2020-09-11T17:42:18Z,"australian r&b,indie jazz,indie soul,neo soul,shiver pop,broken beat,neo r&b,wonky",0.453,0.655,5,-7.709,0,0.302,0.271,0,0.118,0.492,106.222,4
1SBjKYeVsUgrvR5mtJp6vk,"7BSxJ94R4yVoBLeU8DHNtt,6qgnBH6iDM91ipVXv28OMu","Mariah - Kaytranada Remix","Prismatic Remixes","American Royalty,KAYTRANADA",2013-07-09,261600,36,spotify:user:12140741376,2020-09-11T17:42:41Z,"shimmer pop,escape room,indie soul,lgbtq+ hip hop",0.614,0.404,7,-5.861,0,0.0346,0.0113,0.132,0.11,0.189,79.96,4
2ALXKyI9lB1HoIwJh7I2v0,"1RsmXc1ZqW3WBs9iwxiSwk","Petite Fleur","Les Années Bechet","Sidney Bechet",1997-05-06,198106,50,spotify:user:12140741376,2020-09-11T17:42:56Z,"big band,cool jazz,dixieland,jazz,jazz clarinet,new orleans jazz,stride,swing,vocal jazz",0.502,0.239,7,-12.21,0,0.0513,0.626,0.193,0.0739,0.401,82.801,4
3atDsUhlUgDlQQrI0XFh7I,"3egWSWp7Y4FyCKIyvXbw7L","Cara Italia","Cara Italia","Ghali",2018-05-02,244324,55,spotify:user:12140741376,2020-09-11T17:43:06Z,"italian hip hop,italian pop,milan indie,rap tunisien",0.78,0.709,6,-7.059,0,0.0836,0.538,0.000362,0.112,0.711,111.038,4
0JzPnwc3eDdyBeReXFLgXr,"6qgnBH6iDM91ipVXv28OMu,5Vuvs6Py2JRU7WiFDVsI7J","Look Easy","Look Easy","KAYTRANADA,Lucky Daye",2020-07-10,165219,55,spotify:user:12140741376,2020-09-11T17:43:11Z,"escape room,indie soul,lgbtq+ hip hop,alternative r&b,chill r&b,indie r&b,pop r&b,r&b",0.718,0.637,1,-9.962,0,0.168,0.00828,0.0071,0.227,0.487,108.023,4
1iOZHBjc2pxrNfSDvScPtO,"1A9o3Ljt67pFZ89YtPPL5X,68kEuyFKyqrdQQLLsmiatm","Nothing Burns Like The Cold","Nothing Burns Like The Cold","Snoh Aalegra,Vince Staples",2017-02-24,209911,0,spotify:user:12140741376,2020-09-11T17:43:33Z,"alternative r&b,chill r&b,indie r&b,indie soul,neo soul,r&b,scandinavian r&b,swedish soul,conscious hip hop,escape room,hip hop,rap,underground hip hop",0.533,0.478,0,-7.722,1,0.115,0.174,0.00123,0.0887,0.313,65.874,4
2NHVRc2gml9maFMHRgIC0y,"5z9wLR0RGBcWMXr4fCZW0K","Mr. Sun (miss da sun)","Mr. Sun (miss da sun)","Greentea Peng",2019-09-25,223533,58,spotify:user:12140741376,2020-09-11T17:43:39Z,"alternative r&b,indie r&b,indie soul,uk alternative hip hop,uk contemporary r&b",0.77,0.576,9,-7.384,0,0.0691,0.516,0.00432,0.0664,0.699,138.406,4
1maTErw83KboEn8Xyd8jNQ,"5cAtakaadWHJLxmGKrKcX7","Nice Things","Green Balloon","Tank and The Bangas",2019-05-03,190306,43,spotify:user:12140741376,2020-09-11T17:43:44Z,"escape room,indie soul,new orleans funk",0.912,0.571,6,-6.553,1,0.232,0.0816,0.00226,0.0647,0.517,145.021,4
54NPbWDqKcSGnP1FEkk7iC,"6HCkJzbswOIc7Qc5TJ1n5l,1A9o3Ljt67pFZ89YtPPL5X","Cruel Intentions (Remix) [feat. Snoh Aalegra]","Cruel Intentions (Remix) [feat. Snoh Aalegra]","JMSN,Snoh Aalegra",2016-03-28,280944,45,spotify:user:12140741376,2020-09-11T17:43:57Z,"alternative r&b,indie soul,chill r&b,indie r&b,neo soul,r&b,scandinavian r&b,swedish soul",0.598,0.284,11,-11.981,0,0.0733,0.39,0.0049,0.154,0.285,123.15,3
