Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4zMmqb0pYwX6b0qc0slCoT,"4lPl9gqgox3JDiaJ1yklKh","Only Child","Only Child","Tierra Whack",2019-02-19,239324,62,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-02T23:54:22Z,"alternative r&b,escape room,indie soul",0.826,0.365,1,-7.024,1,0.0412,0.849,0.0000038,0.186,0.802,85.244,4
0hPLZrnDgtKxrym1BHjDhd,"1URnnhqYAYcrqrcwql10ft","can't leave without it","i am > i was","21 Savage",2018-12-21,205351,67,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-02T23:19:08Z,"atl hip hop,rap,trap",0.872,0.591,6,-6.952,0,0.359,0.111,0,0.144,0.696,131.982,4
6Bqn71zg1dznO7Ck8ykEWc,"1FvjvACFvko2Z91IvDljrx","Jazz","The Water (S)","Mick Jenkins",2014-08-12,260160,1,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-02T23:24:25Z,"chicago rap,conscious hip hop,drill,escape room,hip hop,rap,underground hip hop",0.636,0.61,8,-9.665,1,0.119,0.25,0.000121,0.113,0.296,125.227,3
7KVPsVMOK3NL7subwJ0dZj,"2hlmm7s2ICUX0LVIhVFlZQ","Who You Foolin","Drip or Drown 2","Gunna",2019-02-22,151539,71,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-02T23:56:02Z,"atl hip hop,hip hop,melodic rap,rap,trap",0.916,0.756,0,-7.653,1,0.188,0.0942,0,0.23,0.756,115.69,4
26zLSJD5FY6gHzBdm1KDfv,"2DfpfU9DpRLC3EuWLKyy4m,2Noq7K4gdabX16gQ4zEOjK,1MlV4b7HGi4AiZWXholyVu","Love (feat. IshDARR)","Soulection Presents: Promise Once More","J.Robb,Beya Likhari,IshDARR",2017-01-29,330061,16,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-03T00:04:52Z,"deep underground hip hop,milwaukee hip hop,underground hip hop",0.533,0.457,9,-8.461,0,0.111,0.0314,0.00000223,0.12,0.0928,92.172,4
7omij53d6AvXefx13NNyfn,"53KwLdlmrlCelAZMaLVZqU,74V3dE1a51skRkdII8y2C6","Where's The Catch? (feat. André 3000)","Assume Form","James Blake,André 3000",2019-01-18,276000,50,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-08T02:57:10Z,"indie soul,uk alternative pop,atl hip hop,dirty south rap,southern hip hop",0.746,0.56,5,-9.02,0,0.0932,0.649,0.000577,0.107,0.172,91.988,4
3DlgDXIYtnWtJKiB8bZQMv,"7Hjbimq43OgxaBRpFXic4x,4JqpJeNOhP6bAkolNMLwFg","Photosynthesis","Bucket List Project","Saba,Jean Deaux",2016-10-27,201732,68,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-08T03:04:56Z,"alternative r&b,chicago rap,hip hop,rap,underground hip hop,chill r&b,escape room,indie r&b,indie soul",0.777,0.662,7,-8.393,1,0.27,0.536,0.00000461,0.593,0.634,111.13,4
6zeeWid2sgw4lap2jV61PZ,"6LuN9FCkKOj5PcnpouEgny","Better","Suncity","Khalid",2018-10-18,229320,76,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-08T03:08:31Z,"pop",0.596,0.552,0,-10.278,0,0.097,0.0765,0.334,0.104,0.112,97.949,4
3lTRL3t2OQD9Z4TKNvMNZj,"4UfJMiu878W1bQhjsuRj4t","Faking Bright","Faking Bright","Saski",2016-07-20,200339,42,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-08T03:45:42Z,"electropop,indie electropop",0.852,0.156,6,-9.703,1,0.221,0.757,0.0893,0.11,0.26,118.035,4
3TTWpDAiJfyoJDd5v2F8C3,"0GG2cWaonE4JPrjcCCQ1EG,3l0CmX0FuQjFxr8SK7Vqag","Throwaway (with Clairo)","Throwaway (with Clairo)","SG Lewis,Clairo",2019-03-20,180000,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-08T03:46:18Z,"alternative r&b,indie soul,uk dance,vapor soul,bedroom pop,pop",0.789,0.49,2,-6.588,1,0.0392,0.784,0.000598,0.112,0.869,140.034,4
