Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2o1rN5QhKveneGrlBZiMYu,"2IJJSEnYTWNaL8Ezk6yzAE","You Make Me Sick","What A Bunch Of Rodents","Satan's Rats",1977,129400,38,spotify:user:,2020-02-12T05:01:00Z,"deep punk rock",0.58,0.745,1,-12.324,1,0.0359,0.0000649,0.658,0.0542,0.961,123.498,4
2kdW74hWl4csLzEptAB279,"0zwPBH9v7TUk4xfrZbS4nC","Somebody Help Me","Southside Chicago","Otis Brown",2018-06-22,165893,39,spotify:user:,2020-02-12T05:01:00Z,"rare groove",0.62,0.606,0,-5.903,1,0.0295,0.806,0.00481,0.123,0.701,97.999,4
0ofHAoxe9vBkTCp2UQIavz,"08GQAI4eElDnROBrJRGE0X","Dreams - 2004 Remaster","Rumours (Super Deluxe)","Fleetwood Mac",1977-02-04,257800,85,spotify:user:,2020-02-12T05:01:00Z,"album rock,classic rock,mellow gold,rock,soft rock,yacht rock",0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,4
7MuMGHlG7XlKirwnjYGWLh,"4EF5vIcCYKMM61oYOG2Tqa","My Love for You","Come Away With Esg","ESG",1983,174866,0,spotify:user:,2020-02-12T05:01:00Z,"dance-punk,no wave,post-punk",0.703,0.713,6,-8.92,1,0.0758,0.000159,0.479,0.0922,0.908,138.732,3
3w190QG6aB6I0uGlVI5zG5,"4QS6MMKct3F3LkN7cr6vHg","Till It Hits the Ground","High Fidelity (Original Soundtrack)","Thomas Doherty",2020-02-14,186521,39,spotify:user:,2020-02-19T17:37:43Z,"disney",0.637,0.477,10,-11.757,1,0.0298,0.0347,0.00278,0.0803,0.7,184.12,4
34lXzclvRDF7O8Xx0jAnFe,"4nRXKDoWJ0J7xnYcFf6frY","I Just Might Crack","Howl","The Makers",1993-01-01,133133,33,spotify:user:,2020-02-12T05:01:00Z,"",0.364,0.944,11,-4.038,0,0.098,0.0637,0.035,0.137,0.902,162.784,4
4tSTpnw8UYNlroCEo774tm,"6ra4GIOgCZQZMOaUECftGN","Bobby Brown Goes Down","Sheik Yerbouti","Frank Zappa",1979-03-03,169066,58,spotify:user:,2020-02-12T05:01:00Z,"album rock,art rock,experimental,instrumental rock,jazz fusion,jazz rock,progressive rock,psychedelic rock,rock,symphonic rock,zolo",0.594,0.565,0,-10.249,1,0.175,0.245,0,0.123,0.755,136.507,4
7CwBlDpfPEpeAmAO2fE1Ao,"5sD7Cf3SaTVcrg81GQi1Xk","Lui E Lei","La Legge Dei Gangsters","Piero Umiliani",2009-11-19,154853,45,spotify:user:,2020-02-12T05:01:00Z,"classic soundtrack,exotica,lounge,vintage italian soundtrack",0.479,0.561,0,-8.285,0,0.0315,0.122,0,0.193,0.709,91.802,4
13fd1R9kbhKzRFY6IVLtav,"3QRAtOF6eGvcMXZR4fGuWn","The Real Me","Holiday Album","Radio Stars",1978,199873,0,spotify:user:,2020-02-12T05:01:00Z,"glam rock,pub rock",0.463,0.758,2,-8.607,1,0.0331,0.00726,0.000255,0.0774,0.868,136.704,4
6Tr31cx6UnS63dGNh4JKXX,"0sCJq0aWIAWwGsNujLLnYV","And We Hear I Love You","Gallop","Lena Platonos",2015-03-24,159153,36,spotify:user:,2020-02-12T05:01:00Z,"greek indie",0.709,0.686,6,-6.139,1,0.0666,0.0287,0.000895,0.0685,0.815,138.342,4
6nWcEzyxDozQcmxMoNJtYx,"4QTVePrFu1xuGM9K0kNXkk","Come On Eileen","Come On Eileen / Dubious","Dexys Midnight Runners",2009-01-01,205933,67,spotify:user:,2020-02-12T05:01:00Z,"bow pop,new romantic,new wave,new wave pop",0.41,0.874,0,-4.286,1,0.0907,0.197,0,0.0843,0.824,107.08,4
0hvMWuEd9TewusDevYuzFa,"7vTvStb4xYKVbFH9hvj08E","Noite Preta","Psychedelic Pernambuco (Mr Bongo presents)","Lula Côrtes",2011-05-23,200053,34,spotify:user:,2020-02-12T05:01:00Z,"psicodelia brasileira",0.614,0.83,4,-5.696,0,0.0574,0.0226,0.000123,0.869,0.868,126.346,4
1bZmbsNqOkfvGGAikytuW2,"5FxD8fkQZ6KcsSYupDVoSO","Ashamed","Friends","Omar Apollo",2019-04-10,204213,51,spotify:user:,2020-02-12T05:01:00Z,"alternative r&b,bedroom pop,bedroom soul,chill r&b,indie r&b,pop,r&b",0.655,0.451,0,-4.711,1,0.229,0.483,0.0315,0.129,0.587,91.036,4
7uBSUy6afj5ag87det8c4t,"4QS6MMKct3F3LkN7cr6vHg","Gimmie Light/New Tattoo","High Fidelity (Original Soundtrack)","Thomas Doherty",2020-02-14,186204,34,spotify:user:,2020-02-19T17:37:43Z,"disney",0.571,0.441,7,-12.593,1,0.0487,0.00656,0.112,0.111,0.1,179.923,4
3mEb1rDaVl13swOcpkItwJ,"2KlDlqEMf0YyYW8rBKUx6W","La forêt","Lescop","Lescop",2013-01-14,284508,46,spotify:user:,2020-02-12T05:01:00Z,"french indie pop,french indietronica,french post-punk,french psychedelic",0.862,0.468,7,-5.697,1,0.0708,0.00456,0.714,0.0884,0.737,132.03,4
030DoZfrIHEeKuFNl2RzYV,"4JfFdF9Row7UXtdsKtT6tc","Didn't I","Listen To My Song: The Music City Sessions","Darondo",2011-08-05,208213,0,spotify:user:,2020-02-12T05:01:00Z,"afrobeat,funk,soul",0.434,0.398,5,-12.398,1,0.033,0.0475,0.0000204,0.126,0.582,150.289,4
