Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7FswGC8dtSNqEps3Ad89cR,"3C8RpaI3Go0yFF9whvKoED,7ajUo7DyiAOYvCndGLoJ1u","Since I Left You - Prince Paul Remix","Since I Left You (Prince Paul Remix)","The Avalanches,Prince Paul",2021-04-07,228161,44,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2021-04-20T01:08:25Z,"alternative dance,australian alternative rock,australian dance,collage pop,electronica,new rave,psychedelic hip hop,alternative hip hop,east coast hip hop,hardcore hip hop,hip hop,turntablism",0.701,0.699,7,-6.285,1,0.0521,0.00306,0.000106,0.395,0.353,103.734,4
5iLmm1UQmT7wTTCIko3ZRu,"7B1OPA8Ttxfv3XBDCkw24E,1wmiQ6ytATiGnJs6uFluKO,4AgusFXPk24LCGMMplX34M","Stay in the Car","Stay in the Car","Bachelor,Jay Som,Palehound",2021-03-24,164731,43,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2021-04-20T00:39:30Z,"bubblegrunge,indie rock,art pop,bay area indie,chillwave,indie pop,oakland indie,small room,boston indie,boston rock,indie punk,new england emo",0.578,0.57,1,-6.142,0,0.0429,0.0454,0.00847,0.342,0.407,120.018,4
5eDLEMBoefYrDbhAycL5LK,"3C8RpaI3Go0yFF9whvKoED,2vJObElaIZWYDLpiXiJMo9,1SFqXNEGetmMW6VPZseNqy","Music Is The Light","We Will Always Love You","The Avalanches,Cornelius,Kelly Moran",2020-12-11,188333,42,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2021-04-20T00:30:38Z,"alternative dance,australian alternative rock,australian dance,collage pop,electronica,new rave,psychedelic hip hop,indietronica,japanese alternative pop,shibuya-kei,ambient,art pop,deconstructed club,electra,experimental classical,fourth world,mandible,new isolationism,prepared piano",0.603,0.379,2,-8.346,0,0.0334,0.838,0.528,0.349,0.257,145.973,4
2hfoyc7ve6xM4ZEiNIiU1B,"3MZsBdqDrRTJihTHQrO6Dq","Gimme Love","Gimme Love","Joji",2020-04-16,214557,71,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2021-04-06T01:41:13Z,"alternative r&b,viral pop",0.482,0.631,5,-6.917,1,0.0986,0.696,0.0242,0.209,0.0743,126.576,3
2LyAiqr5M9P1HIHXO716oy,"0wNZvrIMNUCs24G0wFg2D6","Scram!","NO DREAM","Jeff Rosenstock",2020-05-20,171122,43,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2021-04-06T01:22:20Z,"alternative emo,bubblegrunge,folk punk,indie punk,indie rock,modern power pop,modern rock",0.602,0.738,1,-4.744,0,0.0566,0.0666,0,0.0818,0.771,139.943,4
3LUhdkixxrrqv3nfNfkINe,"1eVEVL20zNLcGrPDOR691N","Mirror In the Bathroom","I Just Can't Stop It (Remastered)","The English Beat",2012-01-01,190333,51,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2021-04-06T01:10:03Z,"new romantic,new wave,new wave pop,permanent wave,ska,ska revival",0.632,0.706,7,-7.391,1,0.0676,0.0749,0.0413,0.0356,0.945,171.199,4
5jzma6gCzYtKB1DbEwFZKH,"3RGLhK1IP9jnYFH4BRFJBS","London Calling - Remastered","London Calling (Remastered)","The Clash",1979,200480,73,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2021-04-06T01:08:57Z,"classic rock,permanent wave,punk,rock",0.651,0.801,0,-7.34,1,0.0514,0.123,0,0.0825,0.776,133.769,4
60ltJsZyn09v27ryCO4ieQ,"0AeOqmIHozTkj0uWXOlLr7","Bling Ring","$Tandard$ EP","GGOOLLDD",2014-07-24,250853,14,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2021-04-06T01:08:10Z,"milwaukee indie",0.587,0.813,6,-6.28,1,0.0341,0.00332,0.431,0.242,0.292,122.994,4
0Nn4RrvVfwSSLDvkhdRc1n,"3AmWjMXXtBJOmNGpUFSOAl","Damaged Goods","Entertainment!","Gang Of Four",1979-09-25,206786,52,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2021-04-06T01:07:18Z,"alternative rock,art punk,art rock,dance rock,dance-punk,experimental,funk rock,new wave,post-hardcore,post-punk,punk,uk post-punk",0.75,0.79,0,-5.935,1,0.116,0.0148,0.0115,0.111,0.946,157.432,4
2wQAEmgV0jsrmCHFpQgIS3,"2w0koiB4q8chqL0Pl5ngzH","Witchcraft","Witchcraft","Graveyard Club",2018-10-15,237220,38,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2021-04-06T01:04:13Z,"minneapolis indie",0.458,0.7,0,-6.289,1,0.0358,0.0701,0.00139,0.148,0.251,120.049,4
