Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2t8yVaLvJ0RenpXUIAC52d,"1URnnhqYAYcrqrcwql10ft","a lot","i am > i was","21 Savage",2018-12-21,288624,78,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-02T23:05:46Z,"atl hip hop,rap,trap",0.837,0.636,1,-7.643,1,0.086,0.0395,0.00125,0.342,0.274,145.972,4
1xcMifdl2glV5Kx76EtGCG,"4bMNzAopkqYTwkBLwMKsF1","Shine","Shine","Childish Major",2018-12-26,195866,46,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-02T23:14:50Z,"alternative r&b,trap soul,underground hip hop",0.735,0.665,5,-5.232,0,0.0453,0.0993,0.00000273,0.421,0.296,76.029,4
3Ol2xnObFdKV9pmRD2t9x8,"31W5EY0aAly4Qieq6OFu6I","Look Back at It","Hoodie SZN","A Boogie Wit da Hoodie",2018-12-21,179449,75,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-02T23:28:07Z,"melodic rap,pop rap,rap,trap",0.791,0.587,3,-5.075,0,0.0413,0.407,0,0.148,0.536,96.057,4
2b4SSorCTQ2VzmllaeWuuT,"6qgnBH6iDM91ipVXv28OMu,3jk39CGeaaSO3FPKNx1RUx","YOU'RE THE ONE","99.9%","KAYTRANADA,Syd",2016-05-06,227706,9,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-02T23:29:55Z,"escape room,indie soul,lgbtq+ hip hop,alternative r&b,indie r&b,r&b",0.824,0.396,2,-9.663,1,0.332,0.0323,0.00289,0.108,0.252,118.053,4
1OxL1FWSEd7QmJoWLRP2NO,"1CoZyIx7UvdxT5c8UkMzHd,5qYCZ5FQuzZSjOnesvuYiD","On My Mind (Jorja Smith X Preditah)","On My Mind (Jorja Smith X Preditah)","Jorja Smith,Preditah",2017-08-25,181509,70,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-02T23:35:49Z,"alternative r&b,dance pop,pop,r&b,uk contemporary r&b,bass house,bassline,birmingham grime,grime,instrumental grime",0.71,0.662,10,-5.947,0,0.175,0.42,0,0.0723,0.755,130.037,4
6zeeWid2sgw4lap2jV61PZ,"6LuN9FCkKOj5PcnpouEgny","Better","Suncity","Khalid",2018-10-18,229320,76,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-02T23:37:03Z,"pop",0.596,0.552,0,-10.278,0,0.097,0.0765,0.334,0.104,0.112,97.949,4
2KmYPKHvwG77NAcDpFlLBm,"1ybINI1qPiFbwDXamRtwxD","L.M.F.","NOIR","Smino",2018-11-08,188500,49,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-02T23:41:31Z,"alternative r&b,hip hop,rap,underground hip hop",0.898,0.677,1,-6.907,1,0.362,0.354,0.00000485,0.449,0.864,155.02,4
39Y2HHQetiQ3aZzTgvW4Ir,"5YZ5AExR68U3ZblH6HcO6B","Sumwrong","Sumwrong","Leven Kali",2019-02-12,188619,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-02T23:52:38Z,"alternative r&b,chill r&b,indie r&b,indie soul,r&b",0.701,0.587,6,-6.767,0,0.0567,0.00737,0.0000105,0.041,0.582,68.878,4
3DlgDXIYtnWtJKiB8bZQMv,"7Hjbimq43OgxaBRpFXic4x,4JqpJeNOhP6bAkolNMLwFg","Photosynthesis","Bucket List Project","Saba,Jean Deaux",2016-10-27,201732,68,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-02T23:54:44Z,"alternative r&b,chicago rap,hip hop,rap,underground hip hop,chill r&b,escape room,indie r&b,indie soul",0.777,0.662,7,-8.393,1,0.27,0.536,0.00000461,0.593,0.634,111.13,4
7svLpna6i9NbCVBciVCUWG,"1ybINI1qPiFbwDXamRtwxD","Innamission","blkswn","Smino",2017-03-14,135360,47,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-02T23:56:26Z,"alternative r&b,hip hop,rap,underground hip hop",0.741,0.512,0,-8.388,1,0.315,0.82,0,0.383,0.399,114.249,4
5TcGBswdHw1Ng9UcQSl0nd,"5FxD8fkQZ6KcsSYupDVoSO","Ashamed","Ashamed","Omar Apollo",2019-02-27,204213,38,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-02T23:58:51Z,"alternative r&b,bedroom pop,bedroom soul,chill r&b,indie r&b,pop,r&b",0.655,0.451,0,-4.711,1,0.229,0.483,0.0315,0.129,0.587,91.036,4
6GCIYIWUBSLontW6divqsw,"2auiVi8sUZo17dLy1HwrTU","Stay Flo","When I Get Home","Solange",2019-03-01,175706,65,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-02T23:59:22Z,"afrofuturism,alternative r&b,dance pop,escape room,hip pop,indie soul,neo soul,pop,r&b,urban contemporary",0.823,0.558,9,-7.119,1,0.0278,0.397,0.0000203,0.0821,0.674,155.974,4
6qCPW6pWrUNIESY7fp34D9,"4oDjh8wNW5vDHyFRrDYC4k,4IZnj59pur7nfqpdGzuPF6,7yMruV2Y0a7ib9RLj9mLQQ","You Don't Know","You Don’t Know","Loyle Carner,Rebel Kleff,Kiko Bun",2019-01-16,250450,49,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-03T00:01:59Z,"indie soul,london rap,uk alternative hip hop,british soul,uk reggae",0.716,0.83,1,-4.67,0,0.222,0.244,0.00000169,0.103,0.674,92.147,4
