Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6yAVN1Oz1PKgvufkjy96pp,"1IJe80moz409PtxW4llPFw","Procrastinating","My Room Becomes The Sea","Sleepy Fish",2019-09-16,185500,46,spotify:user:chillhopmusic,2021-05-14T18:00:22Z,"chillhop",0.817,0.282,11,-12.185,1,0.0576,0.0225,0.872,0.0644,0.196,113.972,4
31PtEnOEBKbML6mQRGOavA,"4LeF3SUf7hytyGQJoLJbym,0WCCipy2qiobvuygnTMdkC,6BAW0yDEeA4wOskLv8y1qe","Loving Someone You Lost","Loving Someone You Lost","The Field Tapes,tender spring,Nuum",2020-12-07,104820,44,spotify:user:chillhopmusic,2021-05-14T18:00:22Z,"lo-fi beats",0.606,0.408,11,-12.233,0,0.0689,0.952,0.947,0.083,0.432,172.08,4
4ioc0NQkklIFzRrBRs486T,"1OPLpK7ztdT5qsn58cNSqO","Two For Joy","Featherfall","Foxwood",2021-03-26,179520,44,spotify:user:chillhopmusic,2021-05-14T18:00:22Z,"",0.801,0.199,4,-15.515,1,0.107,0.965,0.934,0.1,0.46,75.003,4
0IOLbrXZ1fT7wNuzQDixbh,"5SkCoDbdYJn9RkWHTa1CUF","Charmy","Charmy","Brique a Braq",2021-05-07,216480,26,spotify:user:chillhopmusic,2021-05-14T18:00:22Z,"ambient worship,neo-classical",0.558,0.118,2,-19.947,1,0.0424,0.991,0.856,0.125,0.0405,119.973,4
04Z4xUSktqIO8tvf2U7OhY,"7185Q95lPFld0aoPqO6e0U,2XHa2Sy9IYid9hnQ2YmtGl","Bloom","Directions","Blue Wednesday,Shopan",2021-01-27,184989,45,spotify:user:chillhopmusic,2021-05-14T18:00:22Z,"chillhop,lo-fi beats",0.73,0.28,9,-13.009,1,0.0568,0.484,0.796,0.105,0.534,146.139,4
3eG9wk7gxhnMMO9mtfPEqY,"7bnZxFzZKPk3OxxVbwtfud","it’s ok, i only have tears in my third eye","from nothing to nothing","Sundrenched",2021-02-26,116439,27,spotify:user:chillhopmusic,2021-05-14T18:00:22Z,"",0.626,0.687,8,-14.196,1,0.184,0.948,0.936,0.127,0.677,81.402,4
6DyjG6Khpfmw4yPycDEn0o,"7tYro3kW5Ocevel9uXDCKA","Poolside","Poolside & In The Shade","another silent weekend",2021-05-14,185142,37,spotify:user:chillhopmusic,2021-05-14T18:00:22Z,"",0.696,0.435,5,-8.755,1,0.113,0.893,0.923,0.401,0.339,140.042,4
1pPFoAcAmKsin9mJ7UejQ2,"40LG0ZgaIlEWo1mwGNp4yo,5BCLvW3qaUm39VjiZ8INmm","rainy day loop","Rainy Day Loop","Sundreamer,edapollo",2021-01-01,133506,32,spotify:user:chillhopmusic,2021-05-14T18:00:22Z,"",0.462,0.294,7,-18.429,1,0.0311,0.624,0.771,0.168,0.0423,90.456,4
3XKjH8SAZwzATbXrpp0D5s,"7185Q95lPFld0aoPqO6e0U,0WCCipy2qiobvuygnTMdkC","Exhale","Chillhop Essentials Winter 2020","Blue Wednesday,tender spring",2020-12-02,143800,44,spotify:user:chillhopmusic,2021-05-14T18:00:22Z,"chillhop,lo-fi beats",0.757,0.31,4,-15.183,1,0.127,0.515,0.822,0.106,0.0686,83.988,3
5UaRTqUL7me48lq1zunO62,"1GUjxtOEHWzcLju2zUw0Pu,2RlJC4L25sFb1dL7FKJerv,5GHBk4xcO1UqlbyrUXv5dq","Passenger - Ezzy Remix","Passenger","Ezzy,Voga,Alaskan Tapes",2021-04-30,114761,45,spotify:user:chillhopmusic,2021-05-14T18:00:22Z,"compositional ambient,focus",0.567,0.258,8,-19.062,1,0.12,0.423,0.852,0.0919,0.206,176.082,3
