Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1PVza5KmhSJhz12OewWciE,"5XenQ7XfcvQdfIbpLEFaKQ,360IAlyVv4PCEVjgyMZrxK","Got Friends","Got Friends","GoldLink,Miguel",2018-06-13,226963,58,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-16T21:13:53Z,"alternative r&b,dmv rap,hip hop,indie soul,r&b,rap,underground hip hop,dance pop,pop,urban contemporary",0.691,0.75,10,-3.934,0,0.347,0.104,0,0.123,0.345,143.744,4
4LGg2NY9eHp0jF3L1WbCNl,"0WjtdWS6su0f3jrW9aqEHl","Wildin'","Wildin'","Berhana",2018-07-18,139613,52,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-16T21:09:17Z,"alternative r&b,chill r&b,indie r&b,indie soul",0.76,0.48,1,-8.535,0,0.226,0.585,0,0.717,0.877,90.01,4
75ZoDBdTAO9e896PtMsbnG,"7tr9pbgNEKtG0GQTKe08Tz","You","Pronounced Mcgee","Mk.gee",2018-05-18,310597,30,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-16T21:04:35Z,"alternative r&b,indie r&b,indie soul,vapor soul",0.809,0.656,5,-6.67,1,0.297,0.524,0.00455,0.075,0.786,88.934,4
5FFUDCkMjxuK6XQZNumN55,"1kh0AypxF3CxMMzmQyif2S,6I3MElirhT5t6Kf7p0hGk9","Love Me Like (feat. DUCKWRTH)","Love Me Like","Rayana Jay,Duckwrth",2019-03-22,164746,50,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-16T20:40:52Z,"alternative r&b,chill r&b,indie r&b,indie soul,escape room,underground hip hop",0.874,0.558,5,-9.814,0,0.225,0.731,0.000638,0.106,0.451,118.021,4
1WivaDTus6pTZQQLBQYDm3,"1U0sIzpRtDkvu1hXXzxh60,6qgnBH6iDM91ipVXv28OMu","KAYTRANADA_WAITIN_115 BPM","TAKE ME A_PART, THE REMIXES","Kelela,KAYTRANADA",2018-10-05,304699,44,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-14T22:35:23Z,"afrofuturism,alternative r&b,art pop,electropop,escape room,experimental r&b,indie soul,r&b,lgbtq+ hip hop",0.622,0.674,6,-7.097,0,0.0719,0.131,0,0.402,0.438,114.958,4
0dmafcQm47lVWFCoe2h9eX,"4NcMrSi3B8eUVy6e1Ni3wu","Rollercoaster","Overgrown","Ivy Sole",2018-09-18,197636,38,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-14T21:32:40Z,"alternative r&b,escape room,indie r&b,indie soul,north carolina hip hop",0.757,0.305,5,-11.782,0,0.166,0.381,0.000562,0.102,0.632,88.036,4
3aUviSdBVbsdmH406j5GZC,"6I3MElirhT5t6Kf7p0hGk9","Crush","Crush","Duckwrth",2019-08-30,135013,61,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-14T19:57:16Z,"alternative r&b,escape room,indie r&b,underground hip hop",0.873,0.479,5,-6.683,1,0.222,0.656,0.00000813,0.19,0.945,108.014,4
0wY9rA9fJkuESyYm9uzVK5,"3QTDHixorJelOLxoxcjqGx","D'Evils","November","SiR",2018-01-19,171818,66,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-14T19:57:10Z,"alternative r&b,hip hop,indie r&b,indie soul,la pop,r&b,rap",0.784,0.586,1,-3.417,1,0.187,0.00558,0.000286,0.106,0.656,132.169,4
3yhlH8lhTpS03d91kuwjpf,"4lPl9gqgox3JDiaJ1yklKh","Wasteland","Wasteland","Tierra Whack",2019-03-12,183282,54,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-14T19:55:53Z,"alternative r&b,escape room,indie soul",0.511,0.441,4,-10.264,0,0.0563,0.749,0,0.123,0.382,125.117,4
3DbBgbnDUOml329rAp2Tbr,"2AfU5LYBVCiCtuCCfM7uVX","Colorado","Colorado","Kota the Friend",2018-10-24,206500,67,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-02T23:28:22Z,"hip hop,rap,underground hip hop",0.905,0.562,8,-7.884,1,0.0662,0.453,0.000285,0.13,0.507,139.997,4
0Dylgc29zZwO3YRC1VrMdo,"0WjtdWS6su0f3jrW9aqEHl","Health Food","HAN","Berhana",2019-10-18,247496,50,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-12-31T15:49:27Z,"alternative r&b,chill r&b,indie r&b,indie soul",0.865,0.576,4,-10.515,0,0.113,0.306,0.0362,0.377,0.609,119.974,4
1iZjxPc5GJhEBl6CZOZXTw,"4hTL3jOgvZwOqegEZTOrCc,5XenQ7XfcvQdfIbpLEFaKQ","Superpowers (with GoldLink)","Heroine","Col3trane,GoldLink",2019-05-31,182082,56,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-08-26T21:00:18Z,"alternative r&b,chill r&b,indie r&b,indie soul,r&b,trap soul,uk contemporary r&b,dmv rap,hip hop,rap,underground hip hop",0.823,0.372,1,-9.817,0,0.116,0.473,0,0.1,0.418,85.055,4
