Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6ZrEsTv8IYRg0U0hUoo2j1,"3QTDHixorJelOLxoxcjqGx","Footsteps in the Dark Pts. 1 & 2","Footsteps in the Dark Pts. 1 & 2","SiR",2020-11-05,317992,58,spotify:user:wetheurban,2021-02-04T16:29:44Z,"alternative r&b,hip hop,indie r&b,indie soul,la pop,r&b,rap",0.728,0.543,6,-7.64,0,0.088,0.144,0.00121,0.0408,0.718,161.975,4
4I5uWfaZIrkKCHrbO7eLMV,"4lPl9gqgox3JDiaJ1yklKh","Gloria","Gloria","Tierra Whack",2019-03-05,156958,44,spotify:user:wetheurban,2021-02-04T16:29:44Z,"alternative r&b,escape room,indie soul",0.446,0.622,9,-7.561,0,0.0543,0.316,0.00011,0.362,0.963,155.66,4
0pCD0V3yUVukVN70PlQOry,"5QiwDtqVaF5rn9Hu6k8sLs","thru the city","thru the city","dvr",2020-07-17,150000,24,spotify:user:wetheurban,2021-02-04T16:29:44Z,"",0.763,0.301,4,-9.57,0,0.041,0.86,0.00306,0.1,0.285,81.658,3
69ZGaXg5BV9HRxOgexbu6N,"0EEHriKw0Gzrmb2ZII2apY","Only You","Doing It in Lagos: Boogie, Pop & Disco in 1980's Nigeria","Steve Monite",2016-12-09,381040,1,spotify:user:wetheurban,2021-02-04T16:29:44Z,"afro-funk",0.786,0.921,0,-6.842,1,0.101,0.0552,0.00181,0.0629,0.628,118.373,4
2B74Mr0EJxQPUy81VE59fY,"2YSzmcSn7vQaFiB2B5LpCB","Do U Mind?","MOJO","Evann McIntosh",2019-10-07,273569,40,spotify:user:wetheurban,2021-02-04T16:29:44Z,"indie cafe pop",0.567,0.287,9,-12.144,1,0.0715,0.504,0.0033,0.109,0.199,133.937,4
5Tl0HJvynZtKdSUMKbFVVX,"3nFkdlSjzX9mRTtwJOzDYB","Hard Knock Life (Ghetto Anthem)","Vol.2 ... Hard Knock Life","JAY-Z",1998-11-29,238466,68,spotify:user:wetheurban,2021-02-04T16:29:44Z,"east coast hip hop,hip hop,pop rap,rap",0.884,0.679,10,-5.857,0,0.282,0.0957,0.00209,0.0289,0.591,76.993,4
6RD3uGnEf7xmGMg6QuShsS,"74CcYmmNeHKe5PrZaISk8e","All My Girls Like To Fight","Girl Eats Sun","Hope Tala",2020-11-13,232712,38,spotify:user:wetheurban,2021-02-04T16:29:44Z,"alternative r&b,chill r&b,indie r&b,indie soul",0.854,0.698,4,-4.188,0,0.0457,0.256,0.0142,0.197,0.525,122.008,4
4XeBrhEJxVo0xZJdkkhGib,"6vXJ4kIg2HlqsSfX3S1RHV","Do The Thing","Do The Thing","Mtbrd",2021-01-08,292000,36,spotify:user:wetheurban,2021-02-04T16:30:02Z,"chillhop",0.695,0.87,1,-7.783,1,0.0856,0.00583,0.758,0.144,0.538,120.009,4
4BfuJafEy7zPnfxSQanRjA,"5wPoxI5si3eJsYYwyXV4Wi,2jw70GZXlAI8QzWeY2bgRc","Hot-n-Fun","Nothing (Deluxe)","N.E.R.D,Nelly Furtado",2010-01-01,204013,0,spotify:user:wetheurban,2021-02-04T16:30:02Z,"hip hop,virginia hip hop,canadian latin,canadian pop,dance pop,pop,pop rap",0.749,0.65,1,-4.545,1,0.0345,0.000856,0.000622,0.115,0.807,120.031,4
2sXydP9vPEYUH4uAWotuGu,"7gSjFKpVmDgC2MMsnN8CYq,3Y7RZ31TRPVadSFVy1o8os","Girl Like Me (feat. H.E.R.)","Heaux Tales","Jazmine Sullivan,H.E.R.",2021-01-08,224880,66,spotify:user:wetheurban,2021-02-04T16:30:02Z,"alternative r&b,dance pop,hip pop,neo soul,pop,pop r&b,r&b,urban contemporary",0.5,0.638,6,-4.007,0,0.0756,0.66,0,0.366,0.698,81.145,4
4CYBfRX3oEPni9Elqm8Bnt,"1CoZyIx7UvdxT5c8UkMzHd","Goodbyes","Lost & Found","Jorja Smith",2018-06-08,230929,63,spotify:user:wetheurban,2021-02-04T16:30:02Z,"alternative r&b,dance pop,pop,r&b,uk contemporary r&b",0.512,0.184,9,-8.812,0,0.0587,0.866,0,0.284,0.37,85.82,4
4IFh1uImEp02P7wQerkQ9y,"4QQgXkCYTt3BlENzhyNETg","Can't Hide Love","Greatest Hits","Earth, Wind & Fire",1998-11-03,247066,0,spotify:user:wetheurban,2021-02-04T16:30:02Z,"disco,funk,jazz funk,motown,quiet storm,soul",0.53,0.398,3,-12.359,0,0.0341,0.458,0.00957,0.0832,0.456,77.944,4
3YJJjQPAbDT7mGpX3WtQ9A,"7tYKF4w9nC0nq9CsPZTHyP","Good Days","Good Days","SZA",2020-12-25,279204,89,spotify:user:wetheurban,2021-02-04T16:30:02Z,"pop,pop rap,r&b",0.436,0.655,1,-8.37,0,0.0583,0.499,0.0000081,0.688,0.412,121.002,4
