Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
22sYHhyWc1I5oy3tui0nHz,"4KqKrtbthkLIucOXM3fGdV","Only You","Only You","Amber-Simone",2019-01-22,221807,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-02T23:45:19Z,"british soul",0.669,0.684,1,-4.251,1,0.0942,0.571,0.00000339,0.106,0.542,102.991,4
3X6YJcqTinaNraRvojF62K,"1ybINI1qPiFbwDXamRtwxD,3IrrjuvOPa1KFxq0Kk8pvN,5RoJ70jcjGUibtNjye7DwO","Z4L (with Bari & Jay2)","NOIR","Smino,Bari,Jay2",2018-11-08,162590,66,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-02T23:48:40Z,"alternative r&b,hip hop,rap,underground hip hop,indie hip hop",0.822,0.503,11,-6.889,0,0.285,0.0779,0,0.161,0.408,71.524,4
7GLL5dU80NstXjcKlDMJmr,"1uiEZYehlNivdK3iQyAbye,4wdK3zLMWPQK6CD0dpHh8F","Wander With Me","Beat Tape 2","Tom Misch,Carmody",2015-08-28,287228,51,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-02T23:49:54Z,"indie soul,jazz pop,british soul,uk alternative pop",0.8,0.427,6,-7.923,1,0.0346,0.584,0.0371,0.104,0.218,113.975,4
172rW45GEnGoJUuWfm1drt,"2uYWxilOVlUdk4oV9DvwqK","Your Best American Girl","Puberty 2","Mitski",2016-06-17,212183,69,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-02T23:50:18Z,"brooklyn indie,indie pop",0.36,0.257,7,-9.655,1,0.0315,0.0159,0.00512,0.226,0.13,76.972,4
2cAc7dKwdheRCH711caRVi,"4tRZRfhgfLEIUI9mw9Njy2","Multi-Colored Love","Thierry Disko","Sunni Colón",2016-06-01,290823,26,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-02T23:52:07Z,"alternative r&b,indie r&b,indie soul",0.581,0.54,8,-10.955,0,0.0502,0.227,0.114,0.107,0.0917,85.015,4
4hP7NIeToP2hU6lyvIHPyp,"1ybINI1qPiFbwDXamRtwxD","Netflix & Dusse","blkswn","Smino",2017-03-14,259338,54,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-02T23:52:43Z,"alternative r&b,hip hop,rap,underground hip hop",0.729,0.329,7,-9.703,0,0.529,0.441,0,0.32,0.159,79.958,4
09CqF6VVL6G7NwkCj3M2lU,"1ybINI1qPiFbwDXamRtwxD","Anita","Anita","Smino",2017-02-08,220157,54,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-02T23:54:49Z,"alternative r&b,hip hop,rap,underground hip hop",0.779,0.581,1,-7.539,1,0.457,0.206,0,0.146,0.804,63.588,4
4jHr4JxHaYgRIR0bXHJeAH,"4ULO7IGI3M2bo0Ap7B9h8a","No Manners","K.T.S.E.","Teyana Taylor",2018-06-23,98661,43,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-02T23:58:10Z,"alternative r&b,dance pop,hip pop,neo soul,pop,pop r&b,pop rap,r&b,urban contemporary",0.498,0.608,8,-5.299,0,0.0488,0.243,0.0000808,0.312,0.515,146.038,4
6u1sN2DFrKZBDdkdb1L76X,"1vaQ6v3pOFxAIrFoPrAcom","Whipped Cream","Whipped Cream","Ari Lennox",2018-07-16,291210,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-02T23:59:28Z,"alternative r&b,chill r&b,dmv rap,indie soul,neo soul,pop,r&b,urban contemporary",0.744,0.383,6,-10.085,0,0.0309,0.548,0,0.0966,0.574,85.024,4
3G9zeErd0kMx012kmYUrm7,"0tbeZu9lv8YEKSQ9tZSslu","Lose My Cool","3:33am","Amber Mark",2017-05-12,214578,63,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-03T00:00:44Z,"alternative r&b,indie r&b,indie soul,nyc pop",0.717,0.482,3,-8.071,1,0.0465,0.564,0.000235,0.0921,0.321,103.006,4
