Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1VuBmEauSZywQVtqbxNqka,"51Blml2LZPmy7TTiAg47vQ","Beautiful Day","All That You Can't Leave Behind","U2",2000-01-01,246400,65,spotify:user:1227674236,2017-05-09T16:35:22Z,"irish rock,permanent wave,rock",0.539,0.926,2,-6.495,1,0.0499,0.014,0.00136,0.36,0.454,136.279,4
300dazxD8igsG2HwpERK61,"51Blml2LZPmy7TTiAg47vQ","With Or Without You - Remastered","The Joshua Tree (Deluxe)","U2",1987-03-09,295520,0,spotify:user:,2017-05-09T16:41:22Z,"irish rock,permanent wave,rock",0.542,0.425,2,-11.838,1,0.0295,0.000228,0.416,0.148,0.105,110.184,4
6edlSpiwW4Mzsb4yauk3an,"51Blml2LZPmy7TTiAg47vQ","I Still Haven't Found What I'm Looking For","The Joshua Tree (Deluxe)","U2",1987-03-09,277480,0,spotify:user:,2017-05-09T16:41:26Z,"irish rock,permanent wave,rock",0.566,0.759,1,-9.435,1,0.0359,0.0161,0.00676,0.0803,0.637,100.859,4
6C4LXC9UFH1IKiHYOp0BiJ,"51Blml2LZPmy7TTiAg47vQ","Sunday Bloody Sunday - Remastered 2008","War (Remastered)","U2",1983-02-28,279440,72,spotify:user:,2017-05-09T16:41:40Z,"irish rock,permanent wave,rock",0.543,0.944,6,-7.495,1,0.0543,0.402,0.000564,0.0373,0.735,101.174,4
5Dl8u1A9zjzfeayn87o3DK,"51Blml2LZPmy7TTiAg47vQ","All Because Of You","How To Dismantle An Atomic Bomb","U2",2004-11-22,219053,25,spotify:user:,2017-05-09T16:42:18Z,"irish rock,permanent wave,rock",0.282,0.88,2,-2.887,1,0.0498,0.00188,0.00962,0.0676,0.469,133.944,4
4ao9bdN6ozxdlQ9j2rGDFy,"51Blml2LZPmy7TTiAg47vQ","City Of Blinding Lights","How To Dismantle An Atomic Bomb","U2",2004-11-22,347866,46,spotify:user:,2017-05-09T16:42:22Z,"irish rock,permanent wave,rock",0.443,0.765,8,-4.104,1,0.0301,0.000224,0.0447,0.111,0.179,139.138,4
7iBav4v8maicL8cWKGxFhQ,"51Blml2LZPmy7TTiAg47vQ","Angel Of Harlem","Rattle And Hum","U2",1988-10-10,229266,59,spotify:user:,2017-05-09T16:42:57Z,"irish rock,permanent wave,rock",0.519,0.694,0,-10.792,1,0.0264,0.104,0.0000023,0.111,0.928,102.718,4
3dh2LlmeMqKJbzn2WUgt3d,"51Blml2LZPmy7TTiAg47vQ","Pride (In The Name Of Love) - Remastered 2009","The Unforgettable Fire (Remastered)","U2",1984-10-01,228426,59,spotify:user:,2017-05-09T16:43:23Z,"irish rock,permanent wave,rock",0.458,0.843,4,-7.201,1,0.0316,0.00135,0.000296,0.778,0.713,105.701,4
3ZOEytgrvLwQaqXreDs2Jx,"0L8ExT028jH3ddEcZwqJJ5","Can't Stop","By the Way (Deluxe Edition)","Red Hot Chili Peppers",2002-07-09,269000,80,spotify:user:,2017-05-09T16:43:53Z,"alternative rock,funk metal,funk rock,permanent wave,rock",0.618,0.938,9,-3.442,1,0.0456,0.0179,0,0.167,0.875,91.455,4
2oaK4JLVnmRGIO9ytBE1bt,"0L8ExT028jH3ddEcZwqJJ5","Dark Necessities","The Getaway","Red Hot Chili Peppers",2016-06-17,302000,73,spotify:user:,2017-05-09T16:44:13Z,"alternative rock,funk metal,funk rock,permanent wave,rock",0.7,0.742,5,-6.777,0,0.0716,0.0722,0.0199,0.11,0.197,91.959,4
1G391cbiT3v3Cywg8T7DM1,"0L8ExT028jH3ddEcZwqJJ5","Scar Tissue","Californication (Deluxe Edition)","Red Hot Chili Peppers",1999-06-08,215906,78,spotify:user:,2017-05-09T16:44:41Z,"alternative rock,funk metal,funk rock,permanent wave,rock",0.595,0.717,0,-4.803,1,0.0295,0.0779,0.00274,0.108,0.547,88.969,4
37kTASujIfZZ27NV7PfIrf,"0L8ExT028jH3ddEcZwqJJ5","Hard to Concentrate","Stadium Arcadium","Red Hot Chili Peppers",2006-05-09,241840,55,spotify:user:,2017-05-09T16:46:02Z,"alternative rock,funk metal,funk rock,permanent wave,rock",0.641,0.502,7,-7.334,1,0.0251,0.156,0.00000435,0.311,0.326,105.634,4
2t0ZYmVXMR36fchq1Egs2d,"0L8ExT028jH3ddEcZwqJJ5","By the Way","By the Way","Red Hot Chili Peppers",2002-07-09,216973,56,spotify:user:,2017-05-09T16:46:18Z,"alternative rock,funk metal,funk rock,permanent wave,rock",0.452,0.976,0,-4.349,1,0.117,0.016,0.00631,0.0985,0.178,123.035,4
3ZwxczCIlt4nA7czQaugvM,"0L8ExT028jH3ddEcZwqJJ5","Parallel Universe","Californication","Red Hot Chili Peppers",1999-06-08,269373,49,spotify:user:,2017-05-09T16:46:48Z,"alternative rock,funk metal,funk rock,permanent wave,rock",0.344,0.984,0,-2.35,0,0.22,0.00103,0.268,0.0741,0.192,124.376,4
