Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1t4pPnbkOjzoA5RvsDjvUU,"1Bl6wpkWCQ4KVgnASpvzzA","1999 WILDFIRE","1999 WILDFIRE","BROCKHAMPTON",2018-07-07,251250,64,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-09-28T02:59:50Z,"boy band,hip hop,rap,underground hip hop",0.811,0.57,5,-8.093,1,0.129,0.253,0,0.148,0.814,128.066,4
07mu8ZKUkCZE5C9sCxrOYR,"6iWuBN32BqCJAeXW6o3nil","Smoke","RESONANCE","Cautious Clay",2018-08-22,169756,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-09-28T02:58:21Z,"alternative r&b,chill r&b,indie r&b,nyc pop,pop",0.647,0.256,0,-11.603,1,0.129,0.462,0.000788,0.119,0.409,82.057,4
6tBoGL2cAkf4e7737QQUU9,"4qNZw759AdHSMugyDMrIlF","Falling Into Me","I'm All Ears","Let's Eat Grandma",2018-06-29,346489,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-09-28T03:00:54Z,"art pop,chamber psych,east anglia indie,escape room",0.525,0.851,9,-5.511,0,0.0411,0.0022,0.000102,0.08,0.212,109.994,4
0kCBorRrKZkSztd9m0QI3r,"50co4Is1HCEo8bhOyUWKpn,1xr2G8Hlx4QWmT9HaUbmoO,2hlmm7s2ICUX0LVIhVFlZQ,5f7VJjfbwm532GiveGC0ZK","Chanel (Go Get It) [feat. Gunna & Lil Baby]","Slime Language","Young Thug,Young Stoner Life,Gunna,Lil Baby",2018-08-17,201706,69,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-09-28T02:59:13Z,"atl hip hop,atl trap,gangster rap,melodic rap,pop rap,rap,trap,hip hop",0.938,0.5,4,-10.08,0,0.144,0.00183,0,0.077,0.462,140.011,4
7eXDhsMpOFdsJWauZgq9qv,"1pHO6SCEw9tuRx0IVMFL0g","Tal Uno","Tal Uno","Barrie",2018-05-23,267274,50,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-09-28T03:01:50Z,"brooklyn indie,indie pop,indie rock",0.533,0.623,11,-8.829,0,0.0258,0.0606,0.897,0.295,0.421,109.994,4
4qdbCACEpbFWIpKSMa2fZC,"6LEeAFiJF8OuPx747e1wxR,57vWImR43h4CaDao012Ofp","Out Of Your League","Negro Swan","Blood Orange,Steve Lacy",2018-08-24,140923,48,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-09-28T03:02:06Z,"alternative r&b,art pop,chillwave,electropop,escape room,indie soul,metropopolis,afrofuturism,rap",0.896,0.469,2,-7.13,0,0.0555,0.103,0.00456,0.108,0.676,120.849,4
06rW6WrSxNaIklIjKNIzsn,"1ewyVtTZBqFYWIcepopRhp","Bag Talk","Bag Talk","Joey Purp",2018-08-20,151178,16,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-09-28T03:07:16Z,"chicago rap,underground hip hop",0.924,0.707,0,-5.169,0,0.356,0.0788,0.0000497,0.116,0.315,140.123,4
0pn8eHCvZsBAF9Y9wfv4rt,"1xMXwKQhYLclPctEzpm4nr","Really Got It","Never How You Plan","Jerreau",2016-04-08,187601,55,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-09-28T03:00:22Z,"underground hip hop",0.713,0.967,11,-4.757,0,0.442,0.294,0,0.744,0.7,148.527,4
4Xx0J00u90QvnG3rwz4Itp,"7r8xR0LmnaAM623MmRDn1V","Adderall","Adderall","Max Frost",2016-10-14,218025,60,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-09-28T02:58:07Z,"austindie,indie poptimism,modern alternative rock,modern rock",0.681,0.891,6,-4.28,1,0.0408,0.000672,0.00000107,0.0631,0.556,100.008,4
69vzkewKl2LPquyEiqD8BB,"6ueGR6SWhUJfvEhqkvMsVs,7hgRzsQGjlm1zifNoigyB9,2auiVi8sUZo17dLy1HwrTU","Electric Lady (feat. Solange)","The Electric Lady","Janelle Monáe,Roman GianArthur,Solange",2013-09-06,308893,46,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-09-28T03:00:12Z,"afrofuturism,alternative r&b,atl hip hop,dance pop,electropop,escape room,neo soul,pop,r&b,hip pop,indie soul,urban contemporary",0.621,0.722,7,-7.002,1,0.0542,0.0173,0.0000374,0.0808,0.451,94.985,4
