Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5mNV8Mz59bzyuQ53gTw0c0,"7Aq8lpLMSt1Zxu56pe9bmp,2gBjLmx6zQnFGQJCAQpRgw","Where the Party At (feat. Nelly)","Jagged Little Thrill","Jagged Edge,Nelly",2001-07-03,232573,67,spotify:user:lfrancois6694,2019-02-03T23:27:08Z,"atl hip hop,dance pop,hip hop,hip pop,neo soul,new jack swing,pop rap,quiet storm,r&b,southern hip hop,urban contemporary,rap,st louis rap",0.596,0.661,5,-6.239,0,0.226,0.31,0,0.0847,0.86,129.491,5
5IFCyWplye09HytIP80RCF,"2MGT7CYlixSPxAnnkhLpaA","Too Close","Rated Next","Next",1997-09-30,259440,66,spotify:user:lfrancois6694,2019-02-03T23:27:11Z,"boy band,hip hop,hip pop,minneapolis sound,neo soul,new jack swing,pop rap,quiet storm,r&b,urban contemporary",0.847,0.402,7,-9.952,1,0.0641,0.0118,0,0.283,0.752,99.693,4
06iMqWThw4w8fTFyccvOwr,"2gBjLmx6zQnFGQJCAQpRgw,3L2SIGZah4QZSvN4wC8rHl","Ride Wit Me","Country Grammar","Nelly,City Spud",2000-06-27,291781,0,spotify:user:lfrancois6694,2019-02-03T23:27:12Z,"dance pop,hip hop,pop rap,rap,southern hip hop,st louis rap,urban contemporary",0.854,0.692,7,-6.625,1,0.0479,0.0668,0,0.247,0.753,101.865,4
4hrae8atte6cRlSC9a7VCO,"1J2VVASYAamtQ3Bt8wGgA6,5rkVyNGXEgeUqKkB5ccK83","Always On Time","Pain Is Love","Ja Rule,Ashanti",2001-01-01,245133,73,spotify:user:lfrancois6694,2019-02-03T23:27:13Z,"dance pop,east coast hip hop,gangster rap,hip hop,hip pop,pop rap,queens hip hop,rap,urban contemporary,pop,r&b",0.839,0.706,5,-6.104,0,0.199,0.208,0,0.242,0.839,96.673,4
6mz1fBdKATx6qP4oP1I65G,"7r8RF1tN2A4CiGEplkp1oP","Pony","R&B: From Doo-Wop To Hip-Hop","Ginuwine",1999-10-08,251733,71,spotify:user:lfrancois6694,2019-02-03T23:27:15Z,"dance pop,hip hop,hip pop,neo soul,new jack swing,r&b,southern hip hop,urban contemporary",0.749,0.605,8,-9.359,0,0.086,0.00186,0.0381,0.115,0.966,142.024,4
2SLZ2rX5773RS16mcqBxG7,"7urq0VfqxEYEEiZUkebXT4","Peaches & Cream","Part III","112",2001,193093,65,spotify:user:lfrancois6694,2019-02-03T23:27:21Z,"atl hip hop,boy band,dance pop,gangster rap,hip pop,new jack swing,pop rap,r&b,rap,southern hip hop,urban contemporary",0.677,0.52,4,-6.255,0,0.334,0.00277,0,0.0532,0.768,203.862,4
04KTF78FFg8sOHC1BADqbY,"2gBjLmx6zQnFGQJCAQpRgw","Hot In Herre","Nellyville","Nelly",2002-06-25,228240,74,spotify:user:lfrancois6694,2019-02-03T23:27:29Z,"dance pop,hip hop,pop rap,rap,southern hip hop,st louis rap,urban contemporary",0.956,0.745,11,-4.753,0,0.12,0.206,0,0.0615,0.912,107.075,4
2mKouqwAIdQnMP43zxR89r,"3ScY9CQxNLQei8Umvpx5g6,1J2VVASYAamtQ3Bt8wGgA6,5rkVyNGXEgeUqKkB5ccK83","What's Luv? (feat. Ja-Rule & Ashanti)","Jealous Ones Still Envy (J.O.S.E)","Fat Joe,Ja Rule,Ashanti",2001-12-04,267093,74,spotify:user:lfrancois6694,2019-02-03T23:27:30Z,"bronx hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,hip pop,pop rap,rap,trap,dance pop,queens hip hop,urban contemporary,pop,r&b",0.835,0.707,8,-5.074,1,0.0598,0.0219,0.0000219,0.108,0.919,93.955,4
6Wt5QBzHp9vdSLAFlvdnDQ,"59wfkuBoNyhDMQGCljbUbA,7r8RF1tN2A4CiGEplkp1oP,2gie1bU1LwnxdFAJoTLjzT,4BIQA9vRkqXEnA2twmq7mU,3syIAcIriqzXKN77IwQnWB","I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans]","Bad Boy's 10th Anniversary- The Hits","Diddy,Ginuwine,Loon,Mario Winans,Tammy Ruggieri",2004-03-09,285586,68,spotify:user:lfrancois6694,2019-02-03T23:27:32Z,"dance pop,east coast hip hop,hip hop,hip pop,pop rap,rap,neo soul,new jack swing,r&b,southern hip hop,urban contemporary",0.713,0.471,1,-7.392,0,0.483,0.421,0,0.0308,0.781,199.765,4
41bIQPBE1lFN0mmw6Lmssz,"3q7HBObVc0L8jNeTe5Gofh,1Oa0bMld0A3u5OTYfMzp5h","21 Questions","Get Rich Or Die Tryin'","50 Cent,Nate Dogg",2003-02-06,224426,71,spotify:user:lfrancois6694,2019-02-03T23:27:34Z,"east coast hip hop,gangster rap,hip hop,pop rap,queens hip hop,rap,g funk,west coast rap",0.576,0.807,6,-3.908,0,0.317,0.353,0.000363,0.0512,0.908,90.012,4
6zOg9gP62RJSsKFeOBAgvH,"7urq0VfqxEYEEiZUkebXT4,5me0Irg2ANcsgc93uaYrpb,1wiBLzTI7z9RUwEpNPdFT6","Only You (feat. The Notorious B.I.G. & Mase) - Bad Boy Remix","112","112,The Notorious B.I.G.,Mase",1996-08-27,289413,63,spotify:user:lfrancois6694,2019-02-03T23:28:20Z,"atl hip hop,boy band,dance pop,gangster rap,hip pop,new jack swing,pop rap,r&b,rap,southern hip hop,urban contemporary,east coast hip hop,hardcore hip hop,hip hop,harlem hip hop",0.764,0.525,8,-5.969,1,0.048,0.0296,0,0.0993,0.787,95.813,4
53oWwSxPuyH2cjYKXH8fgO,"3r0OeTcOw37N9juMYyyw39","Get Money","Conspiracy (PA)","Junior M.A.F.I.A.",1995-08-15,274937,62,spotify:user:lfrancois6694,2019-02-03T23:28:26Z,"east coast hip hop,hardcore hip hop,hip hop,hip pop,rap",0.736,0.828,11,-5.835,0,0.284,0.477,0,0.251,0.899,91.224,4
3GKL13lkM5nRc4zC1lIOrR,"2Xu7q46Hf02xOoEIm4E1Qs,3zTOe1BtyTkwNvYZOxXktX","Still Not a Player (feat. Joe) - Radio Version","Capital Punishment (Explicit Version)","Big Pun,Joe",1998-04-28,236800,69,spotify:user:lfrancois6694,2019-02-03T23:28:29Z,"bronx hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,hip pop,rap,southern hip hop,dance pop,neo soul,new jack swing,pop rap,r&b,urban contemporary",0.9,0.619,4,-6.518,0,0.312,0.203,0.00156,0.0647,0.864,94.121,4
7hfRrdFJgFKK3cJ4rmkecE,"1wiBLzTI7z9RUwEpNPdFT6","Feel so Good","Harlem World","Mase",1997,203626,66,spotify:user:lfrancois6694,2019-02-03T23:28:33Z,"gangster rap,hardcore hip hop,harlem hip hop,hip hop,hip pop,pop rap,rap,southern hip hop,urban contemporary",0.821,0.703,11,-8.464,0,0.24,0.192,0,0.0816,0.536,105.154,4
0Uhnzk5zI46IRlQ04LNOtc,"7iMvwE8qANp3aIfAGKEAwS,6Uh8uJyN9g7oFjDK16nJgb,6EjZmcZTs67OVOG511gGn3,6cStgiv1qH5z6GYrFsjuGj","Hey Ma","Come Home With Me","Cam’ron,Juelz Santana,Freekey Zeekey,Toya",2002-01-01,232533,61,spotify:user:lfrancois6694,2019-02-03T23:28:39Z,"battle rap,east coast hip hop,gangster rap,hardcore hip hop,harlem hip hop,hip hop,hip pop,pop rap,rap,southern hip hop,trap,nyc rap",0.791,0.666,8,-5.484,1,0.341,0.0256,0.00000633,0.0796,0.938,90.345,4
6hxn98poTu1O4YZfafvC18,"1wiBLzTI7z9RUwEpNPdFT6,1urjDGTd4iBze91Z1W1gu7","What You Want (feat. Total)","Harlem World","Mase,Total",1997,242946,65,spotify:user:lfrancois6694,2019-02-03T23:28:46Z,"gangster rap,hardcore hip hop,harlem hip hop,hip hop,hip pop,pop rap,rap,southern hip hop,urban contemporary,neo soul,new jack swing,r&b",0.838,0.72,10,-6.593,0,0.384,0.0312,0.0000111,0.422,0.845,93.76,4
3jDdpx9PMlfMBS5tOBHFm9,"6V3F8MZrOKdT9fU686ybE9","Return of the Mack","Return of the Mack","Mark Morrison",1996-04-22,213093,74,spotify:user:lfrancois6694,2019-02-03T23:29:01Z,"british soul,new jack swing",0.715,0.833,2,-5.379,1,0.108,0.00631,0,0.164,0.612,95.487,4
0uEp9E98JB5awlA084uaIg,"2Mu5NfyYm8n5iTomuKAEHl","Doo Wop (That Thing)","The Miseducation of Lauryn Hill","Ms. Lauryn Hill",1998-08-25,320266,74,spotify:user:lfrancois6694,2019-02-03T23:29:12Z,"conscious hip hop,hip pop,neo soul,new jersey rap,r&b,urban contemporary",0.535,0.505,2,-8.926,0,0.245,0.0393,0,0.0923,0.495,99.935,4
2iclfHORMqpR3TxuhwVRhD,"1J2VVASYAamtQ3Bt8wGgA6,5rkVyNGXEgeUqKkB5ccK83","Mesmerize","The Last Temptation","Ja Rule,Ashanti",2002-01-01,278720,65,spotify:user:lfrancois6694,2019-02-03T23:29:25Z,"dance pop,east coast hip hop,gangster rap,hip hop,hip pop,pop rap,queens hip hop,rap,urban contemporary,pop,r&b",0.764,0.648,1,-6.639,1,0.206,0.0563,0,0.414,0.391,90.1,4
6Nq5lE0CeOAAAqN4qhkbZU,"12PSlydMSjEHzSCj9X5qv7,3sMYEBy0CZFxedcnm9i9hf","Suga Suga","Tha Smokin' Nephew","Baby Bash,Frankie J",2003-01-01,239026,75,spotify:user:lfrancois6694,2019-02-03T23:29:28Z,"chicano rap,dance pop,dirty south rap,gangster rap,hip hop,hip pop,latin hip hop,pop rap,r&b,rap,southern hip hop,texas latin rap,urban contemporary",0.662,0.748,5,-3.041,0,0.268,0.688,0.00000843,0.0841,0.535,82.331,4
2qPx2QWd7vp8XxgeD9Wn5W,"3r0OeTcOw37N9juMYyyw39","Player's Anthem","Conspiracy","Junior M.A.F.I.A.",1995-08-15,322226,45,spotify:user:lfrancois6694,2019-02-03T23:30:00Z,"east coast hip hop,hardcore hip hop,hip hop,hip pop,rap",0.788,0.626,0,-8.582,1,0.354,0.262,0,0.0791,0.74,87.96,4
2a03afRiyAbNAleOByVju4,"1Xfmvd48oOhEWkscWyEbh9","Get It Shawty - Main","Street Love","Lloyd",2007-01-01,209533,61,spotify:user:lfrancois6694,2019-02-03T23:30:16Z,"dance pop,hip pop,pop r&b,pop rap,r&b,southern hip hop,trap,urban contemporary",0.822,0.905,5,-4.032,0,0.241,0.123,0,0.0496,0.674,128.014,4
0OvwzS8FX73Bw7ykMRmffU,"1J2VVASYAamtQ3Bt8wGgA6,3ot6fEzKvRrCnWy5BWlnxU","Put It On Me","Rule 3:36","Ja Rule,Vita",2000-01-01,262826,65,spotify:user:lfrancois6694,2019-02-03T23:39:01Z,"dance pop,east coast hip hop,gangster rap,hip hop,hip pop,pop rap,queens hip hop,rap,urban contemporary",0.831,0.79,1,-4.714,0,0.165,0.0024,0,0.0515,0.791,93.14,4
4INDiWSKvqSKDEu7mh8HFz,"5me0Irg2ANcsgc93uaYrpb,1wiBLzTI7z9RUwEpNPdFT6,59wfkuBoNyhDMQGCljbUbA","Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster","Life After Death (2014 Remastered Edition)","The Notorious B.I.G.,Mase,Diddy",1997-03-04,257399,75,spotify:user:lfrancois6694,2019-02-03T23:39:04Z,"east coast hip hop,gangster rap,hardcore hip hop,hip hop,rap,harlem hip hop,hip pop,pop rap,southern hip hop,urban contemporary,dance pop",0.845,0.884,6,-4.506,0,0.0759,0.0128,0.0000021,0.203,0.904,104.536,4
5Y77SQxEr1eiofPeUTPHxM,"1Xfmvd48oOhEWkscWyEbh9,55Aa2cqylxrFIXC767Z865","You","Street Love","Lloyd,Lil Wayne",2007-01-01,273133,70,spotify:user:lfrancois6694,2019-02-03T23:44:47Z,"dance pop,hip pop,pop r&b,pop rap,r&b,southern hip hop,trap,urban contemporary,hip hop,new orleans rap,rap",0.412,0.876,5,-6.008,0,0.47,0.102,0,0.297,0.703,130.159,5
6ihObRBTB8xdSH2mlERtOX,"0rG0AZBscc8S8q1ahIsasI,6tBnRI3ubWYclKSbGvGtKd","Slow Motion","Juve The Great","JUVENILE,Soulja Slim",2003-01-01,248200,64,spotify:user:lfrancois6694,2019-02-03T23:44:50Z,"bounce,crunk,dirty south rap,gangster rap,hip hop,new orleans rap,pop rap,rap,southern hip hop,trap,deep southern trap,houston rap",0.713,0.734,0,-4.894,0,0.325,0.548,0,0.0687,0.89,172.872,4
2tOZtdbkAMQASWokLvSlzj,"6vbY3hOaCAhC7VjucswgdS","Overnight Celebrity","Kamikaze","Twista",2004-01-27,233360,65,spotify:user:lfrancois6694,2019-02-03T23:44:55Z,"chicago rap,dirty south rap,gangster rap,hip hop,pop rap,r&b,rap,trap,urban contemporary",0.828,0.792,10,-5.435,0,0.179,0.182,0,0.281,0.777,134.199,4
5SkRLpaGtvYPhw02vZhQQ9,"5K4W6rqBFWDnAN6FQUkS6x,1lE6SEy8f84Zhjvp7r8yTD","All Falls Down","The College Dropout","Kanye West,Syleena Johnson",2004-02-10,223506,74,spotify:user:lfrancois6694,2019-02-03T23:45:04Z,"chicago rap,rap,hip pop,neo soul,r&b,urban contemporary",0.657,0.734,8,-4.832,0,0.484,0.149,0,0.139,0.434,91.03,4
7KwZNVEaqikRSBSpyhXK2j,"5me0Irg2ANcsgc93uaYrpb","Hypnotize - 2014 Remaster","Life After Death (2014 Remastered Edition)","The Notorious B.I.G.",1997-03-04,229826,78,spotify:user:lfrancois6694,2019-02-03T23:45:06Z,"east coast hip hop,gangster rap,hardcore hip hop,hip hop,rap",0.901,0.697,9,-3.439,1,0.28,0.145,0,0.287,0.67,93.941,4
5PMKzsUsTpZZGsCcJBuhP2,"5KNqYrivNgVCHBssEUSu5B,64ccradw8gAQn9gMQZmEha","U Know What's Up (feat. Lisa Left Eye Lopes)","Where I Wanna Be","Donell Jones,Lisa "Left Eye" Lopes",1999-05-29,243733,64,spotify:user:lfrancois6694,2019-02-03T23:45:25Z,"hip hop,hip pop,neo soul,new jack swing,pop rap,quiet storm,r&b,urban contemporary",0.854,0.543,8,-6.166,0,0.0844,0.0402,0.0000573,0.0419,0.868,103.032,4
