Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3QBnJDkME3teXvf52Sfslk,"1iNqsUDUraNWrj00bqssQG,6U3ybJ9UHNKEdsH7ktGBZ7,4OBJLual30L7gRl5UkeRcT","Ladies, Ladies, Ladies (with JID feat. T.I.)","Revenge Of The Dreamers III","Dreamville,JID,T.I.",2019-07-05,167786,52,spotify:user:y3e5ba1aw5fg8qdu46nk9pfsq,2019-07-06T18:55:20Z,"hip hop,rap,underground hip hop,atl hip hop,dance pop,dirty south rap,gangster rap,pop rap,southern hip hop,trap",0.631,0.687,11,-6.177,0,0.258,0.753,0,0.309,0.534,80.706,4
0b6l1obmzq1YrqiKBVLtIo,"20wkVLutqVOYrc0kxFs7rA,2RdwBSPQiwcmiDo9kixcl8","FRONTAL LOBE MUZIK","CASE STUDY 01","Daniel Caesar,Pharrell Williams",2019-06-28,229401,54,spotify:user:y3e5ba1aw5fg8qdu46nk9pfsq,2019-07-06T18:55:20Z,"canadian contemporary r&b,pop,r&b,pop rap",0.681,0.568,11,-6.264,0,0.136,0.439,0.000173,0.446,0.301,140.004,4
0w9aWiDqZPCOCOtRTLkTPd,"0Y4inQK6OespitzD6ijMwb,5LhTec3c7dcqBvpLRWbMcf,0ONHkAv9pCAFxb0zJwDNTy,2N4EYkIlG1kv25g6Wv8LGI","Palmolive (feat. Pusha T & Killer Mike)","Bandana","Freddie Gibbs,Madlib,Pusha T,Killer Mike",2019-06-28,245333,54,spotify:user:y3e5ba1aw5fg8qdu46nk9pfsq,2019-07-06T18:55:20Z,"alternative hip hop,hip hop,indiana hip hop,rap,southern hip hop,underground hip hop,electronica,escape room,psychedelic hip hop,gangster rap,pop rap,trap,virginia hip hop,atl hip hop,conscious hip hop,dirty south rap,political hip hop",0.33,0.603,0,-7.571,1,0.36,0.601,0.00063,0.307,0.812,168.456,3
4vRaGGiQN6l2LiQxSFg6ZP,"0huGjMyP507tBCARyzSkrv,3jK9MiCrA42lLAdMGUZpwa","RNP (feat. Anderson .Paak)","RNP (feat. Anderson .Paak)","Cordae,Anderson .Paak",2019-07-23,175853,0,spotify:user:y3e5ba1aw5fg8qdu46nk9pfsq,2019-07-25T15:44:58Z,"dmv rap,hip hop,pop rap,rap,trap,underground hip hop,vapor trap,escape room",0.648,0.713,9,-4.696,0,0.855,0.184,0,0.145,0.627,196.558,4
0eGpcLG96GWVCG4Ix3qLCp,"7guDJrEfX3qb6FEbdPA5qi","Summer Soft","Songs In The Key Of Life","Stevie Wonder",1976-09-28,254106,47,spotify:user:y3e5ba1aw5fg8qdu46nk9pfsq,2019-07-09T04:54:59Z,"adult standards,funk,indie r&b,motown,quiet storm,soul",0.548,0.615,8,-12.019,0,0.0493,0.374,0.000209,0.09,0.218,104.884,4
0Zgcv1wy4bRWpfsM27uPGK,"6LEeAFiJF8OuPx747e1wxR,6O4EGCCb6DoIiR6B1QCQgp","Dark & Handsome","Angel's Pulse","Blood Orange,Toro y Moi",2019-07-12,153750,57,spotify:user:y3e5ba1aw5fg8qdu46nk9pfsq,2019-07-12T04:28:28Z,"alternative r&b,art pop,chillwave,electropop,escape room,indie soul,metropopolis,alternative dance,electronica,indietronica,new rave,nu gaze",0.584,0.389,11,-12.315,1,0.154,0.689,0,0.319,0.288,79.976,4
0qXOd4uQgPPtNrzxWB7Q14,"0Mz5XE0kb1GBnbLQm2VbcO","The Panties","The New Danger (Explicit Version)","Mos Def",2004-10-19,251213,0,spotify:user:y3e5ba1aw5fg8qdu46nk9pfsq,2019-07-10T20:56:59Z,"alternative hip hop,conscious hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,rap,southern hip hop",0.509,0.555,8,-7.243,0,0.0485,0.474,0.00535,0.215,0.185,85.043,4
5CPwfSTHqEIOOWLkRMx2O7,"1A9o3Ljt67pFZ89YtPPL5X","Find Someone Like You","Find Someone Like You","Snoh Aalegra",2019-06-14,207440,0,spotify:user:y3e5ba1aw5fg8qdu46nk9pfsq,2019-07-06T18:55:20Z,"alternative r&b,chill r&b,indie r&b,indie soul,neo soul,r&b,scandinavian r&b,swedish soul",0.399,0.618,6,-6.224,0,0.11,0.825,0.00000217,0.174,0.406,168.685,4
3f9Mzvd3URfbbIJBX4pz9Z,"6USv9qhCn6zfxlBQIYJ9qs,1rHOtdmGNr5vcYNw5v7QGC","Phone Numbers","Phone Numbers","Dominic Fike,Kenny Beats",2019-07-04,146826,73,spotify:user:y3e5ba1aw5fg8qdu46nk9pfsq,2019-07-09T04:55:16Z,"alternative pop rock,pop,pop rap,trap,underground hip hop",0.884,0.539,1,-6.389,0,0.208,0.239,0,0.0805,0.776,85.008,4
1ahzHj4rfljE8w4ZwpEjOM,"3dv4Q4q3LWOnbLJnC6GgTY","A Little While","Harmless Melodies","Yellow Days",2016-11-18,318147,63,spotify:user:y3e5ba1aw5fg8qdu46nk9pfsq,2019-07-16T20:39:37Z,"bedroom pop",0.577,0.604,3,-7.84,0,0.0332,0.182,0.00211,0.205,0.351,99.997,4
2NNPnxOunTgqFNlCrG4jcQ,"0kDgxQlVYVecF6MCNWJTYE,4c2ighP1wj8E5dVGJDCOiB,6lirZ0ouvh4l3fz3HSnIwi,7Hjbimq43OgxaBRpFXic4x","Mortal Kombat","You Can't Sit With Us","Pivot Gang,Kari Faux,Joseph Chilliams,Saba",2019-04-19,211153,41,spotify:user:y3e5ba1aw5fg8qdu46nk9pfsq,2019-07-06T18:55:20Z,"indie hip hop,underground hip hop,alternative r&b,arkansas hip hop,escape room,indie r&b,multidisciplinary,trap queen,chicago rap,hip hop,rap",0.916,0.522,10,-13.069,0,0.124,0.0701,0.000578,0.11,0.439,95.48,4
5h0Jgt873QtgL6nJRBGfT6,"6RedK3o51NbUJuJxXlT4kj,4LLpKhyESsyAXpc4laK94U,5WUlDfRSoLAfcVSX1WnrxN","That's Life (feat. Mac Miller & Sia)","That's Life (feat. Mac Miller & Sia)","88-Keys,Mac Miller,Sia",2019-06-20,202390,64,spotify:user:y3e5ba1aw5fg8qdu46nk9pfsq,2019-07-06T18:55:20Z,"alternative hip hop,hip hop,pittsburgh rap,rap,australian dance,australian pop,pop",0.525,0.774,9,-4.532,1,0.241,0.24,0.00000107,0.495,0.526,154.192,4
2tYZV7fzHvD7k2yqyc1C7z,"6tDysK3IF96GLkAcaSzXfC","Rainin' in LA","Rainin' in LA","Reggie Becton",2019-08-27,297600,38,spotify:user:y3e5ba1aw5fg8qdu46nk9pfsq,2019-08-29T01:29:11Z,"",0.363,0.364,11,-9.02,0,0.0432,0.84,0.0000157,0.471,0.462,83.229,4
6VltRkmJbCTqgKrTHk4Ulw,"6v8FB84lnmJs434UJf2Mrm,0oi7g8NUnlLh5tJvg2y5e3","My My, Hey Hey (Out of the Blue) - 2016 Remaster","Rust Never Sleeps","Neil Young,Crazy Horse",1979-06-27,227705,67,spotify:user:y3e5ba1aw5fg8qdu46nk9pfsq,2019-07-10T23:47:01Z,"album rock,canadian singer-songwriter,classic canadian rock,classic rock,mellow gold,permanent wave,rock,roots rock,singer-songwriter,country rock,folk rock",0.502,0.4,7,-13.697,0,0.0294,0.856,0.000375,0.333,0.435,127.182,4
08ho4p2btzoHq8rORsP6S5,"07UJz804RJxqNvxFXC3h9H","Neptune","Viewfinder Vol. 1: PHOSPHENE","Sam Gellaitry",2019-04-05,276839,34,spotify:user:y3e5ba1aw5fg8qdu46nk9pfsq,2019-07-30T18:03:07Z,"electronic trap,future bass,scottish electronic,vapor soul,vapor twitch",0.258,0.811,9,-7.784,1,0.455,0.244,0.00508,0.467,0.185,104.174,5
2q0VexHJirnUPnEOhr2DxK,"2h93pZq0e7k5yf4dywlkpM,3nFkdlSjzX9mRTtwJOzDYB,4V8LLVI7PbaPR0K2TGSxFF","Biking","Biking","Frank Ocean,JAY-Z,Tyler, The Creator",2017-04-10,277520,69,spotify:user:y3e5ba1aw5fg8qdu46nk9pfsq,2019-07-14T21:20:28Z,"alternative r&b,hip hop,lgbtq+ hip hop,neo soul,pop,east coast hip hop,pop rap,rap",0.673,0.463,2,-7.247,1,0.191,0.681,0.0000049,0.0907,0.268,147.981,4
1rjhUPh3zxzPBtNLA6cqak,"6uABP2PlyGOiUPKl8T3CoY","Break Down","Break Down","Miguel Dias",2019-08-27,196135,9,spotify:user:y3e5ba1aw5fg8qdu46nk9pfsq,2019-09-16T21:37:41Z,"",0.728,0.587,7,-5.345,1,0.0333,0.369,0.000267,0.153,0.752,79.989,4
6C93f8mEOQdvZbGELCfbLp,"46KG4qj2842Z35DQ9tJJfO","Northside","Northside","Asuquomo",2019-08-30,180428,5,spotify:user:y3e5ba1aw5fg8qdu46nk9pfsq,2019-09-26T22:09:35Z,"",0.586,0.537,6,-9.041,1,0.465,0.0387,0.00000101,0.196,0.163,140.089,4
7mmgaVKZlU6jtVsRvoXxKu,"4frXpPxQQZwbCu3eTGnZEw","Jethro","Drunk","Thundercat",2017-02-24,94896,0,spotify:user:y3e5ba1aw5fg8qdu46nk9pfsq,2019-07-09T15:50:15Z,"afrofuturism",0.569,0.718,8,-6.937,1,0.0371,0.46,0.0914,0.352,0.696,83.28,4
2Qsgl2lY4l1FVJoiNt8qP3,"7k5ax8x54EyglDNaYEmT25","Jersey Drive","Jersey Drive","4chille 6rad",2017-12-08,283287,3,spotify:user:y3e5ba1aw5fg8qdu46nk9pfsq,2019-09-13T19:44:41Z,"",0.783,0.788,1,-5.412,1,0.081,0.0124,0,0.104,0.489,118.646,5
5IkIxsOscUMw4elWMpJt4t,"6wcqn7sXmRePiqPbt2Trxb","Bad News","Bad News","Jasmine Hill",2019-09-02,178494,6,spotify:user:y3e5ba1aw5fg8qdu46nk9pfsq,2019-09-15T13:03:31Z,"",0.648,0.312,7,-15.302,0,0.0416,0.0152,0.547,0.111,0.14,75.997,4
1mFHMzbaECWFaPfoePoEYl,"5K4W6rqBFWDnAN6FQUkS6x","Late","Late Registration","Kanye West",2005-08-30,230493,51,spotify:user:y3e5ba1aw5fg8qdu46nk9pfsq,2019-07-10T20:58:40Z,"chicago rap,rap",0.334,0.843,10,-5.928,0,0.173,0.197,0.00000395,0.295,0.616,75.281,4
6yQm2O8c47EpisbV7HF3R8,"3xJPID7HT7YaFXtDZPhfIC,7Jks7jnvDjZSMP9msvUF1m","Be Still","Be Still","nikmoody,Marlena Rose",2019-08-26,156103,8,spotify:user:y3e5ba1aw5fg8qdu46nk9pfsq,2019-09-18T16:28:17Z,"",0.663,0.764,9,-7.548,1,0.337,0.145,0,0.0942,0.576,79.009,4
5eQud3XtpDJWTkrjztrPGd,"76iDx8xmqKhCbdmGQtTqWF","Ain't 4 U","Run That Back!","Camb",2019-07-19,135750,4,spotify:user:y3e5ba1aw5fg8qdu46nk9pfsq,2019-09-06T15:10:20Z,"milwaukee hip hop",0.663,0.834,4,-5.193,0,0.322,0.436,0,0.244,0.87,160.184,4
6JEpXOLUX3K8SEZZaiQl4k,"77X9A9UiAgiPubyPr7bWym,1lNk3e9W4O8RmXP1y8OE3r","Who Am I","Who Am I","Smartface,Genra",2019-09-07,217594,16,spotify:user:y3e5ba1aw5fg8qdu46nk9pfsq,2019-09-15T13:09:43Z,"lo-fi beats",0.758,0.691,2,-7.12,0,0.149,0.00794,0.0000402,0.0659,0.549,96.022,4
1MbRbUOI5uLurbRy97DMQw,"1iESBSkXHmrIe7ZdaqUUIO","Alicia's Jam","Alicia's Jam","Shah Leezy",2019-09-04,147539,6,spotify:user:y3e5ba1aw5fg8qdu46nk9pfsq,2019-09-13T19:48:14Z,"",0.667,0.832,1,-4.596,0,0.374,0.645,0,0.109,0.569,79.602,4
3iqljBpSVOSrTSiP7WJQGp,"35RvGPQ1OxbEZknWyiaAcs","Aiming Up","Another Tape","Two Another",2018-10-12,230484,10,spotify:user:y3e5ba1aw5fg8qdu46nk9pfsq,2019-07-06T21:11:43Z,"alternative r&b,indie soul,vapor soul",0.856,0.396,7,-7.566,0,0.199,0.235,0.00000488,0.0654,0.564,92.024,4
1m3zec0vhW0abcvFA4l9yz,"3DKgKd1xyI0OmzX2ebDtmT,3moohhSnOiNI1aNv5NVkMN","Night Rider","Night Rider","B0ryan,Tinn Man",2019-09-13,160000,4,spotify:user:y3e5ba1aw5fg8qdu46nk9pfsq,2019-09-26T15:04:08Z,"country rap,redneck",0.661,0.631,4,-10.235,0,0.131,0.0959,0.0000106,0.114,0.423,179.909,4
68vWoUDoJy1EW9jViUKCEk,"0Qo3BPiai9OuVq6zojWALA","Cut to the Chase","Purple Sunflower","Flower in Bloom",2019-07-09,200592,8,spotify:user:y3e5ba1aw5fg8qdu46nk9pfsq,2019-08-27T23:56:30Z,"",0.728,0.286,9,-19.149,0,0.0518,0.121,0.0000113,0.104,0.825,145.992,4
5Jd3nTZWsui4svVq9rLBWr,"70Y5Sqpn0j8coB8UoeraAp","Easy","Color Me, City","Jarvis Neely",2019-08-22,155800,5,spotify:user:y3e5ba1aw5fg8qdu46nk9pfsq,2019-08-23T13:40:21Z,"",0.741,0.654,0,-5.871,1,0.272,0.314,0,0.13,0.426,89.923,4
4kvR8U0HLWNRuiguOlrCQR,"1a9GLZX6UUiS0togwq1Viq,3O2UFvuhmgSDH3q6miqELN","S.O.S","S.O.T.R.","papichuloteej,marcos g",2019-09-03,192888,38,spotify:user:y3e5ba1aw5fg8qdu46nk9pfsq,2019-09-16T18:32:47Z,"indie r&b,alternative r&b,chill r&b",0.935,0.414,0,-7.893,0,0.0794,0.433,0.0000216,0.0586,0.887,96.009,4
7ixUG0qWUrvkl1QeL4ClmJ,"3CWDYyZkobXWKAb3KpvaEc","SURViVE","SURViVE","FREAK THE MIIGHTY",2019-08-05,215108,6,spotify:user:y3e5ba1aw5fg8qdu46nk9pfsq,2019-09-26T14:26:10Z,"buffalo hip hop",0.656,0.438,7,-10.861,1,0.163,0.128,0,0.0819,0.118,82.449,4
1xHJBrxLnYtq0lAoeKq4hu,"7bKIZTtcsyeUtWfAmBm2Kq,7CbLn4TJzF3tgOvYEk4Wvb","Rim","Post Moves","Double A,Ali Buckets",2019-08-23,165517,0,spotify:user:y3e5ba1aw5fg8qdu46nk9pfsq,2019-09-10T02:45:22Z,"",0.499,0.915,1,-4.965,1,0.251,0.477,0,0.372,0.892,95.612,3
2HQrpxH5Vs1m4KlDvhaHxA,"2aWHJBYFpBZ2yVaIn0aQB5","EFFECTIVE","EFFECTIVE","Swavy Wey",2019-08-23,102068,3,spotify:user:y3e5ba1aw5fg8qdu46nk9pfsq,2019-09-06T15:03:29Z,"",0.773,0.652,11,-6.829,0,0.38,0.208,0,0.0468,0.629,174.139,4
6CKTjCqiN41xcKO1aRGqka,"1nJusJ5rdzMhoXSYAugv1h","Hell's Angel","Hell's Angel","FOSTER.",2019-08-01,194425,0,spotify:user:y3e5ba1aw5fg8qdu46nk9pfsq,2019-08-27T23:43:19Z,"",0.649,0.748,0,-6.809,0,0.203,0.0174,0.0000162,0.423,0.518,103.92,4
3lLhjZ9beIKxqX8nMA6aPx,"62nzu1MElfGhr9sE6hFrMP","Not Talking","Love Us","Kyle Corduroy",2019-07-21,180600,0,spotify:user:y3e5ba1aw5fg8qdu46nk9pfsq,2019-08-29T12:33:08Z,"",0.727,0.559,7,-6.382,0,0.0368,0.482,0,0.28,0.384,100.018,4
2VhiRmLJv1oWgY6UMKRvB3,"6YUQJ6WF4FGDqqBQ1LTjL6","Endless","Endless","Kamaliza",2019-07-31,168500,14,spotify:user:y3e5ba1aw5fg8qdu46nk9pfsq,2019-09-03T12:44:28Z,"",0.767,0.514,8,-9.906,0,0.0791,0.445,0,0.137,0.22,81.075,4
1nBjOZevvBx8G3A6taaUgF,"7JBZN2pehWRUu3fX11lP2y","How This Feels","How This Feels","R.LUM.R",2019-07-12,159706,0,spotify:user:y3e5ba1aw5fg8qdu46nk9pfsq,2019-07-24T21:49:01Z,"alternative r&b,pop r&b",0.603,0.624,9,-6.452,0,0.0531,0.0839,0.00000278,0.255,0.502,159.96,4
4cqZBTrBpgSsqL0ACebm1D,"5qh5Olov1MfMFuxx5rc149","Sunflowers in December","Ease","Twelve25",2019-06-04,283943,19,spotify:user:y3e5ba1aw5fg8qdu46nk9pfsq,2019-08-29T12:29:10Z,"",0.544,0.473,1,-9.341,0,0.063,0.781,0.0191,0.246,0.231,128.924,4
32zaGEN0vjroFInVKtBjLF,"7doZzBJDpoxGfhe4qDBkWB","Why","Back to Work","Tyler Hammons",2019-09-03,153077,2,spotify:user:y3e5ba1aw5fg8qdu46nk9pfsq,2019-09-06T15:06:22Z,"",0.621,0.599,10,-8.778,0,0.162,0.313,0.000127,0.268,0.73,136.021,4
2zKj9gJde9qeGseeEUYjRH,"7blmxmEFPmuvFrMQo87EHQ","All the Fonk","All the Fonk","Rc $pitta",2019-07-31,196285,0,spotify:user:y3e5ba1aw5fg8qdu46nk9pfsq,2019-08-21T21:02:32Z,"portland hip hop",0.598,0.47,1,-8.906,1,0.304,0.363,0.000383,0.123,0.332,105.041,4
55OJ3PJzssSHhsFUwGfoSe,"7w0icY8urZXGDaOug0GE4B","Daily Mantra","Daily Mantra","Looneymore",2019-08-18,155872,0,spotify:user:y3e5ba1aw5fg8qdu46nk9pfsq,2019-08-19T19:03:39Z,"",0.814,0.51,2,-8.552,1,0.356,0.21,0.0000268,0.0946,0.227,160.18,4
2T1tRo4HLSOft5HPdg6srb,"2VzuHVrBQyeiWs6ct45cCQ","No Chill","Leo Season (2019 edition)","Rafayel",2019-07-31,170057,2,spotify:user:y3e5ba1aw5fg8qdu46nk9pfsq,2019-09-13T23:47:13Z,"",0.872,0.544,3,-9.767,0,0.268,0.675,0.0000112,0.122,0.68,80.011,4
5pdClx2VgRgC4gM1XcsJVL,"5xS3wALUzY9L0wPyvhOAJe,1GwtvGNPUp63dtzBh2t0uV,5XKfnvhIVsewz6pfHJ08mj","Confident","Confident","Romel,MannyJR.,Jarren J",2019-08-21,166829,6,spotify:user:y3e5ba1aw5fg8qdu46nk9pfsq,2019-08-27T23:50:14Z,"",0.806,0.629,11,-6.713,1,0.256,0.373,0,0.124,0.669,82.049,4
