Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2t8yVaLvJ0RenpXUIAC52d,"1URnnhqYAYcrqrcwql10ft","a lot","i am > i was","21 Savage",2018-12-21,288624,78,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-08T03:02:06Z,"atl hip hop,rap,trap",0.837,0.636,1,-7.643,1,0.086,0.0395,0.00125,0.342,0.274,145.972,4
7svLpna6i9NbCVBciVCUWG,"1ybINI1qPiFbwDXamRtwxD","Innamission","blkswn","Smino",2017-03-14,135360,47,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-08T03:05:11Z,"alternative r&b,hip hop,rap,underground hip hop",0.741,0.512,0,-8.388,1,0.315,0.82,0,0.383,0.399,114.249,4
6GCIYIWUBSLontW6divqsw,"2auiVi8sUZo17dLy1HwrTU","Stay Flo","When I Get Home","Solange",2019-03-01,175706,65,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-08T03:08:58Z,"afrofuturism,alternative r&b,dance pop,escape room,hip pop,indie soul,neo soul,pop,r&b,urban contemporary",0.823,0.558,9,-7.119,1,0.0278,0.397,0.0000203,0.0821,0.674,155.974,4
2KmYPKHvwG77NAcDpFlLBm,"1ybINI1qPiFbwDXamRtwxD","L.M.F.","NOIR","Smino",2018-11-08,188500,49,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-08T03:11:22Z,"alternative r&b,hip hop,rap,underground hip hop",0.898,0.677,1,-6.907,1,0.362,0.354,0.00000485,0.449,0.864,155.02,4
5lcRPz56p4uCvT24DOQUG6,"2TLYSzGyVYkxAgYSCqUnQj","RUN IT DOWN","WONDER","Jay Prince",2019-01-25,370000,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-08T03:17:07Z,"alternative r&b,indie r&b,indie soul,trap soul,uk alternative hip hop,underground hip hop",0.551,0.483,7,-11.758,1,0.373,0.216,0,0.0783,0.455,100.905,4
6zlBoRMKQv2UyrafMVoQlq,"4lPl9gqgox3JDiaJ1yklKh","CLONES","CLONES","Tierra Whack",2019-02-26,171392,52,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-08T03:20:16Z,"alternative r&b,escape room,indie soul",0.791,0.494,9,-8.705,1,0.347,0.184,0.0182,0.482,0.6,146.003,4
7xAE36UUNgyDJDIM4yiucY,"6vfR5QRc3xca0KvpG8KZBE,6qgnBH6iDM91ipVXv28OMu","Be Your Girl (Kaytranada Edition)","Be Your Girl (Kaytranada Edition)","Teedra Moses,KAYTRANADA",2018-05-04,268087,1,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-08T03:36:41Z,"alternative r&b,hip pop,neo soul,r&b,urban contemporary,escape room,indie soul,lgbtq+ hip hop",0.866,0.679,6,-6.74,0,0.388,0.214,0.0000048,0.101,0.272,115.015,4
1HA2V2EfAgJUBVOju4YfiB,"1U1el3k54VvEUzo3ybLPlM,57vWImR43h4CaDao012Ofp","Just A Stranger (feat. Steve Lacy)","Isolation","Kali Uchis,Steve Lacy",2018-04-06,177697,65,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-08T04:06:58Z,"colombian pop,pop,afrofuturism,alternative r&b,rap",0.745,0.672,9,-5.738,1,0.0346,0.127,0,0.103,0.641,108.031,4
1cpByx3kdgQeCaBIxPzQlI,"0XIKGBo9PnK1ApI5tZA60d,6icQOAFXDZKsumw3YXyusw","I Do It 4 (feat. Lil Yachty)","The Plan","DaniLeigh,Lil Yachty",2018-11-30,151733,40,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-08T04:11:26Z,"pop,pop r&b,pop rap,r&b,rap,rap latina,atl hip hop,hip hop,melodic rap,trap,underground hip hop",0.857,0.524,9,-8.486,1,0.269,0.301,0.000622,0.0945,0.408,152.037,4
4EFrL3k1dyCM9bQNN7Y5Pn,"0zanHkxN0P38oWegA8iSQA","Ngaf","He's Not Mine","Etta Bond",2019-03-15,231914,23,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-21T03:19:24Z,"alternative r&b,chill r&b,indie r&b,uk contemporary r&b",0.723,0.454,5,-7.336,0,0.0803,0.533,0.137,0.119,0.325,141.052,4
6HW6jRfLKeigT1o7CApLqT,"4HiLipaDjOwRkhJlk5s1uT","got it like that","got it like that","Jae Stephens",2019-05-01,197646,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-21T03:22:18Z,"alternative r&b,indie r&b",0.712,0.555,6,-4.925,0,0.143,0.443,0.0000178,0.0966,0.632,87.944,4
