Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1VAKnb1btGrQXcVZVSRkPe,"7E2ioKxoxI2J94tUkIx6As,3ycxRkcZ67ALN3GQJ57Vig,2NWuUOptHRTogSZghYspAE","Good & Plenty","Good & Plenty","Alex Isley,Masego,Jack Dine",2020-07-17,204705,64,spotify:user:,2021-04-30T04:00:00Z,"alternative r&b,chill r&b,indie r&b,indie soul,neo soul,pop r&b,r&b",0.658,0.619,9,-7.316,0,0.0772,0.788,0.0667,0.0951,0.354,136.077,4
6ZrEsTv8IYRg0U0hUoo2j1,"3QTDHixorJelOLxoxcjqGx","Footsteps in the Dark Pts. 1 & 2","Footsteps in the Dark Pts. 1 & 2","SiR",2020-11-05,317992,58,spotify:user:,2021-04-30T04:00:00Z,"alternative r&b,hip hop,indie r&b,indie soul,la pop,r&b,rap",0.728,0.543,6,-7.64,0,0.088,0.144,0.00121,0.0408,0.718,161.975,4
7AjfklMN4WpQYz5FkT4E66,"336vr2M3Va0FjyvB55lJEd","Lady","Brown Sugar","D'Angelo",1995-07-03,346266,63,spotify:user:,2021-04-30T04:00:00Z,"alternative r&b,funk,hip hop,indie soul,neo soul,soul",0.815,0.364,8,-11.834,0,0.089,0.14,0.0255,0.121,0.723,84.898,4
578ziqCj8ieyz7NLrZ31km,"07d5etnpjriczFBB8pxmRe,2FMOHE79X98yptp4RpPrt7,5AzjednUL6MFJP0dBic3be,2uMEr7c0zWQrtoAzebTMsa","Bring it on Home to Me (feat. Charlie Bereal)","Bring it on Home to Me (feat. Charlie Bereal)","BJ The Chicago Kid,PJ Morton,Kenyon Dixon,Charlie Bereal",2021-04-23,201600,57,spotify:user:,2021-04-30T04:00:00Z,"alternative r&b,chicago rap,hip hop,indie soul,neo soul,r&b,underground hip hop,gospel,urban contemporary,chill r&b,indie r&b,pop r&b",0.338,0.369,10,-7.082,1,0.0332,0.806,0.00000136,0.158,0.567,173.761,3
0vtDLpnv8weWM33Wn29rXo,"6jlWj6y00bMQt8XoKuCjyZ","See Me","See Me","Emily King",2020-08-26,210373,46,spotify:user:,2021-04-30T04:00:00Z,"funk,indie soul,neo soul,nyc pop,pop soul,r&b,soul,urban contemporary",0.501,0.199,6,-13.768,1,0.0343,0.905,0.000431,0.108,0.371,167.851,4
7pv80uUHfocFqfTytu1MVi,"7IfculRW2WXyzNQ8djX8WX","Didn't Cha Know","Mama's Gun","Erykah Badu",2000-10-31,238733,66,spotify:user:,2021-04-30T04:00:00Z,"afrofuturism,hip hop,neo soul,r&b,soul,urban contemporary",0.753,0.472,3,-9.761,0,0.121,0.48,0.0133,0.284,0.816,135.277,4
0jdit0IB5OJbDmPRqadZbs,"6tUJpYN2aYiXbzAcg0pIOo,5MbNzCW3qokGyoo9giHA3V","Take Me Away (feat. EARTHGANG)","Take Me Away (feat. EARTHGANG)","Sinead Harnett,EARTHGANG",2020-10-16,172493,60,spotify:user:,2021-04-30T04:00:00Z,"alternative r&b,chill r&b,dance pop,gauze pop,indie r&b,indie soul,pop,r&b,uk contemporary r&b,atl hip hop,hip hop,psychedelic hip hop,rap,underground hip hop",0.664,0.543,1,-9.441,0,0.249,0.22,0.00000186,0.2,0.31,157.961,4
6VFKuuqSbA1GpMEosUgTwQ,"2ICR2m4hOBPhaYiZB3rnLW,1CoZyIx7UvdxT5c8UkMzHd","Nobody But You","Nobody But You","Sonder,Jorja Smith",2021-04-09,213214,73,spotify:user:,2021-04-30T04:00:00Z,"alternative r&b,chill r&b,r&b,dance pop,pop,uk contemporary r&b",0.637,0.299,7,-11.314,1,0.0366,0.742,0,0.359,0.364,83.872,4
24WhLBcWByvFMrt8NNQ0ax,"2EwyKG76iX4Pp5HhAD6SKO","Bitch Don't Be Mad","Habits","Maeta",2021-04-30,185198,57,spotify:user:,2021-04-30T04:00:00Z,"alternative r&b,chill r&b,indie r&b",0.559,0.593,4,-5.443,0,0.294,0.633,0,0.0463,0.585,70.987,4
3fpyiBLsUT22KK9p4EQTMp,"48sLioddyaXkuhyHXSkpsB,5xuNBZoM7z1Vv8IQ6uM0p6","Dirty Laundry","Dirty Laundry","Parson James,JoJo",2021-04-30,169453,53,spotify:user:,2021-04-30T04:00:00Z,"pop soul,dance pop,hip pop,pop,pop r&b,pop rap,post-teen pop,r&b,urban contemporary",0.529,0.541,9,-7.284,1,0.0433,0.197,0.00000214,0.339,0.288,89.042,4
