Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1bZmbsNqOkfvGGAikytuW2,"5FxD8fkQZ6KcsSYupDVoSO","Ashamed","Friends","Omar Apollo",2019-04-10,204213,51,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-08T03:06:54Z,"alternative r&b,bedroom pop,bedroom soul,chill r&b,indie r&b,pop,r&b",0.655,0.451,0,-4.711,1,0.229,0.483,0.0315,0.129,0.587,91.036,4
6qCPW6pWrUNIESY7fp34D9,"4oDjh8wNW5vDHyFRrDYC4k,4IZnj59pur7nfqpdGzuPF6,7yMruV2Y0a7ib9RLj9mLQQ","You Don't Know","You Don’t Know","Loyle Carner,Rebel Kleff,Kiko Bun",2019-01-16,250450,49,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-08T03:10:22Z,"indie soul,london rap,uk alternative hip hop,british soul,uk reggae",0.716,0.83,1,-4.67,0,0.222,0.244,0.00000169,0.103,0.674,92.147,4
70tIjdBrjUQkUG9jScQyoo,"3r1XkJ7vCs8kHBSzGvPLdP,5Q81rlcTFh3k6DQJXPdsot","Doorman","Doorman","slowthai,Mura Masa",2018-11-19,183541,41,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-08T03:15:28Z,"hip hop,rap,uk alternative hip hop,uk hip hop,underground hip hop,channel islands indie,vapor soul",0.668,0.943,10,-4.179,0,0.292,0.26,0,0.164,0.247,87.479,4
6SIR9Zx1I9VaFDPj99z9JW,"5MbNzCW3qokGyoo9giHA3V,50co4Is1HCEo8bhOyUWKpn","Proud Of U (feat. Young Thug)","Proud Of U (feat. Young Thug)","EARTHGANG,Young Thug",2019-02-05,238069,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-08T03:19:43Z,"atl hip hop,hip hop,psychedelic hip hop,rap,underground hip hop,atl trap,gangster rap,melodic rap,pop rap,trap",0.775,0.516,2,-5.924,1,0.32,0.0679,0,0.152,0.419,78.022,4
6zlBoRMKQv2UyrafMVoQlq,"4lPl9gqgox3JDiaJ1yklKh","CLONES","CLONES","Tierra Whack",2019-02-26,171392,52,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-08T03:21:08Z,"alternative r&b,escape room,indie soul",0.791,0.494,9,-8.705,1,0.347,0.184,0.0182,0.482,0.6,146.003,4
2fwkl5Z8ujDtAh6qxEA5x0,"0XIKGBo9PnK1ApI5tZA60d,5f7VJjfbwm532GiveGC0ZK","Lil Bebe (feat. Lil Baby) - Remix","The Plan","DaniLeigh,Lil Baby",2018-11-30,174720,60,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-08T03:25:22Z,"pop,pop r&b,pop rap,r&b,rap,rap latina,atl hip hop,atl trap,trap",0.856,0.485,5,-5.519,0,0.0597,0.0481,0,0.108,0.0929,136.005,4
70kjLeuW46xJ5pqzYRLHAf,"4lPl9gqgox3JDiaJ1yklKh","Unemployed","Unemployed","Tierra Whack",2019-03-19,168661,49,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-08T03:38:40Z,"alternative r&b,escape room,indie soul",0.875,0.375,2,-6.669,1,0.724,0.0366,0.00000217,0.111,0.139,153.84,4
4bi9YrkOvmg4Eb7h00AW2c,"1pPmIToKXyGdsCF6LmqLmI,50co4Is1HCEo8bhOyUWKpn,2hlmm7s2ICUX0LVIhVFlZQ","Fall Threw (feat. Young Thug & Gunna)","The World Is Yours 2","Rich The Kid,Young Thug,Gunna",2019-03-22,189830,50,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-08T03:51:46Z,"atl hip hop,hip hop,melodic rap,plugg,pop rap,rap,southern hip hop,trap,atl trap,gangster rap",0.832,0.649,1,-6.781,0,0.482,0.0252,0,0.255,0.699,76.01,4
3XiNC94b4Tq1xwv70sQJGN,"4O15NlyKLIASxsJ0PrXPfz","Sanguine Paradise","Sanguine Paradise","Lil Uzi Vert",2019-04-09,243976,75,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-08T03:52:18Z,"melodic rap,philly rap,rap,trap",0.729,0.603,6,-6.736,0,0.0666,0.0948,0,0.113,0.207,134.972,4
51w9Jbat1pLeWINGCpnQUR,"2jku7tDXc6XoB6MO2hFuqg,1pPmIToKXyGdsCF6LmqLmI,55Aa2cqylxrFIXC767Z865","TAlk tO Me (with Rich The Kid feat. Lil Wayne) - Remix","TAlk tO Me (with Rich The Kid feat. Lil Wayne) [Remix]","Tory Lanez,Rich The Kid,Lil Wayne",2018-11-27,248520,65,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-08T03:52:32Z,"canadian hip hop,canadian trap,hip hop,melodic rap,pop rap,r&b,rap,toronto rap,trap,atl hip hop,plugg,southern hip hop,new orleans rap",0.698,0.66,0,-7.883,1,0.052,0.0226,0,0.0622,0.451,159.949,4
4eRYSSUgi4EGrq2AfzBbgd,"0khqcsFxd6ans7Zh1JqraT","Pull Up","Pull Up","Croosh",2018-12-31,180000,30,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-21T03:16:17Z,"trap soul",0.93,0.288,6,-7.464,0,0.0443,0.215,0.000767,0.0988,0.362,124.044,4
