Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3Uj8h9FZigjBq6NYW2wRWC,"2mV8aJphiSHYJf43DxL7Gt","Bonafied Lovin - Yuksek Remix","Bonafied Lovin","Chromeo",2007-07-22,297840,17,spotify:user:easportsaudio,2021-03-24T05:00:14Z,"alternative dance,dance rock,dance-punk,electropop,filter house,new rave,nu disco",0.81,0.588,6,-5.967,1,0.247,0.011,0.561,0.128,0.756,125.003,4
2QdtAmAy8yftcCl0MHKUgu,"2K13AVg3bFpHSxDM1vJ0qA","Jager Yoga","Donkey","CSS",2008-07-18,230946,0,spotify:user:easportsaudio,2021-03-24T05:00:25Z,"alternative dance,dance-punk,electroclash,electronica,new rave",0.735,0.771,9,-3.458,0,0.033,0.00121,0.0000501,0.117,0.944,140.01,4
1OSChNJOFS4zjrrrNuAbHq,"1W1k6LUPDR0l4zwvKR4YLI","Magrela Fever","Japan Pop Show","Curumin",2008,251613,0,spotify:user:easportsaudio,2021-03-24T05:00:32Z,"brazilian indie,manguebeat,mpb,nova mpb",0.587,0.621,1,-6.562,0,0.0274,0.00448,0.00228,0.17,0.746,151.95,4
7bLk4tjwot6OunULKjPcPA,"4EENT7N7rCBwrddM3s0vFS","Lights & Music","In Ghost Colours","Cut Copy",2008-01-01,277360,0,spotify:user:easportsaudio,2021-03-24T05:00:35Z,"alternative dance,australian dance,australian electropop,chillwave,dance-punk,electronic rock,electronica,electropop,filter house,indietronica,modern rock,neo-synthpop,new rave,nu disco,nu gaze,shimmer pop",0.598,0.947,10,-4.258,0,0.0401,0.0556,0.172,0.782,0.564,126.005,4
2uJLzT6jlykwCIIuAfuM82,"3QJzdZJYIAcoET1GcfpNGi","One Loaf of Bread (Something For You)","Gang War","Damian Marley",2007-01-01,197773,0,spotify:user:easportsaudio,2021-03-24T05:00:45Z,"reggae,reggae fusion",0.659,0.82,0,-4.082,1,0.0878,0.192,0,0.27,0.804,139.062,4
4o070DtKjEz4yPXTWVO2iY,"4foARo5aSfuIuDLupoxK4k","True Stories","Red","Datarock",2009-06-09,169520,0,spotify:user:easportsaudio,2021-03-24T05:00:54Z,"alternative dance,bergen indie,dance-punk,new rave",0.68,0.871,7,-4.237,1,0.103,0.000523,0,0.0636,0.913,137.015,5
2eEqR54LH9M2hNyhtZYAmJ,"7FfKue3foqwcKAUi36xsh9","Me Gustan","Latin Bitman","Dj Bitman",2007-11-06,175853,23,spotify:user:easportsaudio,2021-03-24T05:00:56Z,"chilean indie,latin funk",0.767,0.889,10,-5.919,0,0.0396,0.0537,0.178,0.105,0.857,109.987,4
1dKm4a7TOYFzzTQvU59C59,"37NqXwtb6nIEqRt4EJSoIO","Mercy","Rockferry (intl Deluxe Edition)","Duffy",2008-01-01,219920,0,spotify:user:easportsaudio,2021-03-24T05:01:05Z,"british soul,dance pop,pop rock",0.793,0.859,0,-3.774,1,0.0332,0.266,0.000356,0.133,0.964,129.912,4
577J3IS9FtBWVZpRiQYcbw,"6FQqZYVfTNQ1pCqfkwVFEa","Olympic Airways - Diskjokke Remix","Discolated Remixes 2007-2008","Foals",2009-08-03,444453,0,spotify:user:easportsaudio,2021-03-24T05:01:08Z,"alternative dance,indie rock,modern alternative rock,modern rock,new rave,oxford indie,rock",0.736,0.614,4,-10.866,0,0.0574,0.0421,0.631,0.121,0.195,122.986,4
2lRRbmXwKXGAvqxmKhMA0P,"0qudezVgvl4Chd9BgNFB83","Working Together","Soft Power","Chilly Gonzales",2008-01-01,200253,25,spotify:user:easportsaudio,2021-03-24T05:01:17Z,"neo-classical",0.856,0.903,4,-5.596,1,0.132,0.464,0.0000853,0.346,0.962,104.987,4
6q6PeTloTbL2vb1Gt9sQQc,"37uLId6Z5ZXCx19vuruvv5","Ready For The Floor","Made In The Dark","Hot Chip",2008-01-21,234240,60,spotify:user:easportsaudio,2021-03-24T05:01:35Z,"alternative dance,dance rock,dance-punk,electronica,electropop,indie rock,indietronica,modern rock,neo-synthpop,new rave",0.764,0.759,1,-5.443,0,0.0413,0.00903,0,0.0746,0.937,128.999,4
25dDmd8ptHqYUzEw30i9fb,"5AwSSPenez3AiWILIOdPZb","Im A Villain","The First Crusade","Jakobínarína",2007-10-10,177560,0,spotify:user:easportsaudio,2021-03-24T05:01:44Z,"icelandic pop",0.301,0.94,0,-4.242,1,0.0757,0.00000641,0.634,0.282,0.238,200.066,4
2fCF8vDdgaJGZuLEYsx2Ec,"5svDnd8joFhbpbA3Ar0CfN","Mad Pursuit","Booming Back At You","Junkie XL",2008-03-11,256506,10,spotify:user:easportsaudio,2021-03-24T05:02:15Z,"big beat,soundtrack",0.73,0.611,5,-4.713,0,0.0452,0.124,0.0404,0.128,0.5,119.944,4
1ZZMu5cxiU4eFUNVwMnCJq,"11wRdbnoYqRddKBrpHt4Ue","Fast Fuse","West Ryder Pauper Lunatic Asylum","Kasabian",2009,249946,46,spotify:user:easportsaudio,2021-03-24T05:03:11Z,"alternative rock,britpop,garage rock,indie rock,leicester indie,modern rock,rock",0.363,0.991,6,-2.561,0,0.0791,0.113,0.0265,0.0792,0.476,175.064,4
