Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
61Ivix5DTnDPVjp1dgLyov,"1uiEZYehlNivdK3iQyAbye,6oPQiSj92N4mk5jXLtX1bl","Disco Yes","Geography","Tom Misch,Poppy Ajudha",2018-04-06,280878,64,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-02T22:55:50Z,"indie soul,jazz pop,indie jazz,uk contemporary r&b",0.927,0.551,9,-6.624,0,0.0921,0.42,0.0346,0.298,0.665,123.042,4
6WGnIpVtdJuw5GP9KRwdmL,"1xVcjJ5YsYOClO2Unt3Rm8","Come For Me","Come For Me","Sunflower Bean",2018-10-30,209021,36,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-02T23:00:03Z,"modern power pop",0.775,0.693,0,-3.34,1,0.0393,0.0252,0,0.382,0.813,123.01,4
1zbLpabwKzj404PWNEKtjL,"6O4EGCCb6DoIiR6B1QCQgp","Freelance","Outer Peace","Toro y Moi",2019-01-18,225893,52,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-02T23:14:59Z,"alternative dance,alternative r&b,chillwave,electronica,indie soul,indietronica,new rave,nu gaze",0.975,0.475,9,-7.067,0,0.123,0.014,0.0111,0.165,0.867,115.009,4
0ZnMSJ4NsCGscSz8DG93Pi,"167WV6cgZZKO6Mog8MomA0","Head In The Clouds","Head In The Clouds","Lean",2018-11-02,222075,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-02T23:23:21Z,"la indie",0.489,0.676,0,-5.694,1,0.0278,0.00396,0.0276,0.482,0.533,180.056,4
3UebVboi5nMHLgja4UrZaG,"5usbqiU7sjvszjWecANDL6","Silent Ride","Everythings For Sale","WESTSIDE BOOGIE",2019-01-25,170506,55,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-02T23:32:19Z,"hip hop,rap,underground hip hop",0.676,0.619,6,-6.89,1,0.0633,0.333,0,0.165,0.309,96.045,4
1sS3gfmiFa0wAXXyF8CgKo,"2FwDTncULUnmANIh7qKa5z","Is Magic Gone","Is Magic Gone","FKJ",2018-11-29,244741,42,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-02T23:36:03Z,"filter house,indie soul",0.754,0.514,7,-7.945,0,0.0419,0.657,0.436,0.106,0.149,103.998,4
6tdAmfHEd4cXEkNbCMgOP9,"1ybINI1qPiFbwDXamRtwxD","KLINK","NOIR","Smino",2018-11-08,182209,53,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-02T23:41:21Z,"alternative r&b,hip hop,rap,underground hip hop",0.794,0.539,9,-7.928,0,0.391,0.0994,0,0.312,0.765,129.065,4
5MChi9fdCbTIWDJPPUuuW6,"1uiEZYehlNivdK3iQyAbye,6Gk5hoM7eW8NSCYhICMDHw","Beautiful Escape","Beat Tape 2","Tom Misch,Zak Abel",2015-08-28,276785,65,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-02T23:42:01Z,"indie soul,jazz pop,uk contemporary r&b",0.944,0.514,5,-7.895,1,0.195,0.0684,0.00209,0.103,0.331,120.004,4
55PgNX8JRVr7miQE8pdgtN,"7aGhkUVp7V3klWfTFe7AHS","Happyoctober","Happyoctober.","Femdot",2017-10-11,254457,24,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-02T23:47:53Z,"indie hip hop",0.68,0.578,7,-7.637,1,0.389,0.611,0,0.158,0.532,83.086,4
439X8jGytErRiPnaoUJHju,"6qgnBH6iDM91ipVXv28OMu,3sJQwG0SsGRyv5C5kh4o9a","CHANCES","NOTHIN LIKE U / CHANCES","KAYTRANADA,Shay Lia",2018-11-30,218200,66,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-02T23:49:46Z,"escape room,indie soul,lgbtq+ hip hop,alternative r&b,canadian contemporary r&b,canadian pop,chill r&b,indie r&b,montreal indie",0.835,0.527,7,-7.272,0,0.128,0.204,0.000423,0.283,0.611,106.003,4
