Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6PyZGb1rB7oLKCICWTmGYa,"4NZvixzsSefsNiIqXn0NDe","Say It","Heard It In A Past Life","Maggie Rogers",2019-01-18,220960,60,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-08T02:51:21Z,"indie pop,pop",0.557,0.496,10,-7.184,1,0.0332,0.208,0.00824,0.147,0.248,84.912,4
1xcMifdl2glV5Kx76EtGCG,"4bMNzAopkqYTwkBLwMKsF1","Shine","Shine","Childish Major",2018-12-26,195866,46,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-08T02:56:00Z,"alternative r&b,trap soul,underground hip hop",0.735,0.665,5,-5.232,0,0.0453,0.0993,0.00000273,0.421,0.296,76.029,4
3Ol2xnObFdKV9pmRD2t9x8,"31W5EY0aAly4Qieq6OFu6I","Look Back at It","Hoodie SZN","A Boogie Wit da Hoodie",2018-12-21,179449,75,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-08T03:12:45Z,"melodic rap,pop rap,rap,trap",0.791,0.587,3,-5.075,0,0.0413,0.407,0,0.148,0.536,96.057,4
4A5owiyEiYxDuDPvTrRCxS,"0H39MdGGX6dbnnQPt6NQkZ","I Heard You Got Too Litt Last Night","Collection One","SAINt JHN",2018-03-30,197885,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-08T03:21:21Z,"melodic rap,pop rap,rap,slap house,trap",0.788,0.549,5,-7.492,1,0.0445,0.0524,0.00000524,0.101,0.367,134.964,4
09oZ9eXQ2fo6YDrPzJqAoP,"6LuN9FCkKOj5PcnpouEgny,0hEurMDQu99nJRq8pTxO14","Outta My Head (with John Mayer)","Free Spirit","Khalid,John Mayer",2019-04-05,177066,68,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-08T03:35:01Z,"pop,neo mellow,pop rock,singer-songwriter",0.729,0.545,0,-7.818,1,0.0316,0.0174,0.000274,0.369,0.514,103.012,4
6ya8ejoKgw906Y8LWclqrp,"0EeQBlQJFiAfJeVN2vT9s0,757aE44tKEUQEqRuT6GnEB,6q3p11nP1p80Ey6LrOOSed","Racks in the Middle (feat. Roddy Ricch and Hit-Boy)","Racks in the Middle (feat. Roddy Ricch and Hit-Boy)","Nipsey Hussle,Roddy Ricch,Hit-Boy",2019-02-15,233277,68,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-08T03:51:19Z,"conscious hip hop,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,melodic rap,cali rap",0.671,0.833,5,-5.152,0,0.395,0.0825,0,0.0726,0.702,79.351,4
37y7iDayfwm3WXn5BiAoRk,"57vWImR43h4CaDao012Ofp","Dark Red","Dark Red","Steve Lacy",2017-02-20,173104,73,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-08T03:55:43Z,"afrofuturism,alternative r&b,rap",0.603,0.783,6,-4.023,1,0.062,0.449,0.00000796,0.119,0.775,172.041,4
4JsKaTag0OHXibnqYcDfIA,"7LvoDJUNGnOrPdGRzVtOJ9","Stubborn Ass","Stubborn Ass","Young M.A",2019-02-14,200278,38,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-08T04:01:12Z,"lgbtq+ hip hop,nyc rap,pop rap,rap,trap",0.617,0.42,1,-5.165,1,0.259,0.0776,0.00000387,0.396,0.213,87.15,4
06Y14QBRyzmPRqrswAfF4J,"5IcR3N7QB1j6KBL8eImZ8m,4IVAbR2w4JJNJDDRFP3E83","Drunk (feat. 6LACK)","CrasH Talk","ScHoolboy Q,6LACK",2019-04-26,212253,51,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-08T04:01:27Z,"gangster rap,hip hop,pop rap,rap,southern hip hop,trap,underground hip hop,alternative r&b,atl hip hop,melodic rap,r&b",0.89,0.617,0,-8.029,0,0.214,0.28,0,0.0906,0.383,80.358,4
03vzu03ZnrKlHHL1nTi7zY,"3K2Srho6NCF3o9MswGR76H","Chill","Chill","Bakar",2019-03-22,223293,55,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-08T04:05:30Z,"uk alternative hip hop",0.556,0.455,7,-8.417,1,0.0594,0.0201,0.00000424,0.128,0.0915,130.926,4
5hVghJ4KaYES3BFUATCYn0,"4V8LLVI7PbaPR0K2TGSxFF","EARFQUAKE","IGOR","Tyler, The Creator",2019-05-17,190066,80,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2020-01-08T04:16:29Z,"hip hop,rap",0.554,0.498,9,-8.866,1,0.0685,0.23,0.00000598,0.795,0.413,79.635,4
