Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
467t3218y3yihFcyDGWjr0,"0knGpCTbmG4ctl1wzYRZs4","Skin","Skin","Dijon",2018-04-19,230625,66,spotify:user:,2020-11-27T12:24:44Z,"alternative r&b,bedroom soul,chill r&b,indie r&b",0.674,0.616,7,-3.471,1,0.0272,0.512,0.0000021,0.331,0.551,94.934,4
05xA64s3UzOOmAnh9SIIjn,"4C9Tvlt8v7d8R6h98FgdUy","Bloom","Mango","bLAck pARty",2016-10-14,302000,59,spotify:user:,2020-11-27T12:24:44Z,"alternative r&b,indie r&b,indie soul",0.749,0.399,8,-7.526,1,0.0393,0.261,0.0126,0.0949,0.816,89.972,4
24G1PXBWoRgV0wDXZKwxzz,"57vWImR43h4CaDao012Ofp","N Side","Apollo XXI","Steve Lacy",2019-05-24,224444,64,spotify:user:,2020-11-27T12:24:44Z,"afrofuturism,alternative r&b,rap",0.838,0.536,2,-6.288,1,0.0435,0.072,0.000259,0.208,0.89,119.956,4
0wY9rA9fJkuESyYm9uzVK5,"3QTDHixorJelOLxoxcjqGx","D'Evils","November","SiR",2018-01-19,171818,66,spotify:user:,2020-11-27T12:24:44Z,"alternative r&b,hip hop,indie r&b,indie soul,la pop,r&b,rap",0.784,0.586,1,-3.417,1,0.187,0.00558,0.000286,0.106,0.656,132.169,4
10x9aHDFGk5aSbvAVlwJA3,"4ClziihVpBeFXNyDH83Lde,5BhFZpE8kUGZJiKOsYjLQM","Runnin'","Runnin’ feat. Yeek","UMI,Yeek",2019-10-23,189773,47,spotify:user:,2020-11-27T12:24:44Z,"alternative r&b,bedroom soul,chill r&b,indie r&b,pop,r&b",0.742,0.675,8,-11.219,1,0.0486,0.59,0.403,0.111,0.668,116.963,4
7w0lCrXGoUj5b8DgW5wZlx,"5XQRfs0gXs30aWUn1Umves","Petrol Bliss","Mono No Moto","Choker",2019-01-25,189295,56,spotify:user:,2020-11-27T12:24:44Z,"alternative r&b,indie r&b,indie soul",0.778,0.291,0,-10.355,1,0.106,0.84,0.0000823,0.66,0.353,142.015,4
3yhlH8lhTpS03d91kuwjpf,"4lPl9gqgox3JDiaJ1yklKh","Wasteland","Wasteland","Tierra Whack",2019-03-12,183282,54,spotify:user:,2020-11-27T12:24:44Z,"alternative r&b,escape room,indie soul",0.511,0.441,4,-10.264,0,0.0563,0.749,0,0.123,0.382,125.117,4
6Kt1OrgpAZusv2FtlgaVzn,"2z6JjrrJKNLilqlx8mlxcc","PS2","4 Track EP","Litany",2017-06-07,257677,49,spotify:user:,2020-11-27T12:24:44Z,"electropop,indie electropop,indie pop,indie poptimism,indie soul,vapor soul",0.818,0.326,9,-9.705,1,0.0387,0.093,0.0218,0.261,0.531,120.027,4
7LMhHrfftRJVsmNpMnZew3,"70gP6Ry4Uo0Yx6uzPIdaiJ,1vaQ6v3pOFxAIrFoPrAcom,7zNK87FEWbBWd4ecCEq5rR","Amnesia (with Ari Lennox & Kiddominant)","Spilled Milk 1","Bas,Ari Lennox,KDDO",2019-08-09,215551,50,spotify:user:,2020-11-27T12:24:44Z,"hip hop,pop rap,queens hip hop,rap,sudanese pop,underground hip hop,alternative r&b,chill r&b,dmv rap,indie soul,neo soul,pop,r&b,urban contemporary,nigerian pop",0.751,0.576,0,-9.022,1,0.24,0.0796,0.0000973,0.153,0.636,119.997,4
1LvDHPfTpEMjgox22jxqSW,"1EpyA68dKpjf7jXmQL88Hy","Song 33","Song 33","Noname",2020-06-19,69709,49,spotify:user:,2020-11-27T12:24:44Z,"alternative r&b,chicago rap,escape room,hip hop,indie soul,neo soul,underground hip hop",0.721,0.674,1,-5.359,1,0.351,0.121,0,0.402,0.907,87.573,4
6SEolIp22t0DzeBfCBo3hr,"2FwDTncULUnmANIh7qKa5z,5rBFU1rhgs1nNghopuj9k8","Vibin' Out","French Kiwi Juice","FKJ,((( O )))",2017-03-02,311837,66,spotify:user:,2020-11-27T12:24:44Z,"filter house,indie soul,experimental hip hop",0.41,0.169,3,-11.422,1,0.0485,0.847,0.00327,0.117,0.208,89.494,4
